% Device,11B100023
% File name,11B100023_20220517_150208
% Cast time (UTC),2022-05-17 15:02:08
% Cast time (local),2022-05-17 11:02:08
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,41.6957855
% Start longitude,-70.62026
% Start altitude,-28.260000228881836
% Start GPS horizontal error(Meter),2
% Start GPS vertical error(Meter),4.1100001335144043
% Start GPS number of satellites,7
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),31.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2011-02-25
% Temperature calibration date,2011-02-25
% Pressure calibration date,2011-02-25
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14970356163102822,15.252344839123598,37612.025001221446,46720.2906458559,30.016504909702718,1501.6870487360154,1022.0815444094869
0.44999999999999996,0.44911561504853148,15.242574739403718,37629.08612354345,46752.831257959668,30.039010289378915,1501.686952820434,1022.1022685579852
0.74999999999999989,0.74852198894613575,15.246906137785278,37632.584794097973,46752.146196359572,30.038694712833539,1501.7053544321659,1022.1024431343369
1.05,1.047927387149183,15.240070292601152,37632.790041190274,46760.343318920255,30.044001854942945,1501.6946800090727,1022.1093189727933
1.35,1.3473320121332633,15.251211801699615,37642.261936648392,46759.166062000324,30.043774842771057,1501.7348875973387,1022.108111128632
1.65,1.6467370008299431,15.237237359267756,37622.707667918366,46751.106856560582,30.037009045733946,1501.6874712666811,1022.1072245043525
1.9500000000000002,1.9461413314931146,15.23669294644289,37628.677339412214,46759.157604599764,30.042618046497292,1501.6971986706442,1022.1129927367819
2.25,2.2455448448803117,15.226693341241568,37615.388144316712,46754.263176973989,30.038368661174733,1501.6653557251259,1022.113193352139
2.55,2.5449499755066496,15.212381147120787,37580.853238137322,46727.96308759263,30.018551685665898,1501.6017028995752,1022.1023397249503
2.9199421000930492,2.9141591901214068,15.21140816965689,37588.522603436832,46738.630048525309,30.025975537200363,1501.6133236703172,1022.109907103932
