% Device,11B100023
% File name,11B100023_20230613_142248
% Cast time (UTC),2023-06-13 14:22:48
% Cast time (local),2023-06-13 10:22:48
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,41.6580041
% Start longitude,-70.1151569
% Start altitude,0.23999999463558197
% Start GPS horizontal error(Meter),437.30999755859375
% Start GPS vertical error(Meter),882.95001220703125
% Start GPS number of satellites,3
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),42.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2011-02-25
% Temperature calibration date,2011-02-25
% Pressure calibration date,2011-02-25
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14983378511957529,19.728001459336777,41803.318166151264,46730.5902368068,30.239228008737594,1515.3948378633456,1021.2059335030974
0.44999999999999996,0.44950292780320228,19.729256457508612,41784.443498815919,46708.180291919038,30.223009261248869,1515.3852694128086,1021.1945863391625
0.74999999999999989,0.749172974781523,19.7286178148117,41790.7716908988,46715.921184870545,30.228476619506914,1515.3945671718793,1021.2002309018337
1.05,1.0488368285965055,19.730683254038158,41851.626657263376,46781.787816179996,30.275969247689954,1515.4584656327947,1021.2371855871563
1.35,1.3484907085440299,19.727218032951566,41896.216516277607,46835.2586621995,30.314340808470241,1515.4965248421495,1021.268600776267
1.65,1.648137739965682,19.729405482987779,41922.535771066956,46862.388755660548,30.333898302641334,1515.5295617035665,1021.2842556939135
1.9500000000000002,1.9477802987713624,19.731173228676983,41947.600396365866,46888.553740720374,30.352746882075277,1515.560618397519,1021.2994773628464
2.25,2.2474061910045373,19.729113898234722,42103.633451368369,47065.132507610469,30.480069648228053,1515.7020415733757,1021.3982665072488
2.55,2.5470158930046343,19.730081728505173,42122.3602601896,47085.047279654587,30.494389768808979,1515.7257764595713,1021.4102437087082
2.85,2.8466233084779526,19.730151030439398,42126.932930659132,47090.085725388293,30.497935361371045,1515.7349318572951,1021.414245141077
3.15,3.1462158411198757,19.723878977076691,42275.801466069533,47263.120320732996,30.622638178289112,1515.8615345832186,1021.5121179322731
3.5855872015438166,3.5811901114511411,19.722963656588373,42275.989146003674,47264.297454240579,30.623317847761598,1515.8669629199956,1021.5147836332832
