% Device,11B100023
% File name,11B100023_20231214_150847
% Cast time (UTC),2023-12-14 15:08:47
% Cast time (local),2023-12-14 10:08:47
% Sample type,Cast
% Cast data,Processed
% Location source,Manual
% Default latitude,32
% Default altitude,0
% Start latitude,
% Start longitude,
% Start altitude,
% Start GPS horizontal error(Meter),
% Start GPS vertical error(Meter),
% Start GPS number of satellites,
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),81
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2011-02-25
% Temperature calibration date,2011-02-25
% Pressure calibration date,2011-02-25
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14941961998977524,5.6233733046238381,31021.275761573037,50649.671172720089,31.595251332525041,1468.9345075425342,1024.9082323362379
0.44999999999999996,0.44826800502889114,5.6232777688529989,30949.107610594139,50531.997006003949,31.513905662186978,1468.8360708910072,1024.8453384982083
0.74999999999999989,0.74713567123190694,5.6246489016900147,30871.415730293378,50402.889237025251,31.424999683066673,1468.733999290859,1024.7763028860097
1.05,1.0460158023407444,5.6254962204866157,30852.743101482549,50371.009304404215,31.403045210867251,1468.7145384650403,1024.7602465745522
1.35,1.3449010556420444,5.6235852104267483,30828.4795603304,50334.536842266745,31.377373736622218,1468.6792256234432,1024.7415690211958
1.65,1.6437925545928516,5.6258656601903567,30802.513320747617,50288.396191828928,31.345881225884888,1468.6534895018708,1024.7178105531607
1.9500000000000002,1.9426758255414598,5.6266010319416981,30892.350758635064,50433.854423506229,31.446167013563681,1468.7882608987591,1024.7983818805903
2.25,2.241545981439832,5.630389196130352,30905.508730465448,50449.095720876212,31.45729442331108,1468.8225458295215,1024.8081345382102
2.55,2.5404070292929819,5.6264191661797875,30959.930433272257,50544.482959765606,31.522139986372085,1468.8934628781699,1024.8612368339282
2.85,2.8392596609126626,5.6304636110926927,30968.009423103613,50550.996903436804,31.527303899595605,1468.9212342298945,1024.866245736453
3.0023851724318522,2.9910636945304376,5.63837194442749,30944.27734375,50499.2194100218,31.493107016949352,1468.9123938723919,1024.8390146061006
