Date,Day,Time,Pred,High/Low
4/1/2021,Thu,3:12:00 AM,1.46,H
4/1/2021,Thu,8:57:00 AM,-0.17,L
4/1/2021,Thu,3:39:00 PM,1.19,H
4/1/2021,Thu,9:01:00 PM,-0.17,L
4/2/2021,Fri,4:08:00 AM,1.39,H
4/2/2021,Fri,9:46:00 AM,-0.07,L
4/2/2021,Fri,4:37:00 PM,1.12,H
4/2/2021,Fri,9:50:00 PM,-0.06,L
4/3/2021,Sat,5:07:00 AM,1.31,H
4/3/2021,Sat,10:51:00 AM,0.04,L
4/3/2021,Sat,5:38:00 PM,1.06,H
4/3/2021,Sat,10:53:00 PM,0.06,L
4/4/2021,Sun,6:07:00 AM,1.23,H
4/4/2021,Sun,12:44:00 PM,0.11,L
4/4/2021,Sun,6:38:00 PM,1.01,H
4/5/2021,Mon,12:28:00 AM,0.14,L
4/5/2021,Mon,7:07:00 AM,1.17,H
4/5/2021,Mon,2:34:00 PM,0.11,L
4/5/2021,Mon,7:40:00 PM,1,H
4/6/2021,Tue,2:43:00 AM,0.14,L
4/6/2021,Tue,8:11:00 AM,1.13,H
4/6/2021,Tue,3:41:00 PM,0.07,L
4/6/2021,Tue,8:47:00 PM,1.02,H
4/7/2021,Wed,3:56:00 AM,0.1,L
4/7/2021,Wed,9:16:00 AM,1.13,H
4/7/2021,Wed,4:31:00 PM,0.04,L
4/7/2021,Wed,9:47:00 PM,1.08,H
4/8/2021,Thu,4:48:00 AM,0.06,L
4/8/2021,Thu,10:10:00 AM,1.15,H
4/8/2021,Thu,5:12:00 PM,0.02,L
4/8/2021,Thu,10:35:00 PM,1.16,H
4/9/2021,Fri,5:33:00 AM,0.04,L
4/9/2021,Fri,10:54:00 AM,1.17,H
4/9/2021,Fri,5:48:00 PM,0.03,L
4/9/2021,Fri,11:16:00 PM,1.21,H
4/10/2021,Sat,6:14:00 AM,0.03,L
4/10/2021,Sat,11:35:00 AM,1.18,H
4/10/2021,Sat,6:13:00 PM,0.04,L
4/10/2021,Sat,11:54:00 PM,1.25,H
4/11/2021,Sun,6:46:00 AM,0.02,L
4/11/2021,Sun,12:14:00 PM,1.17,H
4/11/2021,Sun,6:20:00 PM,0.04,L
4/12/2021,Mon,12:33:00 AM,1.27,H
4/12/2021,Mon,7:02:00 AM,0.03,L
4/12/2021,Mon,12:53:00 PM,1.14,H
4/12/2021,Mon,6:34:00 PM,0.04,L
4/13/2021,Tue,1:12:00 AM,1.26,H
4/13/2021,Tue,7:14:00 AM,0.03,L
4/13/2021,Tue,1:33:00 PM,1.1,H
4/13/2021,Tue,7:00:00 PM,0.03,L
4/14/2021,Wed,1:52:00 AM,1.25,H
4/14/2021,Wed,7:37:00 AM,0.03,L
4/14/2021,Wed,2:14:00 PM,1.06,H
4/14/2021,Wed,7:29:00 PM,0.03,L
4/15/2021,Thu,2:32:00 AM,1.21,H
4/15/2021,Thu,8:04:00 AM,0.03,L
4/15/2021,Thu,2:55:00 PM,1,H
4/15/2021,Thu,8:01:00 PM,0.04,L
4/16/2021,Fri,3:13:00 AM,1.16,H
4/16/2021,Fri,8:35:00 AM,0.06,L
4/16/2021,Fri,3:38:00 PM,0.94,H
4/16/2021,Fri,8:34:00 PM,0.05,L
4/17/2021,Sat,3:59:00 AM,1.11,H
4/17/2021,Sat,9:09:00 AM,0.09,L
4/17/2021,Sat,4:27:00 PM,0.9,H
4/17/2021,Sat,9:10:00 PM,0.09,L
4/18/2021,Sun,4:50:00 AM,1.07,H
4/18/2021,Sun,9:51:00 AM,0.14,L
4/18/2021,Sun,5:20:00 PM,0.87,H
4/18/2021,Sun,9:55:00 PM,0.13,L
4/19/2021,Mon,5:43:00 AM,1.05,H
4/19/2021,Mon,10:45:00 AM,0.18,L
4/19/2021,Mon,6:13:00 PM,0.88,H
4/19/2021,Mon,10:55:00 PM,0.17,L
4/20/2021,Tue,6:35:00 AM,1.04,H
4/20/2021,Tue,11:53:00 AM,0.18,L
4/20/2021,Tue,7:06:00 PM,0.91,H
4/21/2021,Wed,12:07:00 AM,0.17,L
4/21/2021,Wed,7:30:00 AM,1.05,H
4/21/2021,Wed,12:57:00 PM,0.15,L
4/21/2021,Wed,8:04:00 PM,0.98,H
4/22/2021,Thu,1:17:00 AM,0.14,L
4/22/2021,Thu,8:31:00 AM,1.09,H
4/22/2021,Thu,1:58:00 PM,0.08,L
