Date,Day,Time,Pred,High/Low
12/1/2021,Wed,2:46:00 AM,-0.08,L
12/1/2021,Wed,9:55:00 AM,1.4,H
12/1/2021,Wed,3:39:00 PM,-0.06,L
12/1/2021,Wed,10:19:00 PM,1.19,H
12/2/2021,Thu,3:40:00 AM,-0.15,L
12/2/2021,Thu,10:44:00 AM,1.51,H
12/2/2021,Thu,4:33:00 PM,-0.13,L
12/2/2021,Thu,11:07:00 PM,1.24,H
12/3/2021,Fri,4:31:00 AM,-0.2,L
12/3/2021,Fri,11:31:00 AM,1.58,H
12/3/2021,Fri,5:27:00 PM,-0.18,L
12/3/2021,Fri,11:56:00 PM,1.27,H
12/4/2021,Sat,5:24:00 AM,-0.22,L
12/4/2021,Sat,12:20:00 PM,1.61,H
12/4/2021,Sat,6:24:00 PM,-0.2,L
12/5/2021,Sun,12:47:00 AM,1.28,H
12/5/2021,Sun,6:20:00 AM,-0.21,L
12/5/2021,Sun,1:12:00 PM,1.59,H
12/5/2021,Sun,7:21:00 PM,-0.2,L
12/6/2021,Mon,1:41:00 AM,1.26,H
12/6/2021,Mon,7:17:00 AM,-0.18,L
12/6/2021,Mon,2:06:00 PM,1.53,H
12/6/2021,Mon,8:11:00 PM,-0.17,L
12/7/2021,Tue,2:35:00 AM,1.23,H
12/7/2021,Tue,8:10:00 AM,-0.13,L
12/7/2021,Tue,3:00:00 PM,1.45,H
12/7/2021,Tue,8:58:00 PM,-0.12,L
12/8/2021,Wed,3:32:00 AM,1.2,H
12/8/2021,Wed,9:00:00 AM,-0.04,L
12/8/2021,Wed,3:56:00 PM,1.35,H
12/8/2021,Wed,9:49:00 PM,-0.04,L
12/9/2021,Thu,4:31:00 AM,1.16,H
12/9/2021,Thu,9:56:00 AM,0.07,L
12/9/2021,Thu,4:55:00 PM,1.25,H
12/9/2021,Thu,11:01:00 PM,0.04,L
12/10/2021,Fri,5:31:00 AM,1.15,H
12/10/2021,Fri,11:35:00 AM,0.16,L
12/10/2021,Fri,5:52:00 PM,1.16,H
12/11/2021,Sat,12:43:00 AM,0.08,L
12/11/2021,Sat,6:26:00 AM,1.14,H
12/11/2021,Sat,1:35:00 PM,0.17,L
12/11/2021,Sat,6:46:00 PM,1.08,H
12/12/2021,Sun,1:53:00 AM,0.1,L
12/12/2021,Sun,7:21:00 AM,1.13,H
12/12/2021,Sun,2:49:00 PM,0.15,L
12/12/2021,Sun,7:41:00 PM,1.02,H
12/13/2021,Mon,2:53:00 AM,0.11,L
12/13/2021,Mon,8:17:00 AM,1.14,H
12/13/2021,Mon,3:47:00 PM,0.12,L
12/13/2021,Mon,8:40:00 PM,0.98,H
12/14/2021,Tue,3:40:00 AM,0.12,L
12/14/2021,Tue,9:13:00 AM,1.16,H
12/14/2021,Tue,4:34:00 PM,0.1,L
12/14/2021,Tue,9:36:00 PM,0.98,H
12/15/2021,Wed,4:12:00 AM,0.13,L
12/15/2021,Wed,10:01:00 AM,1.2,H
12/15/2021,Wed,5:16:00 PM,0.1,L
12/15/2021,Wed,10:22:00 PM,0.99,H
12/16/2021,Thu,4:22:00 AM,0.13,L
