Date,Day,Time,Pred,High/Low
2/1/2021,Mon,3:08:00 AM,1.24,H
2/1/2021,Mon,8:34:00 AM,-0.13,L
2/1/2021,Mon,3:28:00 PM,1.24,H
2/1/2021,Mon,8:55:00 PM,-0.2,L
2/2/2021,Tue,3:59:00 AM,1.26,H
2/2/2021,Tue,9:20:00 AM,-0.1,L
2/2/2021,Tue,4:20:00 PM,1.17,H
2/2/2021,Tue,9:38:00 PM,-0.16,L
2/3/2021,Wed,4:53:00 AM,1.27,H
2/3/2021,Wed,10:13:00 AM,-0.03,L
2/3/2021,Wed,5:15:00 PM,1.11,H
2/3/2021,Wed,10:29:00 PM,-0.11,L
2/4/2021,Thu,5:49:00 AM,1.27,H
2/4/2021,Thu,11:21:00 AM,0.04,L
2/4/2021,Thu,6:11:00 PM,1.05,H
2/4/2021,Thu,11:31:00 PM,-0.05,L
2/5/2021,Fri,6:45:00 AM,1.26,H
2/5/2021,Fri,12:37:00 PM,0.08,L
2/5/2021,Fri,7:09:00 PM,1,H
2/6/2021,Sat,12:38:00 AM,-0.01,L
2/6/2021,Sat,7:45:00 AM,1.25,H
2/6/2021,Sat,2:03:00 PM,0.09,L
2/6/2021,Sat,8:14:00 PM,0.98,H
2/7/2021,Sun,1:47:00 AM,0.01,L
2/7/2021,Sun,8:51:00 AM,1.25,H
2/7/2021,Sun,3:46:00 PM,0.05,L
2/7/2021,Sun,9:22:00 PM,1,H
2/8/2021,Mon,3:07:00 AM,0.01,L
2/8/2021,Mon,9:53:00 AM,1.29,H
2/8/2021,Mon,4:49:00 PM,0,L
2/8/2021,Mon,10:21:00 PM,1.06,H
2/9/2021,Tue,4:19:00 AM,-0.01,L
2/9/2021,Tue,10:46:00 AM,1.33,H
2/9/2021,Tue,5:43:00 PM,-0.04,L
2/9/2021,Tue,11:11:00 PM,1.12,H
2/10/2021,Wed,5:18:00 AM,-0.03,L
2/10/2021,Wed,11:34:00 AM,1.35,H
2/10/2021,Wed,6:34:00 PM,-0.07,L
2/10/2021,Wed,11:58:00 PM,1.16,H
2/11/2021,Thu,6:15:00 AM,-0.04,L
2/11/2021,Thu,12:20:00 PM,1.34,H
2/11/2021,Thu,7:16:00 PM,-0.08,L
2/12/2021,Fri,12:45:00 AM,1.18,H
2/12/2021,Fri,7:04:00 AM,-0.04,L
2/12/2021,Fri,1:05:00 PM,1.31,H
2/12/2021,Fri,7:45:00 PM,-0.08,L
2/13/2021,Sat,1:30:00 AM,1.19,H
2/13/2021,Sat,7:38:00 AM,-0.03,L
2/13/2021,Sat,1:49:00 PM,1.26,H
2/13/2021,Sat,8:03:00 PM,-0.06,L
2/14/2021,Sun,2:14:00 AM,1.19,H
2/14/2021,Sun,8:05:00 AM,-0.01,L
2/14/2021,Sun,2:32:00 PM,1.2,H
2/14/2021,Sun,8:20:00 PM,-0.04,L
2/15/2021,Mon,2:57:00 AM,1.17,H
2/15/2021,Mon,8:32:00 AM,0.02,L
2/15/2021,Mon,3:15:00 PM,1.12,H
2/15/2021,Mon,8:42:00 PM,-0.01,L
2/16/2021,Tue,3:40:00 AM,1.13,H
2/16/2021,Tue,9:00:00 AM,0.06,L
2/16/2021,Tue,3:59:00 PM,1.04,H
2/16/2021,Tue,9:09:00 PM,0.02,L
2/17/2021,Wed,4:26:00 AM,1.1,H
2/17/2021,Wed,9:33:00 AM,0.11,L
2/17/2021,Wed,4:46:00 PM,0.96,H
2/17/2021,Wed,9:40:00 PM,0.07,L
2/18/2021,Thu,5:14:00 AM,1.06,H
2/18/2021,Thu,10:14:00 AM,0.17,L
2/18/2021,Thu,5:35:00 PM,0.9,H
2/18/2021,Thu,10:20:00 PM,0.11,L
2/19/2021,Fri,6:03:00 AM,1.03,H
2/19/2021,Fri,11:09:00 AM,0.23,L
2/19/2021,Fri,6:24:00 PM,0.84,H
2/19/2021,Fri,11:12:00 PM,0.15,L
2/20/2021,Sat,6:52:00 AM,1.01,H
2/20/2021,Sat,12:13:00 PM,0.25,L
2/20/2021,Sat,7:16:00 PM,0.81,H
2/21/2021,Sun,12:12:00 AM,0.17,L
2/21/2021,Sun,7:47:00 AM,1.01,H
2/21/2021,Sun,1:17:00 PM,0.25,L
2/21/2021,Sun,8:16:00 PM,0.81,H
2/22/2021,Mon,1:12:00 AM,0.17,L
2/22/2021,Mon,8:49:00 AM,1.05,H
2/22/2021,Mon,2:26:00 PM,0.22,L
2/22/2021,Mon,9:18:00 PM,0.85,H
2/23/2021,Tue,2:14:00 AM,0.13,L
2/23/2021,Tue,9:46:00 AM,1.12,H
2/23/2021,Tue,3:30:00 PM,0.15,L
2/23/2021,Tue,10:11:00 PM,0.94,H
2/24/2021,Wed,3:17:00 AM,0.08,L
2/24/2021,Wed,10:33:00 AM,1.2,H
2/24/2021,Wed,4:18:00 PM,0.07,L
2/24/2021,Wed,10:56:00 PM,1.04,H
2/25/2021,Thu,4:13:00 AM,0,L
2/25/2021,Thu,11:17:00 AM,1.27,H
2/25/2021,Thu,5:00:00 PM,-0.02,L
2/25/2021,Thu,11:40:00 PM,1.15,H
2/26/2021,Fri,5:04:00 AM,-0.07,L
2/26/2021,Fri,12:00:00 PM,1.32,H
2/26/2021,Fri,5:44:00 PM,-0.1,L
2/27/2021,Sat,12:24:00 AM,1.24,H
2/27/2021,Sat,5:56:00 AM,-0.14,L
2/27/2021,Sat,12:45:00 PM,1.35,H
2/27/2021,Sat,6:29:00 PM,-0.17,L
2/28/2021,Sun,1:10:00 AM,1.31,H
2/28/2021,Sun,6:49:00 AM,-0.18,L
2/28/2021,Sun,1:31:00 PM,1.35,H
2/28/2021,Sun,7:14:00 PM,-0.23,L
