Date,Day,Time,Pred,High/Low
7/1/2021,Thu,5:45:00 AM,1.14,H
7/1/2021,Thu,11:58:00 AM,0.19,L
7/1/2021,Thu,6:17:00 PM,1.17,H
7/2/2021,Fri,1:26:00 AM,0.28,L
7/2/2021,Fri,6:35:00 AM,1.07,H
7/2/2021,Fri,12:53:00 PM,0.22,L
7/2/2021,Fri,7:06:00 PM,1.16,H
7/3/2021,Sat,2:37:00 AM,0.28,L
7/3/2021,Sat,7:25:00 AM,1.01,H
7/3/2021,Sat,1:28:00 PM,0.25,L
7/3/2021,Sat,7:58:00 PM,1.16,H
7/4/2021,Sun,3:35:00 AM,0.27,L
7/4/2021,Sun,8:20:00 AM,0.97,H
7/4/2021,Sun,2:03:00 PM,0.25,L
7/4/2021,Sun,8:53:00 PM,1.18,H
7/5/2021,Mon,4:21:00 AM,0.25,L
7/5/2021,Mon,9:17:00 AM,0.97,H
7/5/2021,Mon,2:43:00 PM,0.25,L
7/5/2021,Mon,9:44:00 PM,1.22,H
7/6/2021,Tue,4:57:00 AM,0.24,L
7/6/2021,Tue,10:07:00 AM,0.99,H
7/6/2021,Tue,3:23:00 PM,0.23,L
7/6/2021,Tue,10:29:00 PM,1.26,H
7/7/2021,Wed,5:21:00 AM,0.23,L
7/7/2021,Wed,10:51:00 AM,1.02,H
7/7/2021,Wed,4:01:00 PM,0.2,L
7/7/2021,Wed,11:10:00 PM,1.3,H
7/8/2021,Thu,5:22:00 AM,0.2,L
7/8/2021,Thu,11:32:00 AM,1.05,H
7/8/2021,Thu,4:40:00 PM,0.17,L
7/8/2021,Thu,11:51:00 PM,1.32,H
7/9/2021,Fri,5:48:00 AM,0.17,L
7/9/2021,Fri,12:14:00 PM,1.07,H
7/9/2021,Fri,5:21:00 PM,0.14,L
7/10/2021,Sat,12:32:00 AM,1.33,H
7/10/2021,Sat,6:24:00 AM,0.13,L
7/10/2021,Sat,12:57:00 PM,1.09,H
7/10/2021,Sat,6:06:00 PM,0.12,L
7/11/2021,Sun,1:15:00 AM,1.33,H
7/11/2021,Sun,7:02:00 AM,0.09,L
7/11/2021,Sun,1:42:00 PM,1.11,H
7/11/2021,Sun,6:54:00 PM,0.09,L
7/12/2021,Mon,1:59:00 AM,1.32,H
7/12/2021,Mon,7:39:00 AM,0.05,L
7/12/2021,Mon,2:26:00 PM,1.14,H
7/12/2021,Mon,7:39:00 PM,0.07,L
7/13/2021,Tue,2:42:00 AM,1.3,H
7/13/2021,Tue,8:15:00 AM,0.01,L
7/13/2021,Tue,3:11:00 PM,1.16,H
7/13/2021,Tue,8:23:00 PM,0.06,L
7/14/2021,Wed,3:28:00 AM,1.26,H
7/14/2021,Wed,8:52:00 AM,-0.01,L
7/14/2021,Wed,4:00:00 PM,1.2,H
7/14/2021,Wed,9:07:00 PM,0.07,L
7/15/2021,Thu,4:18:00 AM,1.22,H
7/15/2021,Thu,9:33:00 AM,-0.01,L
7/15/2021,Thu,4:51:00 PM,1.23,H
7/15/2021,Thu,9:58:00 PM,0.1,L
7/16/2021,Fri,5:10:00 AM,1.19,H
7/16/2021,Fri,10:22:00 AM,0,L
7/16/2021,Fri,5:44:00 PM,1.28,H
7/16/2021,Fri,11:01:00 PM,0.13,L
7/17/2021,Sat,6:04:00 AM,1.15,H
7/17/2021,Sat,11:20:00 AM,0.02,L
7/17/2021,Sat,6:37:00 PM,1.32,H
7/18/2021,Sun,12:11:00 AM,0.14,L
7/18/2021,Sun,6:58:00 AM,1.12,H
7/18/2021,Sun,12:21:00 PM,0.02,L
7/18/2021,Sun,7:32:00 PM,1.36,H
7/19/2021,Mon,1:19:00 AM,0.13,L
7/19/2021,Mon,7:58:00 AM,1.11,H
7/19/2021,Mon,1:22:00 PM,0.02,L
7/19/2021,Mon,8:35:00 PM,1.4,H
7/20/2021,Tue,2:32:00 AM,0.11,L
7/20/2021,Tue,9:03:00 AM,1.13,H
7/20/2021,Tue,2:26:00 PM,0.01,L
7/20/2021,Tue,9:37:00 PM,1.46,H
7/21/2021,Wed,3:44:00 AM,0.07,L
7/21/2021,Wed,10:04:00 AM,1.18,H
7/21/2021,Wed,3:32:00 PM,-0.01,L
7/21/2021,Wed,10:32:00 PM,1.52,H
7/22/2021,Thu,4:47:00 AM,0.02,L
7/22/2021,Thu,10:57:00 AM,1.24,H
7/22/2021,Thu,4:32:00 PM,-0.02,L
7/22/2021,Thu,11:23:00 PM,1.55,H
7/23/2021,Fri,5:48:00 AM,-0.01,L
7/23/2021,Fri,11:48:00 AM,1.28,H
7/23/2021,Fri,5:31:00 PM,-0.02,L
7/24/2021,Sat,12:13:00 AM,1.55,H
7/24/2021,Sat,6:49:00 AM,-0.03,L
7/24/2021,Sat,12:39:00 PM,1.3,H
7/24/2021,Sat,6:34:00 PM,-0.01,L
7/25/2021,Sun,1:03:00 AM,1.52,H
7/25/2021,Sun,7:38:00 AM,-0.04,L
7/25/2021,Sun,1:31:00 PM,1.31,H
7/25/2021,Sun,7:30:00 PM,0,L
7/26/2021,Mon,1:53:00 AM,1.46,H
7/26/2021,Mon,8:15:00 AM,-0.03,L
7/26/2021,Mon,2:21:00 PM,1.3,H
7/26/2021,Mon,8:14:00 PM,0.04,L
7/27/2021,Tue,2:41:00 AM,1.39,H
7/27/2021,Tue,8:45:00 AM,0.01,L
7/27/2021,Tue,3:09:00 PM,1.28,H
7/27/2021,Tue,8:52:00 PM,0.1,L
7/28/2021,Wed,3:29:00 AM,1.3,H
7/28/2021,Wed,9:13:00 AM,0.07,L
7/28/2021,Wed,3:59:00 PM,1.25,H
7/28/2021,Wed,9:28:00 PM,0.17,L
7/29/2021,Thu,4:18:00 AM,1.2,H
7/29/2021,Thu,9:44:00 AM,0.13,L
7/29/2021,Thu,4:49:00 PM,1.22,H
7/29/2021,Thu,10:10:00 PM,0.24,L
7/30/2021,Fri,5:08:00 AM,1.12,H
7/30/2021,Fri,10:20:00 AM,0.19,L
7/30/2021,Fri,5:39:00 PM,1.19,H
7/30/2021,Fri,11:08:00 PM,0.31,L
7/31/2021,Sat,5:58:00 AM,1.04,H
7/31/2021,Sat,11:07:00 AM,0.25,L
