Date,Day,Time,Pred,High/Low
3/1/2021,Mon,1:57:00 AM,1.37,H
3/1/2021,Mon,7:38:00 AM,-0.21,L
3/1/2021,Mon,2:18:00 PM,1.32,H
3/1/2021,Mon,7:55:00 PM,-0.26,L
3/2/2021,Tue,2:44:00 AM,1.39,H
3/2/2021,Tue,8:23:00 AM,-0.2,L
3/2/2021,Tue,3:07:00 PM,1.26,H
3/2/2021,Tue,8:36:00 PM,-0.24,L
3/3/2021,Wed,3:35:00 AM,1.38,H
3/3/2021,Wed,9:09:00 AM,-0.15,L
3/3/2021,Wed,3:59:00 PM,1.19,H
3/3/2021,Wed,9:18:00 PM,-0.19,L
3/4/2021,Thu,4:29:00 AM,1.34,H
3/4/2021,Thu,9:59:00 AM,-0.07,L
3/4/2021,Thu,4:55:00 PM,1.11,H
3/4/2021,Thu,10:07:00 PM,-0.1,L
3/5/2021,Fri,5:27:00 AM,1.3,H
3/5/2021,Fri,11:04:00 AM,0.03,L
3/5/2021,Fri,5:53:00 PM,1.04,H
3/5/2021,Fri,11:09:00 PM,-0.01,L
3/6/2021,Sat,6:25:00 AM,1.25,H
3/6/2021,Sat,12:30:00 PM,0.1,L
3/6/2021,Sat,6:53:00 PM,0.99,H
3/7/2021,Sun,12:25:00 AM,0.06,L
3/7/2021,Sun,7:26:00 AM,1.2,H
3/7/2021,Sun,2:34:00 PM,0.11,L
3/7/2021,Sun,7:57:00 PM,0.96,H
3/8/2021,Mon,1:53:00 AM,0.1,L
3/8/2021,Mon,8:33:00 AM,1.18,H
3/8/2021,Mon,3:55:00 PM,0.07,L
3/8/2021,Mon,9:07:00 PM,0.99,H
3/9/2021,Tue,3:45:00 AM,0.08,L
3/9/2021,Tue,9:38:00 AM,1.2,H
3/9/2021,Tue,4:49:00 PM,0.02,L
3/9/2021,Tue,10:07:00 PM,1.05,H
3/10/2021,Wed,4:47:00 AM,0.04,L
3/10/2021,Wed,10:31:00 AM,1.23,H
3/10/2021,Wed,5:36:00 PM,-0.01,L
3/10/2021,Wed,10:55:00 PM,1.12,H
3/11/2021,Thu,5:38:00 AM,0.01,L
3/11/2021,Thu,11:16:00 AM,1.25,H
3/11/2021,Thu,6:19:00 PM,-0.03,L
3/11/2021,Thu,11:39:00 PM,1.18,H
3/12/2021,Fri,6:24:00 AM,-0.01,L
3/12/2021,Fri,11:59:00 AM,1.26,H
3/12/2021,Fri,6:54:00 PM,-0.04,L
3/13/2021,Sat,12:21:00 AM,1.21,H
3/13/2021,Sat,7:01:00 AM,-0.02,L
3/13/2021,Sat,12:41:00 PM,1.24,H
3/13/2021,Sat,7:14:00 PM,-0.03,L
3/14/2021,Sun,1:03:00 AM,1.23,H
3/14/2021,Sun,7:24:00 AM,-0.01,L
3/14/2021,Sun,1:22:00 PM,1.2,H
3/14/2021,Sun,7:24:00 PM,-0.02,L
3/15/2021,Mon,1:43:00 AM,1.23,H
3/15/2021,Mon,7:42:00 AM,-0.01,L
3/15/2021,Mon,2:03:00 PM,1.15,H
3/15/2021,Mon,7:42:00 PM,-0.01,L
3/16/2021,Tue,2:23:00 AM,1.21,H
3/16/2021,Tue,8:04:00 AM,0.01,L
3/16/2021,Tue,2:43:00 PM,1.09,H
3/16/2021,Tue,8:05:00 PM,-0.01,L
3/17/2021,Wed,3:04:00 AM,1.17,H
3/17/2021,Wed,8:31:00 AM,0.03,L
3/17/2021,Wed,3:25:00 PM,1.02,H
3/17/2021,Wed,8:32:00 PM,0.01,L
3/18/2021,Thu,3:47:00 AM,1.13,H
3/18/2021,Thu,9:01:00 AM,0.07,L
3/18/2021,Thu,4:10:00 PM,0.95,H
3/18/2021,Thu,9:03:00 PM,0.04,L
3/19/2021,Fri,4:34:00 AM,1.08,H
3/19/2021,Fri,9:36:00 AM,0.12,L
3/19/2021,Fri,4:59:00 PM,0.89,H
3/19/2021,Fri,9:40:00 PM,0.09,L
3/20/2021,Sat,5:24:00 AM,1.04,H
3/20/2021,Sat,10:22:00 AM,0.18,L
3/20/2021,Sat,5:50:00 PM,0.84,H
3/20/2021,Sat,10:26:00 PM,0.14,L
3/21/2021,Sun,6:15:00 AM,1.02,H
3/21/2021,Sun,11:22:00 AM,0.22,L
3/21/2021,Sun,6:41:00 PM,0.82,H
3/21/2021,Sun,11:28:00 PM,0.17,L
3/22/2021,Mon,7:09:00 AM,1.01,H
3/22/2021,Mon,12:30:00 PM,0.23,L
3/22/2021,Mon,7:38:00 PM,0.83,H
3/23/2021,Tue,12:36:00 AM,0.17,L
3/23/2021,Tue,8:08:00 AM,1.03,H
