Date,Day,Time,Pred,High/Low
5/1/2021,Sat,3:48:00 AM,1.41,H
5/1/2021,Sat,9:36:00 AM,-0.05,L
5/1/2021,Sat,4:20:00 PM,1.14,H
5/1/2021,Sat,9:37:00 PM,0,L
5/2/2021,Sun,4:47:00 AM,1.32,H
5/2/2021,Sun,10:42:00 AM,0.06,L
5/2/2021,Sun,5:21:00 PM,1.09,H
5/2/2021,Sun,10:43:00 PM,0.12,L
5/3/2021,Mon,5:47:00 AM,1.23,H
5/3/2021,Mon,12:46:00 PM,0.11,L
5/3/2021,Mon,6:20:00 PM,1.07,H
5/4/2021,Tue,12:57:00 AM,0.19,L
5/4/2021,Tue,6:45:00 AM,1.16,H
5/4/2021,Tue,2:09:00 PM,0.11,L
5/4/2021,Tue,7:19:00 PM,1.06,H
5/5/2021,Wed,2:37:00 AM,0.17,L
5/5/2021,Wed,7:43:00 AM,1.1,H
5/5/2021,Wed,3:12:00 PM,0.1,L
5/5/2021,Wed,8:20:00 PM,1.08,H
5/6/2021,Thu,3:42:00 AM,0.14,L
5/6/2021,Thu,8:45:00 AM,1.07,H
5/6/2021,Thu,4:00:00 PM,0.09,L
5/6/2021,Thu,9:19:00 PM,1.12,H
5/7/2021,Fri,4:31:00 AM,0.11,L
5/7/2021,Fri,9:41:00 AM,1.08,H
5/7/2021,Fri,4:38:00 PM,0.09,L
5/7/2021,Fri,10:07:00 PM,1.19,H
5/8/2021,Sat,5:14:00 AM,0.09,L
5/8/2021,Sat,10:27:00 AM,1.09,H
5/8/2021,Sat,5:05:00 PM,0.1,L
5/8/2021,Sat,10:48:00 PM,1.24,H
5/9/2021,Sun,5:52:00 AM,0.09,L
5/9/2021,Sun,11:07:00 AM,1.11,H
5/9/2021,Sun,5:11:00 PM,0.11,L
5/9/2021,Sun,11:26:00 PM,1.28,H
5/10/2021,Mon,6:22:00 AM,0.09,L
5/10/2021,Mon,11:46:00 AM,1.1,H
5/10/2021,Mon,5:21:00 PM,0.11,L
5/11/2021,Tue,12:03:00 AM,1.29,H
5/11/2021,Tue,6:32:00 AM,0.09,L
5/11/2021,Tue,12:25:00 PM,1.09,H
5/11/2021,Tue,5:46:00 PM,0.1,L
5/12/2021,Wed,12:42:00 AM,1.29,H
5/12/2021,Wed,6:44:00 AM,0.08,L
5/12/2021,Wed,1:05:00 PM,1.07,H
5/12/2021,Wed,6:19:00 PM,0.09,L
5/13/2021,Thu,1:23:00 AM,1.27,H
5/13/2021,Thu,7:11:00 AM,0.07,L
5/13/2021,Thu,1:47:00 PM,1.04,H
5/13/2021,Thu,6:56:00 PM,0.08,L
5/14/2021,Fri,2:04:00 AM,1.25,H
5/14/2021,Fri,7:42:00 AM,0.07,L
5/14/2021,Fri,2:29:00 PM,1,H
5/14/2021,Fri,7:33:00 PM,0.07,L
5/15/2021,Sat,2:46:00 AM,1.21,H
5/15/2021,Sat,8:14:00 AM,0.07,L
5/15/2021,Sat,3:13:00 PM,0.96,H
5/15/2021,Sat,8:10:00 PM,0.08,L
5/16/2021,Sun,3:30:00 AM,1.17,H
5/16/2021,Sun,8:49:00 AM,0.08,L
5/16/2021,Sun,4:01:00 PM,0.94,H
5/16/2021,Sun,8:49:00 PM,0.1,L
5/17/2021,Mon,4:20:00 AM,1.13,H
5/17/2021,Mon,9:29:00 AM,0.1,L
5/17/2021,Mon,4:53:00 PM,0.94,H
5/17/2021,Mon,9:34:00 PM,0.13,L
5/18/2021,Tue,5:13:00 AM,1.1,H
5/18/2021,Tue,10:18:00 AM,0.12,L
5/18/2021,Tue,5:46:00 PM,0.97,H
5/18/2021,Tue,10:31:00 PM,0.16,L
5/19/2021,Wed,6:05:00 AM,1.09,H
5/19/2021,Wed,11:20:00 AM,0.12,L
5/19/2021,Wed,6:38:00 PM,1.03,H
5/19/2021,Wed,11:44:00 PM,0.17,L
5/20/2021,Thu,6:57:00 AM,1.09,H
5/20/2021,Thu,12:23:00 PM,0.09,L
5/20/2021,Thu,7:31:00 PM,1.11,H
5/21/2021,Fri,12:54:00 AM,0.13,L
5/21/2021,Fri,7:54:00 AM,1.11,H
