Date,Day,Time,Pred,High/Low
10/1/2021,Fri,1:23:00 AM,0.3,L
10/1/2021,Fri,8:23:00 AM,0.96,H
10/1/2021,Fri,1:28:00 PM,0.26,L
10/1/2021,Fri,8:50:00 PM,1.12,H
10/2/2021,Sat,2:26:00 AM,0.24,L
10/2/2021,Sat,9:21:00 AM,1.05,H
10/2/2021,Sat,2:35:00 PM,0.2,L
10/2/2021,Sat,9:45:00 PM,1.2,H
10/3/2021,Sun,3:19:00 AM,0.15,L
10/3/2021,Sun,10:10:00 AM,1.18,H
10/3/2021,Sun,3:34:00 PM,0.11,L
10/3/2021,Sun,10:31:00 PM,1.27,H
10/4/2021,Mon,4:03:00 AM,0.06,L
10/4/2021,Mon,10:53:00 AM,1.31,H
10/4/2021,Mon,4:25:00 PM,0.01,L
10/4/2021,Mon,11:13:00 PM,1.34,H
10/5/2021,Tue,4:45:00 AM,-0.04,L
10/5/2021,Tue,11:35:00 AM,1.42,H
10/5/2021,Tue,5:13:00 PM,-0.07,L
10/5/2021,Tue,11:56:00 PM,1.37,H
10/6/2021,Wed,5:28:00 AM,-0.11,L
10/6/2021,Wed,12:19:00 PM,1.5,H
10/6/2021,Wed,6:03:00 PM,-0.12,L
10/7/2021,Thu,12:41:00 AM,1.38,H
10/7/2021,Thu,6:14:00 AM,-0.15,L
10/7/2021,Thu,1:05:00 PM,1.55,H
10/7/2021,Thu,6:54:00 PM,-0.15,L
10/8/2021,Fri,1:29:00 AM,1.36,H
10/8/2021,Fri,7:01:00 AM,-0.18,L
10/8/2021,Fri,1:53:00 PM,1.56,H
10/8/2021,Fri,7:43:00 PM,-0.15,L
10/9/2021,Sat,2:18:00 AM,1.31,H
10/9/2021,Sat,7:47:00 AM,-0.17,L
10/9/2021,Sat,2:43:00 PM,1.53,H
10/9/2021,Sat,8:29:00 PM,-0.12,L
10/10/2021,Sun,3:10:00 AM,1.25,H
10/10/2021,Sun,8:32:00 AM,-0.12,L
10/10/2021,Sun,3:37:00 PM,1.47,H
10/10/2021,Sun,9:16:00 PM,-0.04,L
10/11/2021,Mon,4:06:00 AM,1.18,H
10/11/2021,Mon,9:19:00 AM,-0.03,L
10/11/2021,Mon,4:36:00 PM,1.39,H
10/11/2021,Mon,10:11:00 PM,0.06,L
10/12/2021,Tue,5:08:00 AM,1.13,H
10/12/2021,Tue,10:16:00 AM,0.08,L
10/12/2021,Tue,5:38:00 PM,1.32,H
10/12/2021,Tue,11:36:00 PM,0.15,L
10/13/2021,Wed,6:10:00 AM,1.1,H
10/13/2021,Wed,11:39:00 AM,0.17,L
