Date,Day,Time,Pred,High/Low
9/1/2021,Wed,1:10:00 AM,0.37,L
9/1/2021,Wed,7:58:00 AM,0.91,H
9/1/2021,Wed,12:59:00 PM,0.3,L
9/1/2021,Wed,8:30:00 PM,1.12,H
9/2/2021,Thu,2:27:00 AM,0.34,L
9/2/2021,Thu,9:00:00 AM,0.95,H
9/2/2021,Thu,2:01:00 PM,0.28,L
9/2/2021,Thu,9:28:00 PM,1.18,H
9/3/2021,Fri,3:31:00 AM,0.28,L
9/3/2021,Fri,9:55:00 AM,1.02,H
9/3/2021,Fri,3:03:00 PM,0.22,L
9/3/2021,Fri,10:17:00 PM,1.25,H
9/4/2021,Sat,4:06:00 AM,0.2,L
9/4/2021,Sat,10:40:00 AM,1.12,H
9/4/2021,Sat,3:57:00 PM,0.15,L
9/4/2021,Sat,11:00:00 PM,1.32,H
9/5/2021,Sun,4:42:00 AM,0.12,L
9/5/2021,Sun,11:22:00 AM,1.22,H
9/5/2021,Sun,4:45:00 PM,0.08,L
9/5/2021,Sun,11:41:00 PM,1.37,H
9/6/2021,Mon,5:20:00 AM,0.05,L
9/6/2021,Mon,12:03:00 PM,1.3,H
9/6/2021,Mon,5:32:00 PM,0.01,L
9/7/2021,Tue,12:23:00 AM,1.39,H
9/7/2021,Tue,6:01:00 AM,-0.02,L
9/7/2021,Tue,12:47:00 PM,1.38,H
9/7/2021,Tue,6:22:00 PM,-0.04,L
9/8/2021,Wed,1:08:00 AM,1.39,H
9/8/2021,Wed,6:45:00 AM,-0.08,L
9/8/2021,Wed,1:32:00 PM,1.43,H
9/8/2021,Wed,7:11:00 PM,-0.08,L
9/9/2021,Thu,1:53:00 AM,1.37,H
9/9/2021,Thu,7:27:00 AM,-0.12,L
9/9/2021,Thu,2:18:00 PM,1.46,H
9/9/2021,Thu,7:57:00 PM,-0.09,L
9/10/2021,Fri,2:40:00 AM,1.33,H
9/10/2021,Fri,8:09:00 AM,-0.13,L
9/10/2021,Fri,3:06:00 PM,1.46,H
9/10/2021,Fri,8:41:00 PM,-0.07,L
9/11/2021,Sat,3:30:00 AM,1.26,H
9/11/2021,Sat,8:50:00 AM,-0.1,L
9/11/2021,Sat,3:59:00 PM,1.43,H
9/11/2021,Sat,9:28:00 PM,0,L
9/12/2021,Sun,4:25:00 AM,1.2,H
9/12/2021,Sun,9:35:00 AM,-0.04,L
9/12/2021,Sun,4:56:00 PM,1.39,H
9/12/2021,Sun,10:24:00 PM,0.09,L
9/13/2021,Mon,5:24:00 AM,1.14,H
9/13/2021,Mon,10:31:00 AM,0.05,L
9/13/2021,Mon,5:55:00 PM,1.35,H
9/13/2021,Mon,11:40:00 PM,0.17,L
9/14/2021,Tue,6:23:00 AM,1.1,H
9/14/2021,Tue,11:44:00 AM,0.13,L
9/14/2021,Tue,6:55:00 PM,1.31,H
9/15/2021,Wed,1:14:00 AM,0.19,L
9/15/2021,Wed,7:25:00 AM,1.08,H
9/15/2021,Wed,1:05:00 PM,0.17,L
9/15/2021,Wed,7:58:00 PM,1.29,H
9/16/2021,Thu,3:07:00 AM,0.16,L
9/16/2021,Thu,8:32:00 AM,1.1,H
9/16/2021,Thu,2:46:00 PM,0.16,L
9/16/2021,Thu,9:05:00 PM,1.3,H
9/17/2021,Fri,4:10:00 AM,0.11,L
9/17/2021,Fri,9:37:00 AM,1.17,H
9/17/2021,Fri,4:08:00 PM,0.11,L
9/17/2021,Fri,10:04:00 PM,1.34,H
9/18/2021,Sat,4:58:00 AM,0.06,L
9/18/2021,Sat,10:30:00 AM,1.25,H
9/18/2021,Sat,5:02:00 PM,0.07,L
9/18/2021,Sat,10:52:00 PM,1.36,H
9/19/2021,Sun,5:40:00 AM,0.04,L
9/19/2021,Sun,11:16:00 AM,1.31,H
9/19/2021,Sun,5:50:00 PM,0.05,L
9/19/2021,Sun,11:36:00 PM,1.37,H
9/20/2021,Mon,6:17:00 AM,0.03,L
9/20/2021,Mon,11:59:00 AM,1.35,H
9/20/2021,Mon,6:34:00 PM,0.04,L
9/21/2021,Tue,12:19:00 AM,1.35,H
9/21/2021,Tue,6:46:00 AM,0.04,L
9/21/2021,Tue,12:41:00 PM,1.37,H
9/21/2021,Tue,7:09:00 PM,0.04,L
9/22/2021,Wed,1:02:00 AM,1.31,H
9/22/2021,Wed,7:07:00 AM,0.05,L
9/22/2021,Wed,1:23:00 PM,1.36,H
9/22/2021,Wed,7:33:00 PM,0.06,L
9/23/2021,Thu,1:44:00 AM,1.25,H
9/23/2021,Thu,7:28:00 AM,0.07,L
9/23/2021,Thu,2:04:00 PM,1.33,H
9/23/2021,Thu,7:56:00 PM,0.08,L
9/24/2021,Fri,2:25:00 AM,1.18,H
9/24/2021,Fri,7:52:00 AM,0.08,L
9/24/2021,Fri,2:46:00 PM,1.28,H
