Date,Day,Time,Pred(Ft),Pred(cm),High/Low
1/1/2023,Sun,12:18:00 AM,3.22,98,H
1/1/2023,Sun,5:55:00 AM,0.26,8,L
1/1/2023,Sun,12:45:00 PM,3.51,107,H
1/1/2023,Sun,6:40:00 PM,0.2,6,L
1/2/2023,Mon,1:20:00 AM,3.13,95,H
1/2/2023,Mon,6:52:00 AM,0.37,11,L
1/2/2023,Mon,1:41:00 PM,3.51,107,H
1/2/2023,Mon,7:41:00 PM,0.17,5,L
1/3/2023,Tue,2:20:00 AM,3.08,94,H
1/3/2023,Tue,7:46:00 AM,0.43,13,L
1/3/2023,Tue,2:33:00 PM,3.53,108,H
1/3/2023,Tue,8:36:00 PM,0.12,4,L
1/4/2023,Wed,3:14:00 AM,3.06,93,H
1/4/2023,Wed,8:37:00 AM,0.46,14,L
1/4/2023,Wed,3:21:00 PM,3.55,108,H
1/4/2023,Wed,9:24:00 PM,0.08,2,L
1/5/2023,Thu,4:01:00 AM,3.07,94,H
1/5/2023,Thu,9:22:00 AM,0.46,14,L
1/5/2023,Thu,4:04:00 PM,3.57,109,H
1/5/2023,Thu,10:07:00 PM,0.05,2,L
1/6/2023,Fri,4:44:00 AM,3.07,94,H
1/6/2023,Fri,10:05:00 AM,0.44,13,L
1/6/2023,Fri,4:44:00 PM,3.58,109,H
1/6/2023,Fri,10:46:00 PM,0.04,1,L
1/7/2023,Sat,5:24:00 AM,3.08,94,H
1/7/2023,Sat,10:45:00 AM,0.43,13,L
1/7/2023,Sat,5:24:00 PM,3.57,109,H
1/7/2023,Sat,11:25:00 PM,0.04,1,L
1/8/2023,Sun,6:03:00 AM,3.08,94,H
1/8/2023,Sun,11:25:00 AM,0.42,13,L
1/8/2023,Sun,6:03:00 PM,3.56,109,H
1/9/2023,Mon,12:03:00 AM,0.05,2,L
1/9/2023,Mon,6:41:00 AM,3.09,94,H
1/9/2023,Mon,12:05:00 PM,0.42,13,L
1/9/2023,Mon,6:42:00 PM,3.52,107,H
1/10/2023,Tue,12:40:00 AM,0.08,2,L
1/10/2023,Tue,7:18:00 AM,3.1,94,H
1/10/2023,Tue,12:46:00 PM,0.44,13,L
1/10/2023,Tue,7:21:00 PM,3.46,105,H
1/11/2023,Wed,1:18:00 AM,0.12,4,L
1/11/2023,Wed,7:56:00 AM,3.1,94,H
1/11/2023,Wed,1:27:00 PM,0.46,14,L
1/11/2023,Wed,8:01:00 PM,3.38,103,H
1/12/2023,Thu,1:56:00 AM,0.18,5,L
1/12/2023,Thu,8:35:00 AM,3.12,95,H
1/12/2023,Thu,2:10:00 PM,0.48,15,L
1/12/2023,Thu,8:43:00 PM,3.29,100,H
