STN_ID,STN_EQUIV,SAMP_DATE,UNIQUE_ID,SOURCE,LAB,GEN_QC,TIME,TIME_QC,DUP,SAMPDEP_M,SAMPDEP_QC,SECCHI_M,SECC_QC,TOTDEP_M,TOTDEP_QC,TEMP_C,TEMP_QC,SAL_FIELD,SAL_METH,SAL_QC,SAL_LAB,SAL_LAB_QC,COND,DO_MGL,DO_SAT,DO_METH,DO_QC,PO4_UM,PO4_QC,TP_UM,TP_QC,NH4_UM,NH4_QC,NO2NO3_UM,NO2NO3_QC,TDN_UM,TDN_QC,PON_UM,PON_QC,TN_UM,TN_QC,POC_UM,POC_QC,CHLA_UGL_LAB,CHLA_LAB_QC,CHLA_LAB_METH,CHLA_UGL_ SONDE,CHLA_SONDE_QC,CHLA_SONDE_METH,PHEO_UGL,PHEO_QC,DOC_UM,DOC_QC,PH,PH_QC,BEAU,BEAU_QC,TIDE,WHTR,PREC,WIND,OBS_COMM,QA_COM
FC1X,FC1,5/12/1992,FC1X-X-1992-05-12-0809-D-1.46-0,BBC,,,8:09 AM,,0,1.46,,,,1.76,,10.5,,30,S1,11,,,,8.5,92.20%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,5,1,0,,
FC1X,FC1,5/12/1992,FC1X-X-1992-05-12-0809-S-0.15-0,BBC,,,8:09 AM,,0,0.15,,,,1.76,,11,,29,S1,11,,,,9,98.10%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,5,1,0,,
FC1X,FC1,5/28/1992,FC1X-X-1992-05-28-0755-S-0.15-0,BBC,,,7:55 AM,,0,0.15,,,,1.95,,13.5,,28,S1,11,,,,8.5,97.10%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
FC1X,FC1,5/28/1992,FC1X-X-1992-05-28-0755-D-1.65-0,BBC,,,7:55 AM,,0,1.65,,,,1.95,,14,,31,S1,11,,,,8.5,100.00%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,
FC1X,FC1,6/4/1992,FC1X-X-1992-06-04-0809-S-0.15-0,BBC,,,8:09 AM,,0,0.15,,,,1.78,,16,,30,S1,11,,,,8.5,103.50%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,1,,,
FC1X,FC1,6/4/1992,FC1X-X-1992-06-04-0809-D-1.48-0,BBC,,,8:09 AM,,0,1.48,,,,1.78,,16,,31,S1,11,,,,8,98.00%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,1,,,
FC1X,FC1,6/11/1992,FC1X-X-1992-06-11-0824-S-0.15-0,BBC,,,8:24 AM,,0,0.15,,,,1.95,,18.5,,29,S1,11,,,,7.5,95.30%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,1,,,
FC1X,FC1,6/11/1992,FC1X-X-1992-06-11-0824-D-1.65-0,BBC,,,8:24 AM,,0,1.65,,,,1.95,,18.5,,30,S1,11,,,,8.5,108.70%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,1,,,
FC1X,FC1,6/19/1992,FC1X-X-1992-06-19-0838-S-0.15-0,BBC,,,8:38 AM,,0,0.15,,,,1.98,,20,,30,S1,11,,,,8,105.20%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,1,1,0,,
FC1X,FC1,6/19/1992,FC1X-X-1992-06-19-0838-D-1.68-0,BBC,,,8:38 AM,,0,1.68,,,,1.98,,20,,31,S1,11,,,,7,92.60%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,1,1,0,,
FC1X,FC1,6/27/1992,FC1X-X-1992-06-27-0809-S-0.15-0,BBC,,,8:09 AM,,0,0.15,,,,2.02,,19,,28,S1,11,,,,7.5,95.70%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,,
FC1X,FC1,6/27/1992,FC1X-X-1992-06-27-0824-D-1.72-0,BBC,,,8:24 AM,,0,1.72,,,,2.02,,19.5,,31,S1,11,,,,7,91.80%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,,
FC1X,FC1,7/2/1992,FC1X-X-1992-07-02-0809-S-0.3-0,BBC,,,8:09 AM,,0,0.3,,2.2,,2.41,,20,,31,S1,11,,,,7,92.60%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,1,0,,
FC1X,FC1,7/2/1992,FC1X-X-1992-07-02-0755-S-0.15-0,BBC,,,7:55 AM,,0,0.15,,2.2,,2.41,,21,,31.5,S1,11,,,,6.5,87.90%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,1,0,,
FC1X,FC1,7/10/1992,FC1X-X-1992-07-10-0755-S-0.15-0,BBC,,,7:55 AM,,0,0.15,,,,2.02,,20,,28,S1,11,,,,6.5,84.50%,DO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,3,,,
