"Plot Title: Carolina No 2 June_2_2022",,,,,
"Date Time, GMT-04:00","High Range, μS/cm (SEN S/N: 20182877)","Temp, °C (SEN S/N: 20182877)"
06/02/22 14:00:00,355.5,20.61
06/02/22 14:30:00,281.8,22.03
06/02/22 15:00:00,219.7,22.90
06/02/22 15:30:00,215.8,23.20
06/02/22 16:00:00,216.6,23.56
06/02/22 16:30:00,183.8,23.59
06/02/22 17:00:00,154.4,23.21
06/02/22 17:30:00,0.0,22.83
06/02/22 18:00:00,0.0,22.63
06/02/22 18:30:00,0.0,22.12
06/02/22 19:00:00,0.0,22.19
06/02/22 19:30:00,0.0,22.20
06/02/22 20:00:00,0.0,22.17
06/02/22 20:30:00,0.0,22.12
06/02/22 21:00:00,0.0,22.08
06/02/22 21:30:00,0.0,21.97
06/02/22 22:00:00,0.0,21.71
06/02/22 22:30:00,0.0,21.50
06/02/22 23:00:00,0.0,21.33
06/02/22 23:30:00,0.0,21.18
06/03/22 00:00:00,0.0,21.04
06/03/22 00:30:00,0.0,20.93
06/03/22 01:00:00,0.0,20.81
06/03/22 01:30:00,0.0,20.70
06/03/22 02:00:00,0.0,20.80
06/03/22 02:30:00,0.0,20.99
06/03/22 03:00:00,0.0,21.11
06/03/22 03:30:00,0.0,21.21
06/03/22 04:00:00,0.0,21.27
06/03/22 04:30:00,0.0,21.30
06/03/22 05:00:00,0.0,21.33
06/03/22 05:30:00,0.0,21.35
06/03/22 06:00:00,0.0,21.36
06/03/22 06:30:00,0.0,21.38
06/03/22 07:00:00,0.0,21.40
06/03/22 07:30:00,0.0,21.41
06/03/22 08:00:00,0.0,21.42
06/03/22 08:30:00,0.0,21.44
06/03/22 09:00:00,0.0,21.45
06/03/22 09:30:00,0.0,21.47
06/03/22 10:00:00,0.0,21.48
06/03/22 10:30:00,0.0,21.49
06/03/22 11:00:00,0.0,21.50
06/03/22 11:30:00,0.0,21.52
06/03/22 12:00:00,0.0,21.54
06/03/22 12:30:00,0.0,21.57
06/03/22 13:00:00,0.0,21.60
06/03/22 13:30:00,0.0,21.63
06/03/22 14:00:00,0.0,21.65
06/03/22 14:30:00,0.0,21.69
06/03/22 15:00:00,0.0,21.74
06/03/22 15:30:00,0.0,21.78
06/03/22 16:00:00,0.0,21.83
06/03/22 16:30:00,0.0,21.85
06/03/22 17:00:00,0.0,21.89
06/03/22 17:30:00,0.0,21.91
06/03/22 18:00:00,0.0,21.91
06/03/22 18:30:00,0.0,21.91
06/03/22 19:00:00,0.0,21.90
06/03/22 19:30:00,0.0,21.90
06/03/22 20:00:00,0.0,21.90
06/03/22 20:30:00,0.0,21.90
06/03/22 21:00:00,0.0,21.90
06/03/22 21:30:00,0.0,21.83
06/03/22 22:00:00,0.0,21.65
06/03/22 22:30:00,0.0,21.48
06/03/22 23:00:00,0.0,21.34
06/03/22 23:30:00,0.0,21.21
06/04/22 00:00:00,0.0,21.08
06/04/22 00:30:00,0.0,20.96
06/04/22 01:00:00,0.0,20.86
06/04/22 01:30:00,0.0,20.75
06/04/22 02:00:00,0.0,20.79
06/04/22 02:30:00,0.0,20.96
06/04/22 03:00:00,0.0,21.09
06/04/22 03:30:00,0.0,21.17
06/04/22 04:00:00,0.0,21.22
06/04/22 04:30:00,0.0,21.26
06/04/22 05:00:00,0.0,21.28
06/04/22 05:30:00,0.0,21.30
06/04/22 06:00:00,0.0,21.31
06/04/22 06:30:00,0.0,21.33
06/04/22 07:00:00,0.0,21.34
06/04/22 07:30:00,0.0,21.36
06/04/22 08:00:00,0.0,21.38
06/04/22 08:30:00,0.0,21.41
06/04/22 09:00:00,0.0,21.44
06/04/22 09:30:00,0.0,21.47
06/04/22 10:00:00,0.0,21.49
06/04/22 10:30:00,0.0,21.52
06/04/22 11:00:00,0.0,21.56
06/04/22 11:30:00,0.0,21.58
06/04/22 12:00:00,0.0,21.61
06/04/22 12:30:00,0.0,21.63
06/04/22 13:00:00,0.0,21.67
06/04/22 13:30:00,0.0,21.70
06/04/22 14:00:00,0.0,21.74
06/04/22 14:30:00,0.0,21.77
06/04/22 15:00:00,0.0,21.81
06/04/22 15:30:00,0.0,21.85
06/04/22 16:00:00,0.0,21.89
06/04/22 16:30:00,0.0,21.92
06/04/22 17:00:00,0.0,21.96
06/04/22 17:30:00,0.0,21.98
06/04/22 18:00:00,0.0,21.97
06/04/22 18:30:00,0.0,21.95
06/04/22 19:00:00,0.0,21.96
06/04/22 19:30:00,0.0,21.95
06/04/22 20:00:00,0.0,21.93
06/04/22 20:30:00,0.0,21.95
06/04/22 21:00:00,0.0,21.96
06/04/22 21:30:00,0.0,21.86
06/04/22 22:00:00,0.0,21.71
06/04/22 22:30:00,0.0,21.57
06/04/22 23:00:00,0.0,21.47
06/04/22 23:30:00,0.0,21.35
06/05/22 00:00:00,0.0,21.16
06/05/22 00:30:00,0.0,21.00
06/05/22 01:00:00,0.0,20.87
06/05/22 01:30:00,0.0,20.75
06/05/22 02:00:00,0.0,20.77
06/05/22 02:30:00,0.0,20.93
06/05/22 03:00:00,0.0,21.04
06/05/22 03:30:00,0.0,21.10
06/05/22 04:00:00,0.0,21.15
06/05/22 04:30:00,0.0,21.17
06/05/22 05:00:00,0.0,21.21
06/05/22 05:30:00,0.0,21.23
06/05/22 06:00:00,0.0,21.26
06/05/22 06:30:00,0.0,21.28
06/05/22 07:00:00,0.0,21.30
06/05/22 07:30:00,0.0,21.33
06/05/22 08:00:00,0.0,21.35
06/05/22 08:30:00,0.0,21.37
06/05/22 09:00:00,0.0,21.40
06/05/22 09:30:00,0.0,21.42
06/05/22 10:00:00,0.0,21.45
06/05/22 10:30:00,0.0,21.47
06/05/22 11:00:00,0.0,21.51
06/05/22 11:30:00,0.0,21.50
06/05/22 12:00:00,0.0,21.54
06/05/22 12:30:00,0.0,21.56
06/05/22 13:00:00,0.0,21.58
06/05/22 13:30:00,0.0,21.62
06/05/22 14:00:00,0.0,21.65
06/05/22 14:30:00,0.0,21.70
06/05/22 15:00:00,0.0,21.72
06/05/22 15:30:00,0.0,21.77
06/05/22 16:00:00,0.0,21.83
06/05/22 16:30:00,0.0,21.86
06/05/22 17:00:00,0.0,21.89
06/05/22 17:30:00,0.0,21.91
06/05/22 18:00:00,0.0,21.92
06/05/22 18:30:00,0.0,21.90
06/05/22 19:00:00,0.0,21.90
06/05/22 19:30:00,0.0,21.89
06/05/22 20:00:00,0.0,21.90
06/05/22 20:30:00,0.0,21.88
06/05/22 21:00:00,0.0,21.89
06/05/22 21:30:00,0.0,21.83
06/05/22 22:00:00,0.0,21.69
06/05/22 22:30:00,0.0,21.58
06/05/22 23:00:00,0.0,21.48
06/05/22 23:30:00,0.0,21.36
06/06/22 00:00:00,0.0,21.24
06/06/22 00:30:00,0.0,21.13
06/06/22 01:00:00,0.0,21.02
06/06/22 01:30:00,0.0,20.92
06/06/22 02:00:00,0.0,20.90
06/06/22 02:30:00,0.0,21.07
06/06/22 03:00:00,0.0,21.20
06/06/22 03:30:00,0.0,21.29
06/06/22 04:00:00,0.0,21.34
06/06/22 04:30:00,0.0,21.40
06/06/22 05:00:00,0.0,21.43
06/06/22 05:30:00,0.0,21.47
06/06/22 06:00:00,0.0,21.50
06/06/22 06:30:00,0.0,21.52
06/06/22 07:00:00,0.0,21.55
06/06/22 07:30:00,0.0,21.57
06/06/22 08:00:00,0.0,21.61
06/06/22 08:30:00,0.0,21.64
06/06/22 09:00:00,0.0,21.68
06/06/22 09:30:00,0.0,21.74
06/06/22 10:00:00,0.0,21.78
06/06/22 10:30:00,0.0,21.83
06/06/22 11:00:00,0.0,21.84
06/06/22 11:30:00,0.0,21.89
06/06/22 12:00:00,0.0,21.92
06/06/22 12:30:00,0.0,21.95
06/06/22 13:00:00,0.0,21.96
06/06/22 13:30:00,0.0,21.98
06/06/22 14:00:00,0.0,22.01
06/06/22 14:30:00,0.0,22.04
06/06/22 15:00:00,0.0,22.06
06/06/22 15:30:00,0.0,22.09
06/06/22 16:00:00,0.0,22.18
06/06/22 16:30:00,0.0,22.20
06/06/22 17:00:00,0.0,22.23
06/06/22 17:30:00,0.0,22.23
06/06/22 18:00:00,0.0,22.19
06/06/22 18:30:00,0.0,22.16
06/06/22 19:00:00,0.0,22.16
06/06/22 19:30:00,0.0,22.12
06/06/22 20:00:00,0.0,22.11
06/06/22 20:30:00,0.0,22.10
06/06/22 21:00:00,0.0,22.11
06/06/22 21:30:00,0.0,22.02
06/06/22 22:00:00,0.0,21.84
06/06/22 22:30:00,0.0,21.69
06/06/22 23:00:00,0.0,21.54
06/06/22 23:30:00,0.0,21.40
06/07/22 00:00:00,0.0,21.26
06/07/22 00:30:00,0.0,21.14
06/07/22 01:00:00,0.0,21.03
06/07/22 01:30:00,0.0,20.94
06/07/22 02:00:00,0.0,20.88
06/07/22 02:30:00,0.0,21.08
06/07/22 03:00:00,0.0,21.29
06/07/22 03:30:00,0.0,21.42
06/07/22 04:00:00,0.0,21.49
06/07/22 04:30:00,0.0,21.55
06/07/22 05:00:00,0.0,21.60
06/07/22 05:30:00,0.0,21.63
06/07/22 06:00:00,0.0,21.67
06/07/22 06:30:00,0.0,21.69
06/07/22 07:00:00,0.0,21.72
06/07/22 07:30:00,0.0,21.75
06/07/22 08:00:00,0.0,21.77
06/07/22 08:30:00,0.0,21.79
06/07/22 09:00:00,0.0,21.82
