id,internal_station_id,collected_at,temperature_C,salinity,dissolved_oxygen_mg/L,chlorophyll_ug/L,pheophytin_ug/L,turbidty_NTU,nitrate_nitrite_uM,ammonium_uM,ortho_phosphate_uM,silicate_uM,particulate_organic_nitrogen_uM,particulate_organic_carbon_uM,total_dissolved_nitrogen_uM,total_dissolved_phosphorus_uM,total_nitrogen_uM,total_phosphorus_uM,total_nitrogen_TDN_PON
15820,124,2014-05-21T08:46:00.000Z,15.6,28,7.4,1.09,0.69,0.36,0.01,0.42,0.23,1.83,,,,,17.72,0.82,
15821,124,2014-06-03T09:22:00.000Z,18.4,28,7.2,4.74,2.01,1.31,0.27,0.48,0.11,4.69,,,,,20.15,1.04,
15822,124,2014-06-17T09:30:00.000Z,19.2,30,5,1.5,1.1,1.19,0.43,1.37,0.22,7.6,,,,,20.62,1.11,
15823,124,2014-07-16T08:44:00.000Z,24.6,30,4.26,2.27,1.96,2.78,0.44,1.88,0.31,12.88,,,,,28.84,1.47,
15824,124,2014-07-31T08:00:00.000Z,23.5,27,4.94,4.32,1.84,1.45,0.47,1.23,0.27,10.25,,,,,27.78,1.35,
15825,124,2014-08-14T09:02:00.000Z,20.6,27,3.97,4.04,2.36,2.95,1,2.61,0.67,17.31,,,,,14.71,1.47,
15826,124,2014-08-28T08:45:00.000Z,23.5,21,4.4,7.34,2.83,1.79,0.94,1.35,0.55,18.09,,,,,30.52,1.72,
15827,124,2014-09-24T09:15:00.000Z,17.6,28,6.4,7.08,2.76,1.87,2,1.38,0.46,12.96,,,,,29.83,1.66,
15828,124,2014-09-30T10:10:00.000Z,19.7,25.8,6.15,4.1,3.12,1.65,0.64,1.86,0.61,14.15,,,,,10.77,1,
15829,124,2014-10-16T10:03:00.000Z,18.6,28,7.2,1.46,1.62,1.58,0.22,0.86,0.35,1.41,,,,,19.4,0.89,
15830,124,2015-05-22T08:50:00.000Z,15.6,27,6.4,3.83,2.85,2.02,0.2,0.13,0.1,4.59,,,,,24.74,1.29,
15831,124,2015-06-05T09:15:00.000Z,17.1,20,6.1,8.75,3.57,3.69,0.34,0.32,0.16,18.6,,,,,40.1,1.53,
15832,124,2015-06-09T11:05:00.000Z,18.7,26.3,6.12,3.61,4.06,3.49,0.23,0.65,0.1,4.12,,,,,21.22,1.37,
15833,124,2015-06-25T11:15:00.000Z,22.5,27,6,4.56,1.78,0.9,0.1,0.75,0.25,13.71,,,,,24.2,1.16,
