,Date,Salinity Value,Temperature (C),Conductivity,Fit
0,2022-06-09 09:30:00-04:00,21.438,20.27222222222222,31002.7,[31844.15224981]
1,2022-06-09 10:00:00-04:00,21.528,20.27222222222222,31121.3,[31834.71547472]
2,2022-06-09 10:30:00-04:00,21.459,20.288888888888888,31041.4,[31834.71547472]
3,2022-06-09 11:00:00-04:00,21.427,20.32222222222222,31020.9,[31825.27869952]
4,2022-06-09 11:30:00-04:00,21.402,20.422222222222224,31055.1,[31825.27869952]
5,2022-06-09 12:00:00-04:00,21.265,20.511111111111113,30932.3,[31815.84192443]
6,2022-06-09 12:30:00-04:00,21.09,20.561111111111114,30734.0,[31815.84192443]
7,2022-06-09 13:00:00-04:00,20.704,20.650000000000002,30279.8,[31806.40514934]
8,2022-06-09 13:30:00-04:00,20.301,20.727777777777778,29793.7,[31806.40514934]
9,2022-06-09 14:00:00-04:00,19.824,20.827777777777776,29218.1,[31796.96837413]
13,2022-06-09 16:00:00-04:00,20.543,21.06111111111111,30328.1,[31778.09482396]
14,2022-06-09 16:30:00-04:00,21.092,21.11111111111111,31096.2,[31778.09482396]
15,2022-06-09 17:00:00-04:00,21.106,21.11111111111111,31114.5,[31768.65804875]
16,2022-06-09 17:30:00-04:00,21.178,21.11111111111111,31210.8,[31768.65804875]
17,2022-06-09 18:00:00-04:00,21.195,21.1,31226.9,[31759.22127366]
18,2022-06-09 18:30:00-04:00,21.223,21.072222222222226,31245.3,[31759.22127366]
19,2022-06-09 19:00:00-04:00,21.227,21.027777777777775,31222.3,[31749.78449857]
20,2022-06-09 19:30:00-04:00,21.256,20.999999999999996,31243.0,[31749.78449857]
21,2022-06-09 20:00:00-04:00,21.276,20.961111111111112,31243.0,[31740.34772336]
22,2022-06-09 20:30:00-04:00,21.267,20.949999999999996,31224.6,[31740.34772336]
23,2022-06-09 21:00:00-04:00,21.265,20.927777777777777,31206.2,[31730.91094828]
24,2022-06-09 21:30:00-04:00,21.27,20.900000000000002,31194.7,[31730.91094828]
25,2022-06-09 22:00:00-04:00,21.26,20.877777777777776,31167.2,[31721.47417319]
26,2022-06-09 22:30:00-04:00,21.252,20.872222222222216,31153.4,[31721.47417319]
27,2022-06-09 23:00:00-04:00,21.222,20.86111111111111,31105.3,[31712.03739798]
28,2022-06-09 23:30:00-04:00,21.213,20.85,31087.0,[31712.03739798]
29,2022-06-10 00:00:00-04:00,21.17,20.799999999999997,30995.9,[31702.60062289]
30,2022-06-10 00:30:00-04:00,21.025,20.738888888888887,30763.2,[31702.60062289]
31,2022-06-10 01:00:00-04:00,20.672,20.661111111111108,30244.9,[31693.1638478]
32,2022-06-10 01:30:00-04:00,20.184,20.57777777777778,29543.6,[31693.1638478]
33,2022-06-10 02:00:00-04:00,19.504,20.538888888888888,28613.4,[31683.7270726]
39,2022-06-10 05:00:00-04:00,21.448,20.23888888888889,30993.6,[31655.41674721]
40,2022-06-10 05:30:00-04:00,21.672,19.93888888888889,31087.0,[31655.41674721]
