,Date,Salinity Value,Temperature (C),Conductivity,Fit
0,2021-06-18 10:16:34-04:00,24.025,21.888888888888893,35561.6,[33644.71519743]
1,2021-06-18 10:46:34-04:00,24.338,21.927777777777777,36008.3,[33644.71519743]
2,2021-06-18 11:16:34-04:00,24.03,22.261111111111106,35842.6,[33644.34170625]
3,2021-06-18 11:46:34-04:00,23.97,22.42777777777778,35885.7,[33644.34170625]
4,2021-06-18 12:16:34-04:00,23.661,22.5,35519.3,[33643.96821507]
5,2021-06-18 12:46:34-04:00,22.799,22.82777777777778,34579.9,[33643.96821507]
6,2021-06-18 13:16:34-04:00,22.219,22.811111111111114,33771.7,[33643.5947239]
7,2021-06-18 13:46:34-04:00,21.983,22.922222222222224,33522.2,[33643.5947239]
8,2021-06-18 14:16:34-04:00,21.038,23.02777777777778,32283.4,[33643.22123271]
9,2021-06-18 14:46:34-04:00,20.277,23.261111111111113,31372.1,[33643.22123271]
14,2021-06-18 17:16:34-04:00,24.353,22.95,36795.2,[33642.10075918]
15,2021-06-18 17:46:34-04:00,23.89,22.977777777777778,36182.7,[33642.10075918]
16,2021-06-18 18:16:34-04:00,23.051,22.849999999999998,34940.8,[33641.727268]
17,2021-06-18 18:46:34-04:00,21.845,22.68888888888889,33171.9,[33641.727268]
18,2021-06-18 19:16:34-04:00,20.56,22.5,31276.9,[33641.35377683]
19,2021-06-18 19:46:34-04:00,24.722,22.388888888888886,36870.8,[33641.35377683]
20,2021-06-18 20:16:34-04:00,24.373,22.461111111111116,36454.9,[33640.98028565]
21,2021-06-18 20:46:34-04:00,23.033,22.35,34559.9,[33640.98028565]
22,2021-06-18 21:16:34-04:00,22.44,22.150000000000002,33613.4,[33640.60679447]
23,2021-06-18 21:46:34-04:00,22.094,22.338888888888885,33273.5,[33640.60679447]
24,2021-06-18 22:16:34-04:00,21.387,21.727777777777778,31899.8,[33640.23330329]
25,2021-06-18 22:46:34-04:00,20.795,21.63888888888889,31040.2,[33640.23330329]
26,2021-06-18 23:16:34-04:00,20.578,21.877777777777776,30899.5,[33639.85981211]
27,2021-06-18 23:46:34-04:00,23.502,21.677777777777774,34707.2,[33639.85981211]
28,2021-06-19 00:16:34-04:00,23.373,21.57222222222222,34460.2,[33639.48632094]
29,2021-06-19 00:46:34-04:00,23.259,21.45,34219.9,[33639.48632094]
30,2021-06-19 01:16:34-04:00,23.28,21.51111111111111,34292.0,[33639.11282976]
31,2021-06-19 01:46:34-04:00,23.205,21.427777777777774,34131.9,[33639.11282976]
32,2021-06-19 02:16:34-04:00,24.724,21.477777777777774,36182.7,[33638.73933858]
33,2021-06-19 02:46:34-04:00,24.809,21.52222222222222,36329.4,[33638.73933858]
34,2021-06-19 03:16:34-04:00,24.859,21.37777777777778,36285.2,[33638.36584741]
35,2021-06-19 03:46:34-04:00,24.891,21.477777777777774,36403.1,[33638.36584741]
36,2021-06-19 04:16:34-04:00,24.979,21.661111111111108,36659.8,[33637.99235623]
37,2021-06-19 04:46:34-04:00,25.092,21.761111111111113,36885.9,[33637.99235623]
38,2021-06-19 05:16:34-04:00,25.12,21.77777777777778,36935.3,[33637.61886505]
43,2021-06-19 07:46:34-04:00,25.222,21.661111111111108,36980.9,[33636.8718827]
44,2021-06-19 08:16:34-04:00,25.082,21.52777777777778,36693.6,[33636.49839151]
45,2021-06-19 08:46:34-04:00,24.983,21.63888888888889,36648.6,[33636.49839151]
46,2021-06-19 09:16:34-04:00,24.941,21.761111111111113,36686.1,[33636.12490034]
47,2021-06-19 09:46:34-04:00,24.894,22.022222222222222,36821.6,[33636.12490034]
48,2021-06-19 10:16:34-04:00,24.783,22.122222222222216,36749.9,[33635.75140916]
49,2021-06-19 10:46:34-04:00,24.69,22.31111111111111,36768.8,[33635.75140916]
50,2021-06-19 11:16:34-04:00,24.713,22.35,36829.1,[33635.37791798]
51,2021-06-19 11:46:34-04:00,24.633,22.57222222222222,36889.7,[33635.37791798]
60,2021-06-19 16:16:34-04:00,24.132,23.400000000000002,36829.1,[33633.51046209]
61,2021-06-19 16:46:34-04:00,23.931,23.400000000000002,36551.5,[33633.51046209]
62,2021-06-19 17:16:34-04:00,23.697,23.08888888888889,36001.0,[33633.13697091]
72,2021-06-19 22:16:34-04:00,24.597,22.327777777777776,36656.1,[33631.26951503]
73,2021-06-19 22:46:34-04:00,24.28,22.211111111111112,36142.6,[33631.26951503]
74,2021-06-19 23:16:34-04:00,24.381,22.249999999999996,36307.3,[33630.89602385]
75,2021-06-19 23:46:34-04:00,23.947,21.977777777777778,35522.8,[33630.89602385]
76,2021-06-20 00:16:34-04:00,24.055,22.027777777777782,35703.4,[33630.52253267]
77,2021-06-20 00:46:34-04:00,23.934,21.877777777777776,35431.5,[33630.52253267]
78,2021-06-20 01:16:34-04:00,23.534,21.65,34730.8,[33630.1490415]
79,2021-06-20 01:46:34-04:00,23.881,21.861111111111107,35347.6,[33630.1490415]
80,2021-06-20 02:16:34-04:00,24.074,22.011111111111113,35717.6,[33629.77555031]
81,2021-06-20 02:46:34-04:00,23.509,21.677777777777774,34717.3,[33629.77555031]
82,2021-06-20 03:16:34-04:00,24.23,21.927777777777777,35864.1,[33629.40205914]
83,2021-06-20 03:46:34-04:00,24.07,21.52777777777778,35354.6,[33629.40205914]
84,2021-06-20 04:16:34-04:00,24.411,21.677777777777774,35918.1,[33629.02856796]
85,2021-06-20 04:46:34-04:00,24.861,21.822222222222223,36626.1,[33629.02856796]
86,2021-06-20 05:16:34-04:00,24.661,21.65,36230.2,[33628.65507678]
87,2021-06-20 05:46:34-04:00,24.943,21.7,36641.1,[33628.65507678]
88,2021-06-20 06:16:34-04:00,25.006,21.950000000000003,36916.3,[33628.2815856]
