"Plot Title: Salinity_Carolina_12_9_22"
"Date Time, GMT-04:00","High Range, μS/cm (SEN S/N: 20200318)","Temp, °F (SEN S/N: 20200318)","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
05/17/22 12:06:18,0.0,74.21,,,,,
05/17/22 12:06:23,,,Logged,,,,
05/17/22 12:36:18,25658.8,63.66,,,,,
05/17/22 13:06:18,24485.6,64.45,,,,,
05/17/22 13:36:18,23970.9,65.86,,,,,
05/17/22 14:06:18,23676.5,66.43,,,,,
05/17/22 14:36:18,23561.4,66.78,,,,,
05/17/22 15:06:18,23591.3,66.60,,,,,
05/17/22 15:36:18,23792.5,65.57,,,,,
05/17/22 16:06:18,23990.3,64.74,,,,,
05/17/22 16:36:18,24008.2,64.74,,,,,
05/17/22 17:06:18,24145.2,63.37,,,,,
05/17/22 17:36:18,24179.7,63.01,,,,,
05/17/22 18:06:18,24222.5,62.89,,,,,
05/17/22 18:36:18,24163.2,63.09,,,,,
05/17/22 19:06:18,24146.8,62.89,,,,,
05/17/22 19:36:18,24220.8,62.17,,,,,
05/17/22 20:06:18,24209.3,61.72,,,,,
05/17/22 20:36:18,24214.2,60.60,,,,,
05/17/22 21:06:18,24199.4,59.59,,,,,
05/17/22 21:36:18,24189.5,59.50,,,,,
05/17/22 22:06:18,24168.2,59.63,,,,,
05/17/22 22:36:18,24128.8,59.76,,,,,
05/17/22 23:06:18,24115.7,60.13,,,,,
05/17/22 23:36:18,24079.8,60.44,,,,,
05/18/22 00:06:18,24000.1,60.66,,,,,
05/18/22 00:36:18,23795.7,61.11,,,,,
05/18/22 01:06:18,23533.2,61.29,,,,,
05/18/22 01:36:18,23334.3,61.36,,,,,
05/18/22 02:06:18,23062.4,61.43,,,,,
05/18/22 02:36:18,22794.3,61.38,,,,,
05/18/22 03:06:18,22699.7,61.27,,,,,
05/18/22 03:36:18,22752.8,61.29,,,,,
05/18/22 04:06:18,22741.0,61.21,,,,,
05/18/22 04:36:18,22880.6,61.23,,,,,
05/18/22 05:06:18,23009.6,61.27,,,,,
05/18/22 05:36:18,23103.3,61.25,,,,,
05/18/22 06:06:18,23277.3,61.16,,,,,
05/18/22 06:36:18,23408.5,61.09,,,,,
05/18/22 07:06:18,23882.2,60.57,,,,,
05/18/22 07:36:18,23711.3,60.04,,,,,
05/18/22 08:06:18,23533.2,59.99,,,,,
05/18/22 08:36:18,24050.4,60.12,,,,,
05/18/22 09:06:18,24220.8,60.04,,,,,
05/18/22 09:36:18,24184.6,60.01,,,,,
05/18/22 10:06:18,24212.6,60.06,,,,,
05/18/22 10:36:18,24184.6,59.95,,,,,
05/18/22 11:06:18,24143.6,60.87,,,,,
05/18/22 11:36:18,24087.9,61.14,,,,,
05/18/22 12:06:18,23975.8,61.92,,,,,
05/18/22 12:36:18,23838.9,62.56,,,,,
05/18/22 13:06:18,23614.9,63.46,,,,,
05/18/22 13:36:18,23441.2,64.33,,,,,
05/18/22 14:06:18,23036.7,65.57,,,,,
05/18/22 14:36:18,22751.4,66.07,,,,,
05/18/22 15:06:18,22455.8,66.72,,,,,
05/18/22 15:36:18,22597.0,66.56,,,,,
05/18/22 16:06:18,23047.3,65.95,,,,,
05/18/22 16:36:18,23383.7,65.23,,,,,
05/18/22 17:06:18,23651.2,64.20,,,,,
05/18/22 17:36:18,23829.3,63.73,,,,,
05/18/22 18:06:18,23861.3,64.06,,,,,
05/18/22 18:36:18,23899.9,63.59,,,,,
05/18/22 19:06:18,24000.1,63.16,,,,,
05/18/22 19:36:18,24047.2,62.64,,,,,
05/18/22 20:06:18,24004.9,62.53,,,,,
05/18/22 20:36:18,23982.2,61.93,,,,,
05/18/22 21:06:18,23961.2,60.96,,,,,
05/18/22 21:36:18,23980.6,60.33,,,,,
05/18/22 22:06:18,23990.3,60.10,,,,,
05/18/22 22:36:18,24011.4,59.95,,,,,
05/18/22 23:06:18,23998.5,60.01,,,,,
05/18/22 23:36:18,23987.1,60.06,,,,,
05/19/22 00:06:18,23961.2,60.37,,,,,
05/19/22 00:36:18,23893.5,60.69,,,,,
05/19/22 01:06:18,23663.8,61.00,,,,,
05/19/22 01:36:18,23492.6,61.30,,,,,
05/19/22 02:06:18,23376.0,61.47,,,,,
05/19/22 02:36:18,23199.2,61.63,,,,,
05/19/22 03:06:18,22988.5,61.75,,,,,
05/19/22 03:36:18,22786.9,61.77,,,,,
05/19/22 04:06:18,22744.0,61.74,,,,,
05/19/22 04:36:18,22755.8,61.74,,,,,
05/19/22 05:06:18,22710.0,61.72,,,,,
05/19/22 05:36:18,22795.8,61.61,,,,,
05/19/22 06:06:18,23035.2,61.59,,,,,
05/19/22 06:36:18,23190.0,61.50,,,,,
05/19/22 07:06:18,23177.8,61.54,,,,,
05/19/22 07:36:18,23625.9,61.12,,,,,
05/19/22 08:06:18,23909.6,60.44,,,,,
05/19/22 08:36:18,23845.3,60.12,,,,,
05/19/22 09:06:18,24083.0,59.72,,,,,
05/19/22 09:36:18,24081.4,59.74,,,,,
