"""Plot Title: Carolina No 2 May 2022""",,,,,,,
"Date Time, GMT-04:00","High Range, μS/cm (LGR S/N: 20182877, SEN S/N: 20182877)","Temp, °C (LGR S/N: 20182877, SEN S/N: 20182877)",Coupler Detached (LGR S/N: 20182877),Coupler Attached (LGR S/N: 20182877),Host Connected (LGR S/N: 20182877),Stopped (LGR S/N: 20182877),End Of File (LGR S/N: 20182877)
5/17/2022 12:05,0,22.54,,,,,
5/17/2022 12:05,,,Logged,,,,
5/17/2022 12:35,0,21.68,,,,,
5/17/2022 13:05,28843.2,17.7,,,,,
5/17/2022 13:35,28475.6,18.4,,,,,
5/17/2022 14:05,28321.1,18.68,,,,,
5/17/2022 14:35,28046.8,18.9,,,,,
5/17/2022 15:05,28297.4,18.7,,,,,
5/17/2022 15:35,29000,18.09,,,,,
5/17/2022 16:05,29336.4,17.68,,,,,
5/17/2022 16:35,29292.7,17.58,,,,,
5/17/2022 17:05,29634.4,16.98,,,,,
5/17/2022 17:35,29774.5,16.88,,,,,
5/17/2022 18:05,29973.7,16.77,,,,,
5/17/2022 18:35,29993.1,16.81,,,,,
5/17/2022 19:05,29930.7,16.83,,,,,
5/17/2022 19:35,29975.9,16.6,,,,,
5/17/2022 20:05,30103.4,16.2,,,,,
5/17/2022 20:35,30146.8,15.69,,,,,
5/17/2022 21:05,30096.9,15.13,,,,,
5/17/2022 21:35,30114.2,15.03,,,,,
5/17/2022 22:05,30131.6,15.08,,,,,
5/17/2022 22:35,30149,15.16,,,,,
5/17/2022 23:05,30122.9,15.37,,,,,
5/17/2022 23:35,30083.9,15.5,,,,,
5/18/2022 0:05,29894.2,15.68,,,,,
5/18/2022 0:35,29453.3,15.89,,,,,
5/18/2022 1:05,28898,16,,,,,
5/18/2022 1:35,28394.2,16.05,,,,,
5/18/2022 2:05,27745.7,16.09,,,,,
5/18/2022 2:35,27046.3,16.06,,,,,
5/18/2022 3:05,26932.2,16.02,,,,,
5/18/2022 3:35,26921.2,16.03,,,,,
5/18/2022 4:05,26724,15.97,,,,,
5/18/2022 4:35,27248.6,15.98,,,,,
5/18/2022 5:05,27593.2,15.97,,,,,
5/18/2022 5:35,27751.5,15.96,,,,,
5/18/2022 6:05,28115,15.92,,,,,
5/18/2022 6:35,28485.5,15.85,,,,,
5/18/2022 7:05,29238.8,15.62,,,,,
5/18/2022 7:35,28900.1,15.29,,,,,
5/18/2022 8:05,29055.3,15.28,,,,,
5/18/2022 8:35,29695.8,15.35,,,,,
5/18/2022 9:05,30053.6,15.3,,,,,
5/18/2022 9:35,30092.5,15.29,,,,,
5/18/2022 10:05,30120.7,15.33,,,,,
5/18/2022 10:35,30105.5,15.21,,,,,
5/18/2022 11:05,30086,15.76,,,,,
5/18/2022 11:35,30032,15.91,,,,,
5/18/2022 12:05,29857.8,16.29,,,,,
5/18/2022 12:35,29592.1,16.67,,,,,
5/18/2022 13:05,29274,17.08,,,,,
5/18/2022 13:35,28816.8,17.65,,,,,
5/18/2022 14:05,28033.2,18.3,,,,,
5/18/2022 14:35,27394.7,18.63,,,,,
5/18/2022 15:05,26965.2,19.02,,,,,
5/18/2022 15:35,27816.7,18.65,,,,,
5/18/2022 16:05,28177.5,18.5,,,,,
5/18/2022 16:35,28951,18.08,,,,,
5/18/2022 17:05,29568.9,17.52,,,,,
5/18/2022 17:35,29815,17.38,,,,,
