Date,Conductivity,Temperature (F),DateTime (UTC),Temperature (C),Salinity Value,Salinity Value (Offset +15),Datetime_noyear,Salinity_Value_Corrected,Sal_Value_Test_2
05/17/22 12:36:18,25658.8,63.66,2022-05-17 16:36:18,17.588888888888885,18.569,33.569,1900-05-17 13:36:00,31.11,31.11
05/17/22 13:06:18,24485.6,64.45,2022-05-17 17:06:18,18.02777777777778,17.453,32.453,1900-05-17 14:06:00,29.994,29.994
05/17/22 13:36:18,23970.9,65.86,2022-05-17 17:36:18,18.81111111111111,16.732,31.732,1900-05-17 14:36:00,29.272999999999996,29.272999999999996
05/17/22 14:06:18,23676.5,66.43,2022-05-17 18:06:18,19.12777777777778,16.383,31.383,1900-05-17 15:06:00,28.923999999999996,28.923999999999996
05/17/22 14:36:18,23561.4,66.78,2022-05-17 18:36:18,19.322222222222223,16.22,31.22,1900-05-17 15:36:00,28.760999999999996,28.760999999999996
05/17/22 15:06:18,23591.3,66.6,2022-05-17 19:06:18,19.222222222222214,16.282,31.282,1900-05-17 16:06:00,28.822999999999997,28.822999999999997
05/17/22 15:36:18,23792.5,65.57,2022-05-17 19:36:18,18.649999999999995,16.66,31.66,1900-05-17 16:36:00,29.200999999999997,29.200999999999997
05/17/22 16:06:18,23990.3,64.74,2022-05-17 20:06:18,18.188888888888886,17.0,32.0,1900-05-17 17:06:00,29.540999999999997,29.540999999999997
05/17/22 16:36:18,24008.2,64.74,2022-05-17 20:36:18,18.188888888888886,17.014,32.014,1900-05-17 17:36:00,29.555,29.555
05/17/22 17:06:18,24145.2,63.37,2022-05-17 21:06:18,17.427777777777777,17.441,32.441,1900-05-17 18:06:00,29.982,29.982
05/17/22 17:36:18,24179.7,63.01,2022-05-17 21:36:18,17.227777777777778,17.554,32.554,1900-05-17 18:36:00,30.095,30.095
05/17/22 18:06:18,24222.5,62.89,2022-05-17 22:06:18,17.16111111111111,17.617,32.617000000000004,1900-05-17 19:06:00,30.158,30.158
05/17/22 18:36:18,24163.2,63.09,2022-05-17 22:36:18,17.272222222222222,17.522,32.522,1900-05-17 19:36:00,30.062999999999995,30.062999999999995
05/17/22 19:06:18,24146.8,62.89,2022-05-17 23:06:18,17.16111111111111,17.556,32.556,1900-05-17 20:06:00,30.096999999999994,30.096999999999994
05/17/22 19:36:18,24220.8,62.17,2022-05-17 23:36:18,16.761111111111113,17.79,32.79,1900-05-17 20:36:00,30.330999999999996,30.330999999999996
05/17/22 20:06:18,24209.3,61.72,2022-05-18 00:06:18,16.51111111111111,17.892,32.892,1900-05-17 21:06:00,30.433,30.433
05/17/22 20:36:18,24214.2,60.6,2022-05-18 00:36:18,15.88888888888889,18.176,33.176,1900-05-17 21:36:00,30.717,30.717
05/17/22 21:06:18,24199.4,59.59,2022-05-18 01:06:18,15.32777777777778,18.422,33.422,1900-05-17 22:06:00,30.962999999999994,30.962999999999994
05/17/22 21:36:18,24189.5,59.5,2022-05-18 01:36:18,15.277777777777777,18.438,33.438,1900-05-17 22:36:00,30.979,30.979
05/17/22 22:06:18,24168.2,59.63,2022-05-18 02:06:18,15.35,18.386,33.386,1900-05-17 23:06:00,30.927,30.927
05/17/22 22:36:18,24128.8,59.76,2022-05-18 02:36:18,15.42222222222222,18.32,33.32,1900-05-17 23:36:00,30.860999999999997,30.860999999999997
05/17/22 23:06:18,24115.7,60.13,2022-05-18 03:06:18,15.627777777777778,18.214,33.214,1900-05-18 00:06:00,30.754999999999995,30.754999999999995
05/17/22 23:36:18,24079.8,60.44,2022-05-18 03:36:18,15.8,18.106,33.106,1900-05-18 00:36:00,30.647,30.647
05/18/22 00:06:18,24000.1,60.66,2022-05-18 04:06:18,15.92222222222222,17.985,32.985,1900-05-18 01:06:00,30.525999999999996,30.525999999999996
05/18/22 00:36:18,23795.7,61.11,2022-05-18 04:36:18,16.17222222222222,17.706,32.706,1900-05-18 01:36:00,30.247,30.247
05/18/22 01:06:18,23533.2,61.29,2022-05-18 05:06:18,16.272222222222222,17.449,32.449,1900-05-18 02:06:00,29.989999999999995,29.989999999999995
