Date,Day,Time,Pred(Ft),Pred(cm),High/Low
1/1/2022,Sat,2:02:00 AM,9.41,287,H
1/1/2022,Sat,8:04:00 AM,0.02,1,L
1/1/2022,Sat,2:16:00 PM,11.39,347,H
1/1/2022,Sat,8:48:00 PM,-1.27,-39,L
1/2/2022,Sun,2:59:00 AM,9.63,294,H
1/2/2022,Sun,8:58:00 AM,-0.22,-7,L
1/2/2022,Sun,3:11:00 PM,11.68,356,H
1/2/2022,Sun,9:43:00 PM,-1.58,-48,L
1/3/2022,Mon,3:55:00 AM,9.8,299,H
1/3/2022,Mon,9:53:00 AM,-0.37,-11,L
1/3/2022,Mon,4:05:00 PM,11.77,359,H
1/3/2022,Mon,10:36:00 PM,-1.69,-52,L
1/4/2022,Tue,4:50:00 AM,9.9,302,H
1/4/2022,Tue,10:47:00 AM,-0.4,-12,L
1/4/2022,Tue,5:00:00 PM,11.66,355,H
1/4/2022,Tue,11:29:00 PM,-1.6,-49,L
1/5/2022,Wed,5:45:00 AM,9.91,302,H
1/5/2022,Wed,11:41:00 AM,-0.3,-9,L
1/5/2022,Wed,5:55:00 PM,11.36,346,H
1/6/2022,Thu,12:20:00 AM,-1.32,-40,L
1/6/2022,Thu,6:38:00 AM,9.85,300,H
1/6/2022,Thu,12:35:00 PM,-0.07,-2,L
1/6/2022,Thu,6:50:00 PM,10.88,332,H
1/7/2022,Fri,1:12:00 AM,-0.88,-27,L
1/7/2022,Fri,7:31:00 AM,9.71,296,H
1/7/2022,Fri,1:30:00 PM,0.25,8,L
1/7/2022,Fri,7:45:00 PM,10.28,313,H
1/8/2022,Sat,2:04:00 AM,-0.34,-10,L
1/8/2022,Sat,8:25:00 AM,9.53,290,H
1/8/2022,Sat,2:27:00 PM,0.59,18,L
1/8/2022,Sat,8:42:00 PM,9.64,294,H
1/9/2022,Sun,2:58:00 AM,0.22,7,L
1/9/2022,Sun,9:20:00 AM,9.35,285,H
1/9/2022,Sun,3:27:00 PM,0.87,27,L
1/9/2022,Sun,9:41:00 PM,9.04,276,H
1/10/2022,Mon,3:51:00 AM,0.74,23,L
1/10/2022,Mon,10:14:00 AM,9.21,281,H
1/10/2022,Mon,4:27:00 PM,1.05,32,L
1/10/2022,Mon,10:40:00 PM,8.55,261,H
1/11/2022,Tue,4:45:00 AM,1.17,36,L
1/11/2022,Tue,11:08:00 AM,9.13,278,H
1/11/2022,Tue,5:27:00 PM,1.12,34,L
1/11/2022,Tue,11:40:00 PM,8.22,251,H
1/12/2022,Wed,5:38:00 AM,1.48,45,L
1/12/2022,Wed,12:01:00 PM,9.12,278,H
1/12/2022,Wed,6:26:00 PM,1.08,33,L
1/13/2022,Thu,12:39:00 AM,8.07,246,H
1/13/2022,Thu,6:31:00 AM,1.64,50,L
1/13/2022,Thu,12:53:00 PM,9.2,280,H
1/13/2022,Thu,7:21:00 PM,0.93,28,L
1/14/2022,Fri,1:33:00 AM,8.07,246,H
1/14/2022,Fri,7:22:00 AM,1.64,50,L
1/14/2022,Fri,1:42:00 PM,9.35,285,H
1/14/2022,Fri,8:10:00 PM,0.71,22,L
1/15/2022,Sat,2:22:00 AM,8.17,249,H
1/15/2022,Sat,8:08:00 AM,1.54,47,L
1/15/2022,Sat,2:26:00 PM,9.54,291,H
1/15/2022,Sat,8:53:00 PM,0.49,15,L
1/16/2022,Sun,3:05:00 AM,8.3,253,H
1/16/2022,Sun,8:51:00 AM,1.37,42,L
1/16/2022,Sun,3:07:00 PM,9.72,296,H
1/16/2022,Sun,9:33:00 PM,0.29,9,L
1/17/2022,Mon,3:45:00 AM,8.44,257,H
1/17/2022,Mon,9:32:00 AM,1.2,37,L
1/17/2022,Mon,3:47:00 PM,9.87,301,H
1/17/2022,Mon,10:11:00 PM,0.11,3,L
1/18/2022,Tue,4:24:00 AM,8.56,261,H
1/18/2022,Tue,10:12:00 AM,1.05,32,L
1/18/2022,Tue,4:25:00 PM,9.97,304,H
1/18/2022,Tue,10:49:00 PM,-0.02,-1,L
1/19/2022,Wed,5:02:00 AM,8.68,265,H
1/19/2022,Wed,10:52:00 AM,0.93,28,L
1/19/2022,Wed,5:04:00 PM,10.02,305,H
1/19/2022,Wed,11:27:00 PM,-0.12,-4,L
1/20/2022,Thu,5:40:00 AM,8.8,268,H
1/20/2022,Thu,11:32:00 AM,0.83,25,L
1/20/2022,Thu,5:43:00 PM,10.01,305,H
1/21/2022,Fri,12:05:00 AM,-0.15,-5,L
1/21/2022,Fri,6:17:00 AM,8.94,272,H
1/21/2022,Fri,12:13:00 PM,0.74,23,L
1/21/2022,Fri,6:22:00 PM,9.93,303,H
1/22/2022,Sat,12:43:00 AM,-0.12,-4,L
1/22/2022,Sat,6:55:00 AM,9.1,277,H
1/22/2022,Sat,12:56:00 PM,0.68,21,L
1/22/2022,Sat,7:04:00 PM,9.77,298,H
1/23/2022,Sun,1:24:00 AM,-0.03,-1,L
1/23/2022,Sun,7:35:00 AM,9.26,282,H
1/23/2022,Sun,1:42:00 PM,0.62,19,L
1/23/2022,Sun,7:49:00 PM,9.53,290,H
1/24/2022,Mon,2:08:00 AM,0.13,4,L
1/24/2022,Mon,8:19:00 AM,9.44,288,H
1/24/2022,Mon,2:33:00 PM,0.57,17,L
1/24/2022,Mon,8:39:00 PM,9.24,282,H
1/25/2022,Tue,2:56:00 AM,0.33,10,L
1/25/2022,Tue,9:08:00 AM,9.61,293,H
1/25/2022,Tue,3:29:00 PM,0.5,15,L
1/25/2022,Tue,9:35:00 PM,8.94,272,H
1/26/2022,Wed,3:48:00 AM,0.52,16,L
1/26/2022,Wed,10:01:00 AM,9.79,298,H
1/26/2022,Wed,4:28:00 PM,0.37,11,L
1/26/2022,Wed,10:35:00 PM,8.7,265,H
1/27/2022,Thu,4:45:00 AM,0.66,20,L
1/27/2022,Thu,10:58:00 AM,10,305,H
1/27/2022,Thu,5:30:00 PM,0.17,5,L
1/27/2022,Thu,11:38:00 PM,8.6,262,H
1/28/2022,Fri,5:44:00 AM,0.69,21,L
1/28/2022,Fri,11:59:00 AM,10.26,313,H
1/28/2022,Fri,6:34:00 PM,-0.13,-4,L
1/29/2022,Sat,12:45:00 AM,8.68,265,H
1/29/2022,Sat,6:46:00 AM,0.56,17,L
1/29/2022,Sat,1:02:00 PM,10.59,323,H
1/29/2022,Sat,7:36:00 PM,-0.54,-16,L
1/30/2022,Sun,1:49:00 AM,8.95,273,H
1/30/2022,Sun,7:47:00 AM,0.28,9,L
1/30/2022,Sun,2:03:00 PM,10.95,334,H
1/30/2022,Sun,8:35:00 PM,-0.97,-30,L
1/31/2022,Mon,2:48:00 AM,9.3,283,H
1/31/2022,Mon,8:45:00 AM,-0.06,-2,L
1/31/2022,Mon,3:00:00 PM,11.24,343,H
1/31/2022,Mon,9:29:00 PM,-1.29,-39,L
2/1/2022,Tue,3:43:00 AM,9.63,294,H
2/1/2022,Tue,9:40:00 AM,-0.35,-11,L
2/1/2022,Tue,3:55:00 PM,11.38,347,H
2/1/2022,Tue,10:21:00 PM,-1.46,-45,L
2/2/2022,Wed,4:36:00 AM,9.88,301,H
2/2/2022,Wed,10:33:00 AM,-0.52,-16,L
2/2/2022,Wed,4:48:00 PM,11.32,345,H
2/2/2022,Wed,11:11:00 PM,-1.42,-43,L
2/3/2022,Thu,5:27:00 AM,10.02,305,H
2/3/2022,Thu,11:25:00 AM,-0.54,-16,L
2/3/2022,Thu,5:40:00 PM,11.07,337,H
2/3/2022,Thu,11:59:00 PM,-1.17,-36,L
2/4/2022,Fri,6:15:00 AM,10.04,306,H
2/4/2022,Fri,12:15:00 PM,-0.4,-12,L
2/4/2022,Fri,6:30:00 PM,10.64,324,H
2/5/2022,Sat,12:45:00 AM,-0.75,-23,L
2/5/2022,Sat,7:02:00 AM,9.92,302,H
2/5/2022,Sat,1:05:00 PM,-0.11,-3,L
2/5/2022,Sat,7:19:00 PM,10.06,307,H
2/6/2022,Sun,1:32:00 AM,-0.19,-6,L
2/6/2022,Sun,7:48:00 AM,9.69,295,H
2/6/2022,Sun,1:57:00 PM,0.26,8,L
2/6/2022,Sun,8:10:00 PM,9.4,287,H
2/7/2022,Mon,2:19:00 AM,0.42,13,L
2/7/2022,Mon,8:36:00 AM,9.41,287,H
2/7/2022,Mon,2:50:00 PM,0.66,20,L
2/7/2022,Mon,9:03:00 PM,8.76,267,H
2/8/2022,Tue,3:09:00 AM,1.01,31,L
2/8/2022,Tue,9:27:00 AM,9.12,278,H
2/8/2022,Tue,3:46:00 PM,1.01,31,L
2/8/2022,Tue,9:59:00 PM,8.22,251,H
2/9/2022,Wed,4:00:00 AM,1.5,46,L
2/9/2022,Wed,10:19:00 AM,8.89,271,H
2/9/2022,Wed,4:44:00 PM,1.25,38,L
2/9/2022,Wed,10:57:00 PM,7.84,239,H
2/10/2022,Thu,4:54:00 AM,1.84,56,L
2/10/2022,Thu,11:14:00 AM,8.76,267,H
2/10/2022,Thu,5:43:00 PM,1.35,41,L
2/10/2022,Thu,11:57:00 PM,7.65,233,H
2/11/2022,Fri,5:49:00 AM,2,61,L
2/11/2022,Fri,12:11:00 PM,8.77,267,H
2/11/2022,Fri,6:42:00 PM,1.29,39,L
2/12/2022,Sat,12:57:00 AM,7.68,234,H
2/12/2022,Sat,6:44:00 AM,1.96,60,L
2/12/2022,Sat,1:06:00 PM,8.94,272,H
2/12/2022,Sat,7:36:00 PM,1.07,33,L
2/13/2022,Sun,1:50:00 AM,7.87,240,H
2/13/2022,Sun,7:36:00 AM,1.74,53,L
2/13/2022,Sun,1:56:00 PM,9.22,281,H
2/13/2022,Sun,8:23:00 PM,0.76,23,L
2/14/2022,Mon,2:36:00 AM,8.15,248,H
2/14/2022,Mon,8:23:00 AM,1.43,44,L
2/14/2022,Mon,2:41:00 PM,9.53,290,H
2/14/2022,Mon,9:05:00 PM,0.42,13,L
2/15/2022,Tue,3:17:00 AM,8.45,258,H
2/15/2022,Tue,9:06:00 AM,1.08,33,L
2/15/2022,Tue,3:22:00 PM,9.82,299,H
2/15/2022,Tue,9:43:00 PM,0.11,3,L
2/16/2022,Wed,3:56:00 AM,8.76,267,H
2/16/2022,Wed,9:47:00 AM,0.74,23,L
2/16/2022,Wed,4:01:00 PM,10.04,306,H
2/16/2022,Wed,10:21:00 PM,-0.15,-5,L
2/17/2022,Thu,4:33:00 AM,9.06,276,H
2/17/2022,Thu,10:28:00 AM,0.44,13,L
2/17/2022,Thu,4:40:00 PM,10.19,311,H
2/17/2022,Thu,10:58:00 PM,-0.34,-10,L
2/18/2022,Fri,5:09:00 AM,9.35,285,H
2/18/2022,Fri,11:08:00 AM,0.17,5,L
2/18/2022,Fri,5:19:00 PM,10.24,312,H
2/18/2022,Fri,11:35:00 PM,-0.43,-13,L
2/19/2022,Sat,5:46:00 AM,9.62,293,H
2/19/2022,Sat,11:50:00 AM,-0.03,-1,L
2/19/2022,Sat,5:59:00 PM,10.18,310,H
2/20/2022,Sun,12:14:00 AM,-0.41,-12,L
2/20/2022,Sun,6:24:00 AM,9.86,301,H
2/20/2022,Sun,12:33:00 PM,-0.15,-5,L
2/20/2022,Sun,6:41:00 PM,9.99,304,H
2/21/2022,Mon,12:55:00 AM,-0.27,-8,L
2/21/2022,Mon,7:04:00 AM,10.02,305,H
2/21/2022,Mon,1:19:00 PM,-0.16,-5,L
2/21/2022,Mon,7:27:00 PM,9.69,295,H
2/22/2022,Tue,1:39:00 AM,-0.01,0,L
2/22/2022,Tue,7:48:00 AM,10.09,308,H
2/22/2022,Tue,2:10:00 PM,-0.07,-2,L
2/22/2022,Tue,8:17:00 PM,9.29,283,H
2/23/2022,Wed,2:28:00 AM,0.32,10,L
2/23/2022,Wed,8:38:00 AM,10.06,307,H
2/23/2022,Wed,3:06:00 PM,0.08,2,L
2/23/2022,Wed,9:14:00 PM,8.87,270,H
2/24/2022,Thu,3:23:00 AM,0.66,20,L
2/24/2022,Thu,9:35:00 AM,9.99,304,H
2/24/2022,Thu,4:07:00 PM,0.21,6,L
2/24/2022,Thu,10:16:00 PM,8.53,260,H
2/25/2022,Fri,4:22:00 AM,0.91,28,L
2/25/2022,Fri,10:36:00 AM,9.94,303,H
2/25/2022,Fri,5:11:00 PM,0.24,7,L
2/25/2022,Fri,11:23:00 PM,8.38,255,H
2/26/2022,Sat,5:26:00 AM,1.01,31,L
2/26/2022,Sat,11:42:00 AM,9.99,304,H
2/26/2022,Sat,6:18:00 PM,0.12,4,L
2/27/2022,Sun,12:33:00 AM,8.49,259,H
2/27/2022,Sun,6:32:00 AM,0.88,27,L
2/27/2022,Sun,12:50:00 PM,10.19,311,H
2/27/2022,Sun,7:23:00 PM,-0.18,-5,L
2/28/2022,Mon,1:40:00 AM,8.85,270,H
2/28/2022,Mon,7:36:00 AM,0.53,16,L
2/28/2022,Mon,1:54:00 PM,10.51,320,H
2/28/2022,Mon,8:22:00 PM,-0.56,-17,L
3/1/2022,Tue,2:38:00 AM,9.31,284,H
3/1/2022,Tue,8:35:00 AM,0.09,3,L
3/1/2022,Tue,2:52:00 PM,10.79,329,H
3/1/2022,Tue,9:15:00 PM,-0.86,-26,L
3/2/2022,Wed,3:30:00 AM,9.74,297,H
3/2/2022,Wed,9:28:00 AM,-0.3,-9,L
3/2/2022,Wed,3:45:00 PM,10.94,333,H
3/2/2022,Wed,10:04:00 PM,-1.01,-31,L
3/3/2022,Thu,4:19:00 AM,10.06,307,H
3/3/2022,Thu,10:19:00 AM,-0.56,-17,L
3/3/2022,Thu,4:35:00 PM,10.9,332,H
3/3/2022,Thu,10:50:00 PM,-0.95,-29,L
3/4/2022,Fri,5:04:00 AM,10.23,312,H
3/4/2022,Fri,11:07:00 AM,-0.63,-19,L
3/4/2022,Fri,5:22:00 PM,10.68,326,H
3/4/2022,Fri,11:33:00 PM,-0.7,-21,L
3/5/2022,Sat,5:47:00 AM,10.24,312,H
3/5/2022,Sat,11:54:00 AM,-0.53,-16,L
