"Plot Title: Salinity_Carolina_10-24-23_Pocasset"
"Date Time, GMT-04:00","High Range, μS/cm (SEN S/N: 20200318)","Temp, °F (SEN S/N: 20200318)","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
08/22/23 13:00:00,0.0,86.79,Logged,,,,
08/22/23 14:00:00,54285.4,74.19,,,,,
08/22/23 15:00:00,54285.4,75.65,,,,,
08/22/23 16:00:00,54285.4,76.30,,,,,
08/22/23 17:00:00,54285.4,76.60,,,,,
08/22/23 18:00:00,54285.4,76.75,,,,,
08/22/23 19:00:00,54285.4,76.26,,,,,
08/22/23 20:00:00,54285.4,75.47,,,,,
08/22/23 21:00:00,54285.4,75.25,,,,,
08/22/23 22:00:00,54285.4,74.75,,,,,
08/22/23 23:00:00,54285.4,74.57,,,,,
08/23/23 00:00:00,54285.4,74.08,,,,,
08/23/23 01:00:00,54285.4,73.90,,,,,
08/23/23 02:00:00,54285.4,73.85,,,,,
08/23/23 03:00:00,54285.4,74.01,,,,,
08/23/23 04:00:00,54285.4,73.11,,,,,
08/23/23 05:00:00,54285.4,72.70,,,,,
08/23/23 06:00:00,54285.4,72.27,,,,,
08/23/23 07:00:00,54285.4,73.02,,,,,
08/23/23 08:00:00,54285.4,73.26,,,,,
08/23/23 09:00:00,54285.4,73.08,,,,,
08/23/23 10:00:00,54285.4,72.70,,,,,
08/23/23 11:00:00,54285.4,72.97,,,,,
08/23/23 12:00:00,54285.4,73.44,,,,,
08/23/23 13:00:00,54285.4,73.54,,,,,
08/23/23 14:00:00,54285.4,73.98,,,,,
08/23/23 15:00:00,54285.4,75.24,,,,,
08/23/23 16:00:00,54285.4,75.74,,,,,
08/23/23 17:00:00,54285.4,76.41,,,,,
08/23/23 18:00:00,54285.4,76.48,,,,,
08/23/23 19:00:00,54285.4,76.32,,,,,
08/23/23 20:00:00,54285.4,75.79,,,,,
08/23/23 21:00:00,54285.4,75.33,,,,,
08/23/23 22:00:00,54285.4,75.06,,,,,
08/23/23 23:00:00,54285.4,74.59,,,,,
08/24/23 00:00:00,54285.4,74.08,,,,,
08/24/23 01:00:00,54285.4,73.81,,,,,
08/24/23 02:00:00,54285.4,73.72,,,,,
08/24/23 03:00:00,54285.4,73.90,,,,,
08/24/23 04:00:00,54285.4,73.83,,,,,
08/24/23 05:00:00,54285.4,73.17,,,,,
08/24/23 06:00:00,54285.4,72.68,,,,,
08/24/23 07:00:00,54285.4,72.30,,,,,
08/24/23 08:00:00,54285.4,73.04,,,,,
08/24/23 09:00:00,54285.4,73.51,,,,,
08/24/23 10:00:00,54285.4,73.40,,,,,
08/24/23 11:00:00,54285.4,73.06,,,,,
08/24/23 12:00:00,54285.4,73.60,,,,,
08/24/23 13:00:00,54285.4,74.03,,,,,
08/24/23 14:00:00,54285.4,74.01,,,,,
08/24/23 15:00:00,54285.4,74.16,,,,,
08/24/23 16:00:00,54285.4,75.31,,,,,
08/24/23 17:00:00,54285.4,76.12,,,,,
08/24/23 18:00:00,54285.4,76.23,,,,,
08/24/23 19:00:00,54285.4,76.26,,,,,
08/24/23 20:00:00,54285.4,75.65,,,,,
08/24/23 21:00:00,54285.4,75.97,,,,,
08/24/23 22:00:00,54285.4,75.60,,,,,
08/24/23 23:00:00,54285.4,75.47,,,,,
08/25/23 00:00:00,54285.4,75.07,,,,,
08/25/23 01:00:00,54285.4,74.08,,,,,
08/25/23 02:00:00,54285.4,73.81,,,,,
08/25/23 03:00:00,54285.4,73.71,,,,,
08/25/23 04:00:00,54285.4,73.89,,,,,
08/25/23 05:00:00,54285.4,73.49,,,,,
08/25/23 06:00:00,54285.4,73.27,,,,,
08/25/23 07:00:00,54285.4,73.06,,,,,
08/25/23 08:00:00,54285.4,73.27,,,,,
08/25/23 09:00:00,54285.4,73.42,,,,,
08/25/23 10:00:00,54285.4,73.33,,,,,
08/25/23 11:00:00,54285.4,73.45,,,,,
08/25/23 12:00:00,54285.4,73.08,,,,,
08/25/23 13:00:00,54285.4,72.97,,,,,
08/25/23 14:00:00,54285.4,72.66,,,,,
08/25/23 15:00:00,54285.4,72.73,,,,,
08/25/23 16:00:00,54285.4,72.84,,,,,
08/25/23 17:00:00,54285.4,72.75,,,,,
08/25/23 18:00:00,54285.4,72.55,,,,,
08/25/23 19:00:00,54285.4,72.19,,,,,
08/25/23 20:00:00,54285.4,72.07,,,,,
08/25/23 21:00:00,54285.4,71.91,,,,,
08/25/23 22:00:00,54285.4,72.30,,,,,
08/25/23 23:00:00,54285.4,72.32,,,,,
08/26/23 00:00:00,54285.4,72.57,,,,,
08/26/23 01:00:00,54285.4,72.55,,,,,
08/26/23 02:00:00,54285.4,72.48,,,,,
08/26/23 03:00:00,54285.4,72.46,,,,,
08/26/23 04:00:00,54285.4,72.54,,,,,
08/26/23 05:00:00,54285.4,72.50,,,,,
08/26/23 06:00:00,54285.4,72.28,,,,,
08/26/23 07:00:00,54285.4,71.89,,,,,
08/26/23 08:00:00,54285.4,71.53,,,,,
08/26/23 09:00:00,54285.4,71.44,,,,,
08/26/23 10:00:00,54285.4,71.80,,,,,
08/26/23 11:00:00,54285.4,72.27,,,,,
08/26/23 12:00:00,54285.4,72.32,,,,,
08/26/23 13:00:00,54285.4,72.55,,,,,
08/26/23 14:00:00,54285.4,72.88,,,,,
08/26/23 15:00:00,54285.4,73.15,,,,,
08/26/23 16:00:00,54285.4,73.31,,,,,
08/26/23 17:00:00,54285.4,73.49,,,,,
08/26/23 18:00:00,54285.4,74.12,,,,,
08/26/23 19:00:00,54285.4,74.23,,,,,
08/26/23 20:00:00,54285.4,74.35,,,,,
08/26/23 21:00:00,54285.4,74.19,,,,,
08/26/23 22:00:00,54285.4,74.03,,,,,
08/26/23 23:00:00,54285.4,74.08,,,,,
08/27/23 00:00:00,54285.4,74.01,,,,,
08/27/23 01:00:00,54285.4,73.92,,,,,
08/27/23 02:00:00,54285.4,73.72,,,,,
08/27/23 03:00:00,54285.4,73.04,,,,,
08/27/23 04:00:00,54285.4,72.93,,,,,
08/27/23 05:00:00,54285.4,72.93,,,,,
08/27/23 06:00:00,54285.4,72.99,,,,,
08/27/23 07:00:00,54285.4,72.79,,,,,
08/27/23 08:00:00,54285.4,72.41,,,,,
08/27/23 09:00:00,54285.4,72.09,,,,,
08/27/23 10:00:00,54285.4,72.01,,,,,
08/27/23 11:00:00,54285.4,72.21,,,,,
08/27/23 12:00:00,54285.4,72.41,,,,,
08/27/23 13:00:00,54285.4,72.68,,,,,
08/27/23 14:00:00,54285.4,72.77,,,,,
08/27/23 15:00:00,54285.4,73.04,,,,,
08/27/23 16:00:00,54285.4,73.04,,,,,
08/27/23 17:00:00,54285.4,73.06,,,,,
08/27/23 18:00:00,54285.4,73.08,,,,,
08/27/23 19:00:00,54285.4,73.31,,,,,
08/27/23 20:00:00,54285.4,73.26,,,,,
08/27/23 21:00:00,54285.4,73.08,,,,,
08/27/23 22:00:00,54285.4,72.82,,,,,
08/27/23 23:00:00,54285.4,72.64,,,,,
08/28/23 00:00:00,54285.4,72.54,,,,,
08/28/23 01:00:00,54285.4,72.68,,,,,
08/28/23 02:00:00,54285.4,72.66,,,,,
08/28/23 03:00:00,54285.4,72.55,,,,,
08/28/23 04:00:00,54285.4,72.27,,,,,
08/28/23 05:00:00,54285.4,72.12,,,,,
08/28/23 06:00:00,54285.4,72.10,,,,,
08/28/23 07:00:00,54285.4,72.01,,,,,
08/28/23 08:00:00,54285.4,71.83,,,,,
08/28/23 09:00:00,54285.4,71.46,,,,,
08/28/23 10:00:00,54285.4,71.42,,,,,
08/28/23 11:00:00,54285.4,71.37,,,,,
08/28/23 12:00:00,54285.4,71.62,,,,,
08/28/23 13:00:00,54285.4,71.71,,,,,
08/28/23 14:00:00,54285.4,72.09,,,,,
08/28/23 15:00:00,54285.4,72.30,,,,,
08/28/23 16:00:00,54285.4,72.39,,,,,
08/28/23 17:00:00,54285.4,72.32,,,,,
08/28/23 18:00:00,54285.4,72.09,,,,,
08/28/23 19:00:00,54285.4,72.07,,,,,
08/28/23 20:00:00,54285.4,72.09,,,,,
08/28/23 21:00:00,54285.4,72.37,,,,,
08/28/23 22:00:00,54285.4,72.48,,,,,
08/28/23 23:00:00,54285.4,72.39,,,,,
08/29/23 00:00:00,54285.4,72.28,,,,,
08/29/23 01:00:00,54285.4,72.10,,,,,
08/29/23 02:00:00,54285.4,72.25,,,,,
08/29/23 03:00:00,54285.4,72.16,,,,,
08/29/23 04:00:00,54285.4,71.80,,,,,
08/29/23 05:00:00,54285.4,71.51,,,,,
08/29/23 06:00:00,54285.4,71.51,,,,,
08/29/23 07:00:00,54285.4,71.55,,,,,
08/29/23 08:00:00,54285.4,71.40,,,,,
08/29/23 09:00:00,54285.4,71.31,,,,,
08/29/23 10:00:00,54285.4,70.97,,,,,
08/29/23 11:00:00,54285.4,70.86,,,,,
08/29/23 12:00:00,54285.4,70.83,,,,,
08/29/23 13:00:00,54285.4,70.92,,,,,
08/29/23 14:00:00,54285.4,71.44,,,,,
08/29/23 15:00:00,54285.4,71.80,,,,,
08/29/23 16:00:00,54285.4,71.96,,,,,
08/29/23 17:00:00,54285.4,71.73,,,,,
08/29/23 18:00:00,54285.4,71.51,,,,,
08/29/23 19:00:00,54285.4,71.53,,,,,
08/29/23 20:00:00,54285.4,71.51,,,,,
08/29/23 21:00:00,54285.4,71.74,,,,,
08/29/23 22:00:00,54285.4,71.96,,,,,
08/29/23 23:00:00,54285.4,72.09,,,,,
08/30/23 00:00:00,54285.4,72.09,,,,,
08/30/23 01:00:00,54285.4,72.03,,,,,
08/30/23 02:00:00,54285.4,71.98,,,,,
08/30/23 03:00:00,54285.4,71.98,,,,,
08/30/23 04:00:00,54285.4,71.92,,,,,
08/30/23 05:00:00,54285.4,71.82,,,,,
08/30/23 06:00:00,54285.4,71.74,,,,,
08/30/23 07:00:00,54285.4,71.13,,,,,
08/30/23 08:00:00,54285.4,70.79,,,,,
08/30/23 09:00:00,54285.4,71.37,,,,,
08/30/23 10:00:00,54285.4,71.92,,,,,
08/30/23 11:00:00,54285.4,72.10,,,,,
08/30/23 12:00:00,54285.4,72.36,,,,,
08/30/23 13:00:00,54285.4,72.73,,,,,
08/30/23 14:00:00,54285.4,72.77,,,,,
08/30/23 15:00:00,54285.4,72.66,,,,,
08/30/23 16:00:00,54285.4,72.45,,,,,
08/30/23 17:00:00,54285.4,72.75,,,,,
08/30/23 18:00:00,54285.4,72.70,,,,,
08/30/23 19:00:00,54285.4,71.92,,,,,
08/30/23 20:00:00,54285.4,71.80,,,,,
08/30/23 21:00:00,54285.4,71.96,,,,,
08/30/23 22:00:00,54285.4,72.03,,,,,
08/30/23 23:00:00,54285.4,72.16,,,,,
08/31/23 00:00:00,54285.4,71.96,,,,,
08/31/23 01:00:00,54285.4,71.62,,,,,
08/31/23 02:00:00,54285.4,71.33,,,,,
08/31/23 03:00:00,54285.4,71.42,,,,,
08/31/23 04:00:00,54285.4,71.13,,,,,
08/31/23 05:00:00,54285.4,71.40,,,,,
08/31/23 06:00:00,54285.4,70.48,,,,,
08/31/23 07:00:00,54285.4,71.26,,,,,
08/31/23 08:00:00,54285.4,69.01,,,,,
08/31/23 09:00:00,54285.4,68.86,,,,,
08/31/23 10:00:00,54285.4,70.39,,,,,
08/31/23 11:00:00,54285.4,71.04,,,,,
08/31/23 12:00:00,54285.4,71.53,,,,,
08/31/23 13:00:00,54285.4,72.12,,,,,
08/31/23 14:00:00,54285.4,72.61,,,,,
08/31/23 15:00:00,54285.4,72.48,,,,,
08/31/23 16:00:00,54285.4,72.54,,,,,
08/31/23 17:00:00,54285.4,72.16,,,,,
08/31/23 18:00:00,54285.4,72.84,,,,,
08/31/23 19:00:00,54285.4,71.64,,,,,
08/31/23 20:00:00,54285.4,70.79,,,,,
08/31/23 21:00:00,54285.4,69.21,,,,,
08/31/23 22:00:00,54285.4,70.09,,,,,
08/31/23 23:00:00,54285.4,70.43,,,,,
09/01/23 00:00:00,54285.4,70.29,,,,,
09/01/23 01:00:00,54285.4,69.91,,,,,
09/01/23 02:00:00,54285.4,69.40,,,,,
09/01/23 03:00:00,54285.4,69.10,,,,,
09/01/23 04:00:00,54285.4,69.31,,,,,
09/01/23 05:00:00,54285.4,69.53,,,,,
09/01/23 06:00:00,54285.4,69.58,,,,,
09/01/23 07:00:00,54285.4,68.67,,,,,
09/01/23 08:00:00,54285.4,69.39,,,,,
09/01/23 09:00:00,54285.4,68.95,,,,,
09/01/23 10:00:00,54285.4,69.30,,,,,
09/01/23 11:00:00,54285.4,69.84,,,,,
09/01/23 12:00:00,54285.4,70.34,,,,,
09/01/23 13:00:00,54285.4,71.11,,,,,
09/01/23 14:00:00,54285.4,71.83,,,,,
09/01/23 15:00:00,54285.4,72.46,,,,,
09/01/23 16:00:00,54285.4,72.28,,,,,
