"Plot Title: Carolina September 2021"
"Date Time, GMT-04:00","High Range, μS/cm (SEN S/N: 20200318)","Temp, °F (SEN S/N: 20200318)","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
09/28/21 09:36:39,0.0,73.92,,,,,
09/28/21 09:36:45,,,Logged,,,,
09/28/21 10:06:39,23924.1,71.29,,,,,
09/28/21 10:36:39,23922.5,71.24,,,,,
09/28/21 11:06:39,23899.9,71.24,,,,,
09/28/21 11:36:39,23967.7,71.44,,,,,
09/28/21 12:06:39,23998.5,71.64,,,,,
09/28/21 12:36:39,23938.6,71.76,,,,,
09/28/21 13:06:39,23987.1,71.87,,,,,
09/28/21 13:36:39,24006.6,71.89,,,,,
09/28/21 14:06:39,24004.9,71.87,,,,,
09/28/21 14:36:39,24014.7,71.74,,,,,
09/28/21 15:06:39,23956.4,71.71,,,,,
09/28/21 15:36:39,23996.8,71.71,,,,,
09/28/21 16:06:39,23992.0,71.67,,,,,
09/28/21 16:36:39,23990.3,71.73,,,,,
09/28/21 17:06:39,24003.3,71.82,,,,,
09/28/21 17:36:39,23998.5,71.80,,,,,
09/28/21 18:06:39,23972.5,71.80,,,,,
09/28/21 18:36:39,23883.8,71.71,,,,,
09/28/21 19:06:39,23917.6,71.69,,,,,
09/28/21 19:36:39,23920.9,71.60,,,,,
09/28/21 20:06:39,23911.2,71.58,,,,,
09/28/21 20:36:39,23954.7,71.64,,,,,
09/28/21 21:06:39,23859.7,71.49,,,,,
09/28/21 21:36:39,23888.7,71.47,,,,,
09/28/21 22:06:39,23866.2,71.42,,,,,
09/28/21 22:36:39,23752.7,71.02,,,,,
09/28/21 23:06:39,23842.1,71.19,,,,,
09/28/21 23:36:39,23813.3,71.15,,,,,
09/29/21 00:06:39,23802.1,71.10,,,,,
09/29/21 00:36:39,23563.0,70.18,,,,,
09/29/21 01:06:39,23548.9,69.82,,,,,
09/29/21 01:36:39,23511.3,69.78,,,,,
09/29/21 02:06:39,23503.5,69.55,,,,,
09/29/21 02:36:39,23533.2,69.60,,,,,
09/29/21 03:06:39,23643.3,69.91,,,,,
09/29/21 03:36:39,23614.9,69.66,,,,,
09/29/21 04:06:39,23611.7,69.55,,,,,
09/29/21 04:36:39,23592.9,69.40,,,,,
09/29/21 05:06:39,23648.0,69.48,,,,,
09/29/21 05:36:39,23605.4,69.15,,,,,
09/29/21 06:06:39,23553.6,68.65,,,,,
09/29/21 06:36:39,23505.1,68.27,,,,,
09/29/21 07:06:39,23366.7,67.68,,,,,
09/29/21 07:36:39,23365.2,67.60,,,,,
09/29/21 08:06:39,23318.9,67.46,,,,,
