"Plot Title: Carolina September 2021 2"
"Date Time, GMT-04:00","High Range, μS/cm (SEN S/N: 20182875)","Temp, °F (SEN S/N: 20182875)","Bad Battery","Coupler Detached","Good Battery","Coupler Attached","Host Connected","Stopped","End Of File"
09/28/21 09:33:42,0.0,74.35,Logged,,,,,,
09/28/21 09:33:47,,,,Logged,,,,,
09/28/21 10:03:42,35796.1,71.80,,,Logged,,,,
09/28/21 10:33:42,35742.5,71.74,,,,,,,
09/28/21 11:03:42,35611.1,71.74,,,,,,,
09/28/21 11:33:42,35785.4,71.89,,,,,,,
09/28/21 12:03:42,35936.1,72.07,,,,,,,
09/28/21 12:33:42,35964.9,72.21,,,,,,,
09/28/21 13:03:42,36168.1,72.37,,,,,,,
09/28/21 13:33:42,36102.6,72.34,,,,,,,
09/28/21 14:03:42,36040.8,72.36,,,,,,,
09/28/21 14:33:42,36135.3,72.23,,,,,,,
09/28/21 15:03:42,35921.7,72.21,,,,,,,
09/28/21 15:33:42,36069.9,72.16,,,,,,,
09/28/21 16:03:42,36149.9,72.16,,,,,,,
09/28/21 16:33:42,35522.8,72.16,,,,,,,
09/28/21 17:03:42,36062.6,72.30,,,,,,,
09/28/21 17:33:42,36091.7,72.30,,,,,,,
09/28/21 18:03:42,35839.0,72.28,,,,,,,
09/28/21 18:33:42,35650.1,72.14,,,,,,,
09/28/21 19:03:42,35657.2,72.18,,,,,,,
09/28/21 19:33:42,35625.3,72.07,,,,,,,
09/28/21 20:03:42,35533.4,72.03,,,,,,,
09/28/21 20:33:42,35639.4,72.07,,,,,,,
09/28/21 21:03:42,35522.8,72.03,,,,,,,
09/28/21 21:33:42,35540.5,71.98,,,,,,,
09/28/21 22:03:42,35365.1,71.89,,,,,,,
09/28/21 22:33:42,35115.5,71.67,,,,,,,
09/28/21 23:03:42,35149.9,71.71,,,,,,,
09/28/21 23:33:42,34683.7,71.44,,,,,,,
09/29/21 00:03:42,34764.5,71.51,,,,,,,
09/29/21 00:33:42,34246.1,70.93,,,,,,,
09/29/21 01:03:42,33730.4,70.34,,,,,,,
09/29/21 01:33:42,33622.8,70.20,,,,,,,
09/29/21 02:03:42,33534.8,70.03,,,,,,,
09/29/21 02:33:42,33651.2,70.14,,,,,,,
09/29/21 03:03:42,33877.0,70.27,,,,,,,
09/29/21 03:33:42,33947.6,70.14,,,,,,,
09/29/21 04:03:42,33979.8,70.03,,,,,,,
09/29/21 04:33:42,33989.5,69.93,,,,,,,
09/29/21 05:03:42,34080.0,69.93,,,,,,,
09/29/21 05:33:42,34012.0,69.71,,,,,,,
09/29/21 06:03:42,33641.8,69.12,,,,,,,
09/29/21 06:33:42,33441.0,68.88,,,,,,,
09/29/21 07:03:42,33068.0,68.49,,,,,,,
09/29/21 07:33:42,32814.1,68.23,,,,,,,
09/29/21 08:03:42,32632.2,68.07,,,,,,,
09/29/21 08:33:42,32280.5,67.68,,,,,,,
09/29/21 09:03:42,32113.3,67.60,,,,,,,
09/29/21 09:33:42,31973.5,67.59,,,,,,,
09/29/21 10:03:42,31700.4,67.55,,,,,,,
09/29/21 10:33:42,32113.3,68.31,,,,,,,
09/29/21 11:03:42,32564.2,69.08,,,,,,,
09/29/21 11:33:42,32778.1,69.40,,,,,,,
09/29/21 12:03:42,33544.2,70.27,,,,,,,
09/29/21 12:33:42,33534.8,69.85,,,,,,,
09/29/21 13:03:42,33541.1,69.98,,,,,,,
09/29/21 13:33:42,33559.9,70.21,,,,,,,
09/29/21 14:03:42,33673.4,70.27,,,,,,,
09/29/21 14:33:42,33484.7,70.38,,,,,,,
09/29/21 15:03:42,33569.3,70.48,,,,,,,
09/29/21 15:33:42,33326.0,70.52,,,,,,,
09/29/21 16:03:42,33326.0,70.61,,,,,,,
09/29/21 16:33:42,33541.1,70.97,,,,,,,
09/29/21 17:03:42,33381.8,70.72,,,,,,,
09/29/21 17:33:42,33068.0,70.32,,,,,,,
09/29/21 18:03:42,32910.3,70.12,,,,,,,
09/29/21 18:33:42,32388.1,69.78,,,,,,,
09/29/21 19:03:42,33001.1,70.29,,,,,,,
09/29/21 19:33:42,33528.5,70.48,,,,,,,
09/29/21 20:03:42,33686.0,70.59,,,,,,,
09/29/21 20:33:42,34128.6,70.79,,,,,,,
09/29/21 21:03:42,34190.5,71.20,,,,,,,
09/29/21 21:33:42,34364.3,71.37,,,,,,,
09/29/21 22:03:42,34364.3,71.55,,,,,,,
09/29/21 22:33:42,34586.6,71.38,,,,,,,
09/29/21 23:03:42,34496.7,71.38,,,,,,,
09/29/21 23:33:42,34440.3,71.49,,,,,,,
09/30/21 00:03:42,34305.1,71.42,,,,,,,
09/30/21 00:33:42,34529.9,71.49,,,,,,,
09/30/21 01:03:42,34673.6,71.51,,,,,,,
09/30/21 01:33:42,34135.1,71.17,,,,,,,
09/30/21 02:03:42,34344.5,71.22,,,,,,,
09/30/21 02:33:42,33893.0,70.79,,,,,,,
09/30/21 03:03:42,33800.3,70.56,,,,,,,
09/30/21 03:33:42,34034.6,70.70,,,,,,,
09/30/21 04:03:42,33861.0,70.30,,,,,,,
09/30/21 04:33:42,32995.0,69.31,,,,,,,
09/30/21 05:03:42,32661.9,68.31,,,,,,,
09/30/21 05:33:42,32525.9,67.89,,,,,,,
09/30/21 06:03:42,32916.4,68.65,,,,,,,
09/30/21 06:33:42,33071.0,68.56,,,,,,,
09/30/21 07:03:42,32277.6,67.19,,,,,,,
09/30/21 07:33:42,32202.5,67.08,,,,,,,
09/30/21 08:03:42,31672.6,66.34,,,,,,,
09/30/21 08:33:42,31578.2,66.33,,,,,,,
09/30/21 09:03:42,31517.4,66.27,,,,,,,
09/30/21 09:33:42,31298.6,66.25,,,,,,,
09/30/21 10:03:42,31136.6,66.40,,,,,,,
09/30/21 10:33:42,31388.5,66.63,,,,,,,
09/30/21 11:03:42,31230.9,66.47,,,,,,,
09/30/21 11:33:42,31344.8,66.81,,,,,,,
09/30/21 12:03:42,31353.0,67.28,,,,,,,
09/30/21 12:33:42,31306.7,67.39,,,,,,,
09/30/21 13:03:42,31366.6,67.48,,,,,,,
09/30/21 13:33:42,31448.7,67.66,,,,,,,
09/30/21 14:03:42,31871.6,68.40,,,,,,,
09/30/21 14:33:42,32335.7,69.22,,,,,,,
09/30/21 15:03:42,32173.6,68.88,,,,,,,
09/30/21 15:33:42,32156.4,68.85,,,,,,,
09/30/21 16:03:42,32096.1,68.68,,,,,,,
09/30/21 16:33:42,31914.0,68.38,,,,,,,
09/30/21 17:03:42,31619.8,67.89,,,,,,,
09/30/21 17:33:42,31636.4,67.89,,,,,,,
09/30/21 18:03:42,31899.8,67.91,,,,,,,
09/30/21 18:33:42,31731.2,67.80,,,,,,,
09/30/21 19:03:42,31849.0,67.14,,,,,,,
09/30/21 19:33:42,31706.0,67.06,,,,,,,
09/30/21 20:03:42,31366.6,66.72,,,,,,,
09/30/21 20:33:42,31336.7,66.63,,,,,,,
09/30/21 21:03:42,31179.6,66.45,,,,,,,
09/30/21 21:33:42,30480.2,65.84,,,,,,,
09/30/21 22:03:42,30713.0,65.80,,,,,,,
09/30/21 22:33:42,30185.5,65.52,,,,,,,
09/30/21 23:03:42,30377.9,65.64,,,,,,,
09/30/21 23:33:42,30526.4,65.80,,,,,,,
10/01/21 00:03:42,30311.8,65.55,,,,,,,
10/01/21 00:33:42,30020.6,65.08,,,,,,,
10/01/21 01:03:42,30075.4,65.16,,,,,,,
10/01/21 01:33:42,30003.2,65.01,,,,,,,
10/01/21 02:03:42,29852.7,64.71,,,,,,,
10/01/21 02:33:42,29838.0,64.72,,,,,,,
10/01/21 03:03:42,29752.4,64.63,,,,,,,
10/01/21 03:33:42,29556.4,64.24,,,,,,,
10/01/21 04:03:42,32697.6,68.43,,,,,,,
10/01/21 04:33:42,32593.7,68.04,,,,,,,
10/01/21 05:03:42,32059.0,67.55,,,,,,,
10/01/21 05:33:42,31815.3,67.28,,,,,,,
10/01/21 06:03:42,29330.1,62.78,,,,,,,
10/01/21 06:33:42,29911.7,63.82,,,,,,,
10/01/21 07:03:42,29546.8,63.73,,,,,,,
10/01/21 07:33:42,29486.9,63.75,,,,,,,
10/01/21 08:03:42,29021.7,63.12,,,,,,,
10/01/21 08:33:42,31236.3,65.53,,,,,,,
10/01/21 09:03:42,30503.3,64.87,,,,,,,
10/01/21 09:33:42,31467.9,65.95,,,,,,,
10/01/21 10:03:42,32656.0,68.14,,,,,,,
10/01/21 10:33:42,33055.8,68.38,,,,,,,
10/01/21 11:03:42,32694.6,68.94,,,,,,,
10/01/21 11:33:42,32070.4,67.82,,,,,,,
10/01/21 12:03:42,32823.1,68.38,,,,,,,
10/01/21 12:33:42,32802.1,68.49,,,,,,,
10/01/21 13:03:42,33335.3,69.17,,,,,,,
10/01/21 13:33:42,33101.6,69.10,,,,,,,
10/01/21 14:03:42,33938.0,69.87,,,,,,,
10/01/21 14:33:42,34190.5,70.70,,,,,,,
10/01/21 15:03:42,34015.3,70.75,,,,,,,
10/01/21 15:33:42,34008.8,70.88,,,,,,,
10/01/21 16:03:42,34037.9,70.70,,,,,,,
10/01/21 16:33:42,34171.0,70.70,,,,,,,
10/01/21 17:03:42,33619.7,70.66,,,,,,,
10/01/21 17:33:42,33316.7,69.58,,,,,,,
10/01/21 18:03:42,33332.2,69.94,,,,,,,
