"Plot Title: Carolina No 1 May 2022",,,,,
"Date Time, GMT-04:00","High Range, μS/cm (SEN S/N: 20200318)","Temp, °C (SEN S/N: 20200318)"
05/17/22 12:06:18,0.0,23.45
05/17/22 12:36:18,25658.8,17.59
05/17/22 13:06:18,24485.6,18.03
05/17/22 13:36:18,23970.9,18.81
05/17/22 14:06:18,23676.5,19.13
05/17/22 14:36:18,23561.4,19.32
05/17/22 15:06:18,23591.3,19.22
05/17/22 15:36:18,23792.5,18.65
05/17/22 16:06:18,23990.3,18.19
05/17/22 16:36:18,24008.2,18.19
05/17/22 17:06:18,24145.2,17.43
05/17/22 17:36:18,24179.7,17.23
05/17/22 18:06:18,24222.5,17.16
05/17/22 18:36:18,24163.2,17.27
05/17/22 19:06:18,24146.8,17.16
05/17/22 19:36:18,24220.8,16.76
05/17/22 20:06:18,24209.3,16.51
05/17/22 20:36:18,24214.2,15.89
05/17/22 21:06:18,24199.4,15.33
05/17/22 21:36:18,24189.5,15.28
05/17/22 22:06:18,24168.2,15.35
05/17/22 22:36:18,24128.8,15.42
05/17/22 23:06:18,24115.7,15.63
05/17/22 23:36:18,24079.8,15.80
05/18/22 00:06:18,24000.1,15.92
05/18/22 00:36:18,23795.7,16.17
05/18/22 01:06:18,23533.2,16.27
05/18/22 01:36:18,23334.3,16.31
05/18/22 02:06:18,23062.4,16.35
05/18/22 02:36:18,22794.3,16.32
05/18/22 03:06:18,22699.7,16.26
05/18/22 03:36:18,22752.8,16.27
05/18/22 04:06:18,22741.0,16.23
05/18/22 04:36:18,22880.6,16.24
05/18/22 05:06:18,23009.6,16.26
05/18/22 05:36:18,23103.3,16.25
05/18/22 06:06:18,23277.3,16.20
05/18/22 06:36:18,23408.5,16.16
05/18/22 07:06:18,23882.2,15.87
05/18/22 07:36:18,23711.3,15.58
05/18/22 08:06:18,23533.2,15.55
05/18/22 08:36:18,24050.4,15.62
05/18/22 09:06:18,24220.8,15.58
05/18/22 09:36:18,24184.6,15.56
05/18/22 10:06:18,24212.6,15.59
05/18/22 10:36:18,24184.6,15.53
05/18/22 11:06:18,24143.6,16.04
05/18/22 11:36:18,24087.9,16.19
05/18/22 12:06:18,23975.8,16.62
05/18/22 12:36:18,23838.9,16.98
05/18/22 13:06:18,23614.9,17.48
05/18/22 13:36:18,23441.2,17.96
05/18/22 14:06:18,23036.7,18.65
05/18/22 14:36:18,22751.4,18.93
05/18/22 15:06:18,22455.8,19.29
05/18/22 15:36:18,22597.0,19.20
05/18/22 16:06:18,23047.3,18.86
05/18/22 16:36:18,23383.7,18.46
05/18/22 17:06:18,23651.2,17.89
05/18/22 17:36:18,23829.3,17.63
05/18/22 18:06:18,23861.3,17.81
05/18/22 18:36:18,23899.9,17.55
05/18/22 19:06:18,24000.1,17.31
05/18/22 19:36:18,24047.2,17.02
05/18/22 20:06:18,24004.9,16.96
05/18/22 20:36:18,23982.2,16.63
05/18/22 21:06:18,23961.2,16.09
05/18/22 21:36:18,23980.6,15.74
05/18/22 22:06:18,23990.3,15.61
05/18/22 22:36:18,24011.4,15.53
05/18/22 23:06:18,23998.5,15.56
05/18/22 23:36:18,23987.1,15.59
05/19/22 00:06:18,23961.2,15.76
05/19/22 00:36:18,23893.5,15.94
05/19/22 01:06:18,23663.8,16.11
05/19/22 01:36:18,23492.6,16.28
05/19/22 02:06:18,23376.0,16.37
05/19/22 02:36:18,23199.2,16.46
