"Plot Title: Carolina June 2021 2",,,,
"Date Time, GMT-04:00","High Range, μS/cm (SEN S/N: 20182875)","Temp, °C (SEN S/N: 20182875)"
06/18/21 09:46:34,0.0,22.01
06/18/21 10:16:34,35561.6,21.89
06/18/21 10:46:34,36008.3,21.93
06/18/21 11:16:34,35842.6,22.26
06/18/21 11:46:34,35885.7,22.43
06/18/21 12:16:34,35519.3,22.50
06/18/21 12:46:34,34579.9,22.83
06/18/21 13:16:34,33771.7,22.81
06/18/21 13:46:34,33522.2,22.92
06/18/21 14:16:34,32283.4,23.03
06/18/21 14:46:34,31372.1,23.26
06/18/21 15:16:34,30072.9,23.18
06/18/21 15:46:34,28704.4,23.11
06/18/21 16:16:34,25575.5,23.16
06/18/21 16:46:34,23385.1,23.07
06/18/21 17:16:34,36795.2,22.95
06/18/21 17:46:34,36182.7,22.98
06/18/21 18:16:34,34940.8,22.85
06/18/21 18:46:34,33171.9,22.69
06/18/21 19:16:34,31276.9,22.50
06/18/21 19:46:34,36870.8,22.39
06/18/21 20:16:34,36454.9,22.46
06/18/21 20:46:34,34559.9,22.35
06/18/21 21:16:34,33613.4,22.15
06/18/21 21:46:34,33273.5,22.34
06/18/21 22:16:34,31899.8,21.73
06/18/21 22:46:34,31040.2,21.64
06/18/21 23:16:34,30899.5,21.88
06/18/21 23:46:34,34707.2,21.68
06/19/21 00:16:34,34460.2,21.57
06/19/21 00:46:34,34219.9,21.45
06/19/21 01:16:34,34292.0,21.51
06/19/21 01:46:34,34131.9,21.43
06/19/21 02:16:34,36182.7,21.48
06/19/21 02:46:34,36329.4,21.52
06/19/21 03:16:34,36285.2,21.38
06/19/21 03:46:34,36403.1,21.48
06/19/21 04:16:34,36659.8,21.66
06/19/21 04:46:34,36885.9,21.76
06/19/21 05:16:34,36935.3,21.78
06/19/21 05:46:34,37007.6,21.76
06/19/21 06:16:34,37038.2,21.74
06/19/21 06:46:34,37034.3,21.73
06/19/21 07:16:34,37080.2,21.71
06/19/21 07:46:34,36980.9,21.66
06/19/21 08:16:34,36693.6,21.53
06/19/21 08:46:34,36648.6,21.64
06/19/21 09:16:34,36686.1,21.76
06/19/21 09:46:34,36821.6,22.02
06/19/21 10:16:34,36749.9,22.12
06/19/21 10:46:34,36768.8,22.31
06/19/21 11:16:34,36829.1,22.35
06/19/21 11:46:34,36889.7,22.57
06/19/21 12:16:34,37180.0,22.71
06/19/21 12:46:34,37342.4,22.89
06/19/21 13:16:34,37455.3,23.13
06/19/21 13:46:34,37377.3,23.30
06/19/21 14:16:34,37455.3,23.25
06/19/21 14:46:34,37600.2,23.53
06/19/21 15:16:34,37619.9,23.63
06/19/21 15:46:34,37439.7,23.67
06/19/21 16:16:34,36829.1,23.40
06/19/21 16:46:34,36551.5,23.40
06/19/21 17:16:34,36001.0,23.09
06/19/21 17:46:34,38017.5,23.01
06/19/21 18:16:34,37789.9,22.85
06/19/21 18:46:34,37889.4,22.81
06/19/21 19:16:34,37829.6,22.72
06/19/21 19:46:34,37604.2,22.69
06/19/21 20:16:34,37841.6,22.73
06/19/21 20:46:34,37451.4,22.57
06/19/21 21:16:34,37191.6,22.55
06/19/21 21:46:34,37122.4,22.51
06/19/21 22:16:34,36656.1,22.33
06/19/21 22:46:34,36142.6,22.21
06/19/21 23:16:34,36307.3,22.25
06/19/21 23:46:34,35522.8,21.98
06/20/21 00:16:34,35703.4,22.03
06/20/21 00:46:34,35431.5,21.88
06/20/21 01:16:34,34730.8,21.65
06/20/21 01:46:34,35347.6,21.86
06/20/21 02:16:34,35717.6,22.01
06/20/21 02:46:34,34717.3,21.68
06/20/21 03:16:34,35864.1,21.93
06/20/21 03:46:34,35354.6,21.53
06/20/21 04:16:34,35918.1,21.68
06/20/21 04:46:34,36626.1,21.82
06/20/21 05:16:34,36230.2,21.65
06/20/21 05:46:34,36641.1,21.70
06/20/21 06:16:34,36916.3,21.95
06/20/21 06:46:34,37122.4,21.93
06/20/21 07:16:34,37253.3,22.18
06/20/21 07:46:34,37137.8,22.02
06/20/21 08:16:34,37087.9,22.20
06/20/21 08:46:34,37311.4,22.33
06/20/21 09:16:34,36893.5,22.13
06/20/21 09:46:34,37323.0,22.23
06/20/21 10:16:34,37506.1,22.51
06/20/21 10:46:34,37000.0,22.56
06/20/21 11:16:34,37042.0,23.07
06/20/21 11:46:34,37133.9,23.38
06/20/21 12:16:34,37357.9,23.15
06/20/21 12:46:34,37183.9,23.56
06/20/21 13:16:34,37482.6,23.32
06/20/21 13:46:34,37064.9,23.90
06/20/21 14:16:34,36073.5,23.67
06/20/21 14:46:34,35796.1,23.76
06/20/21 15:16:34,35508.8,24.20
06/20/21 15:46:34,37584.5,24.23
06/20/21 16:16:34,38243.7,24.12
06/20/21 16:46:34,38427.2,24.08
06/20/21 17:16:34,38009.5,23.98
06/20/21 17:46:34,37881.4,23.84
06/20/21 18:16:34,37853.5,23.76
06/20/21 18:46:34,38061.7,23.62
06/20/21 19:16:34,38029.6,23.46
06/20/21 19:46:34,37619.9,23.17
06/20/21 20:16:34,37766.1,23.19
06/20/21 20:46:34,37853.5,23.22
06/20/21 21:16:34,37683.0,23.13
06/20/21 21:46:34,36798.9,22.64
06/20/21 22:16:34,36259.6,22.27
06/20/21 22:46:34,36410.5,22.41
06/20/21 23:16:34,35907.3,22.31
06/20/21 23:46:34,35889.3,22.28
06/21/21 00:16:34,35628.8,22.11
06/21/21 00:46:34,35842.6,22.23
06/21/21 01:16:34,36318.3,22.46
06/21/21 01:46:34,35957.7,22.32
06/21/21 02:16:34,35903.7,22.30
06/21/21 02:46:34,36131.7,22.43
06/21/21 03:16:34,36091.7,22.42
