"Plot Title: Salinity_Carolina_8-16-22_2"
"Date Time, GMT-04:00","High Range, μS/cm (SEN S/N: 20182877)","Temp, °F (SEN S/N: 20182877)","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
06/02/22 14:00:00,355.5,69.10,Logged,,,,
06/02/22 14:30:00,281.8,71.65,,,,,
06/02/22 15:00:00,219.7,73.22,,,,,
06/02/22 15:30:00,215.8,73.76,,,,,
06/02/22 16:00:00,216.6,74.41,,,,,
06/02/22 16:30:00,183.8,74.46,,,,,
06/02/22 17:00:00,154.4,73.78,,,,,
06/02/22 17:30:00,0.0,73.09,,,,,
06/02/22 18:00:00,0.0,72.73,,,,,
06/02/22 18:30:00,0.0,71.82,,,,,
06/02/22 19:00:00,0.0,71.94,,,,,
06/02/22 19:30:00,0.0,71.96,,,,,
06/02/22 20:00:00,0.0,71.91,,,,,
06/02/22 20:30:00,0.0,71.82,,,,,
06/02/22 21:00:00,0.0,71.74,,,,,
06/02/22 21:30:00,0.0,71.55,,,,,
06/02/22 22:00:00,0.0,71.08,,,,,
06/02/22 22:30:00,0.0,70.70,,,,,
06/02/22 23:00:00,0.0,70.39,,,,,
06/02/22 23:30:00,0.0,70.12,,,,,
06/03/22 00:00:00,0.0,69.87,,,,,
06/03/22 00:30:00,0.0,69.67,,,,,
06/03/22 01:00:00,0.0,69.46,,,,,
06/03/22 01:30:00,0.0,69.26,,,,,
06/03/22 02:00:00,0.0,69.44,,,,,
06/03/22 02:30:00,0.0,69.78,,,,,
06/03/22 03:00:00,0.0,70.00,,,,,
06/03/22 03:30:00,0.0,70.18,,,,,
06/03/22 04:00:00,0.0,70.29,,,,,
06/03/22 04:30:00,0.0,70.34,,,,,
06/03/22 05:00:00,0.0,70.39,,,,,
06/03/22 05:30:00,0.0,70.43,,,,,
06/03/22 06:00:00,0.0,70.45,,,,,
06/03/22 06:30:00,0.0,70.48,,,,,
06/03/22 07:00:00,0.0,70.52,,,,,
06/03/22 07:30:00,0.0,70.54,,,,,
06/03/22 08:00:00,0.0,70.56,,,,,
06/03/22 08:30:00,0.0,70.59,,,,,
06/03/22 09:00:00,0.0,70.61,,,,,
06/03/22 09:30:00,0.0,70.65,,,,,
06/03/22 10:00:00,0.0,70.66,,,,,
06/03/22 10:30:00,0.0,70.68,,,,,
06/03/22 11:00:00,0.0,70.70,,,,,
06/03/22 11:30:00,0.0,70.74,,,,,
06/03/22 12:00:00,0.0,70.77,,,,,
06/03/22 12:30:00,0.0,70.83,,,,,
06/03/22 13:00:00,0.0,70.88,,,,,
06/03/22 13:30:00,0.0,70.93,,,,,
06/03/22 14:00:00,0.0,70.97,,,,,
06/03/22 14:30:00,0.0,71.04,,,,,
06/03/22 15:00:00,0.0,71.13,,,,,
06/03/22 15:30:00,0.0,71.20,,,,,
06/03/22 16:00:00,0.0,71.29,,,,,
06/03/22 16:30:00,0.0,71.33,,,,,
06/03/22 17:00:00,0.0,71.40,,,,,
06/03/22 17:30:00,0.0,71.44,,,,,
06/03/22 18:00:00,0.0,71.44,,,,,
06/03/22 18:30:00,0.0,71.44,,,,,
06/03/22 19:00:00,0.0,71.42,,,,,
06/03/22 19:30:00,0.0,71.42,,,,,
06/03/22 20:00:00,0.0,71.42,,,,,
06/03/22 20:30:00,0.0,71.42,,,,,
06/03/22 21:00:00,0.0,71.42,,,,,
06/03/22 21:30:00,0.0,71.29,,,,,
