Date/Time,Conductivity ,Specific Cond ,Salinity,ChlorophyllU,Chlorophyll ,Optical DO,Optical DO Sat,pH,pH Diagnostic,Temp,Pressure-Abs,Depth 
1/1/2022 00:00,29149.93,47039.59,29.458,1.02,10.2,11.151,106.164,7.948,-78.831,5.088,2.206,1.707
1/1/2022 00:15,29156.939,47045.262,29.463,0.921,9.209,11.048,105.195,7.946,-78.721,5.092,2.176,1.686
1/1/2022 00:30,29155.43,47042.629,29.461,0.848,8.481,10.929,104.058,7.944,-78.628,5.092,2.102,1.635
1/1/2022 00:45,29147.461,47032.801,29.454,0.908,9.075,10.975,104.488,7.943,-78.578,5.09,2.032,1.587
1/1/2022 01:00,29141.949,47022.738,29.447,0.782,7.817,10.868,103.465,7.944,-78.645,5.091,1.969,1.544
1/1/2022 01:15,29154.289,47035.129,29.457,0.811,8.115,10.843,103.242,7.944,-78.626,5.096,1.875,1.48
1/1/2022 01:30,29171.77,47049.262,29.468,0.938,9.385,10.764,102.523,7.943,-78.607,5.106,1.802,1.43
1/1/2022 01:45,29188.73,47064.559,29.48,0.908,9.075,10.831,103.189,7.942,-78.523,5.114,1.734,1.383
1/1/2022 02:00,29220.85,47096.18,29.504,0.926,9.261,10.868,103.599,7.937,-78.275,5.128,1.65,1.325
1/1/2022 02:15,29235.641,47109.82,29.515,0.9,8.997,10.882,103.75,7.935,-78.187,5.135,1.573,1.272
1/1/2022 02:30,29244.961,47114.371,29.519,0.913,9.126,10.87,103.662,7.932,-78.053,5.143,1.525,1.239
1/1/2022 02:45,29259.471,47132.219,29.532,0.938,9.377,10.852,103.504,7.929,-77.887,5.146,1.415,1.164
1/1/2022 03:00,29268.449,47142.301,29.54,1.034,10.344,10.819,103.209,7.929,-77.898,5.149,1.375,1.136
1/1/2022 03:15,29272.721,47148.859,29.544,0.917,9.172,10.756,102.611,7.926,-77.753,5.15,1.378,1.138
1/1/2022 03:30,29220.26,47074.828,29.492,0.966,9.658,10.638,101.426,7.924,-77.658,5.142,1.35,1.119
1/1/2022 03:45,29223.381,47079.012,29.495,0.627,6.266,10.796,102.938,7.929,-77.87,5.143,1.358,1.125
1/1/2022 04:00,29162.02,46978.488,29.426,0.905,9.051,10.672,101.71,7.941,-78.506,5.144,1.392,1.148
1/1/2022 04:15,29109.82,46850.969,29.343,0.871,8.709,10.964,104.516,7.935,-78.216,5.174,1.457,1.193
1/1/2022 04:30,29140.27,46882.871,29.367,0.986,9.858,11.001,104.915,7.933,-78.084,5.186,1.53,1.243
1/1/2022 04:45,29146.51,46885.25,29.369,1.067,10.669,10.966,104.593,7.933,-78.115,5.191,1.629,1.311
1/1/2022 05:00,29128.561,46839.059,29.339,0.903,9.027,10.845,103.446,7.937,-78.325,5.203,1.71,1.366
1/1/2022 05:15,29035.311,46665.578,29.222,1.042,10.425,11.209,106.88,7.935,-78.235,5.22,1.782,1.416
1/1/2022 05:30,29050.5,46688.641,29.239,0.964,9.643,11.02,105.088,7.933,-78.096,5.221,1.903,1.499
