"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"wqbslwq   ","P",05/20/2022 16:45,0,1,"",18.5,<0> (CND),45.64,<0> (CND),29.6,<0> (CND),102.5,<0> (CND),8.1,<0> (CND),1.15,<0> (CND),"","","",<-1> ,"","",7.8,<0> (CND),3,<0> (CND),6.1,<0> (CND),
"wqbslwq   ","P",05/20/2022 17:00,0,1,"",18.7,<0> ,45.91,<0> ,29.8,<0> ,106.1,<0> ,8.3,<0> ,1.17,<0> ,"","","",<-1> ,"","",7.8,<0> ,3,<0> ,5.8,<0> ,
"wqbslwq   ","P",05/20/2022 17:15,0,1,"",18.6,<0> ,45.99,<0> ,29.9,<0> ,106.2,<0> ,8.3,<0> ,1.19,<0> ,"","","",<-1> ,"","",7.8,<0> ,3,<0> ,6.1,<0> ,
"wqbslwq   ","P",05/20/2022 17:30,0,1,"",18.6,<0> ,46.08,<0> ,30.0,<0> ,106.3,<0> ,8.3,<0> ,1.19,<0> ,"","","",<-1> ,"","",7.8,<0> ,4,<0> ,6.3,<0> ,
"wqbslwq   ","P",05/20/2022 17:45,0,1,"",18.4,<0> ,46.20,<0> ,30.0,<0> ,107.7,<0> ,8.5,<0> ,1.18,<0> ,"","","",<-1> ,"","",7.9,<0> ,3,<0> ,6.8,<0> ,
"wqbslwq   ","P",05/20/2022 18:00,0,1,"",18.2,<0> ,46.30,<0> ,30.1,<0> ,108.2,<0> ,8.5,<0> ,1.18,<0> ,"","","",<-1> ,"","",7.9,<0> ,3,<0> ,7.0,<0> ,
"wqbslwq   ","P",05/20/2022 18:15,0,1,"",18.2,<0> ,46.26,<0> ,30.1,<0> ,109.3,<0> ,8.6,<0> ,1.17,<0> ,"","","",<-1> ,"","",7.9,<0> ,3,<0> ,6.7,<0> ,
"wqbslwq   ","P",05/20/2022 18:30,0,1,"",18.1,<0> ,46.58,<0> ,30.3,<0> ,110.9,<0> ,8.7,<0> ,1.16,<0> ,"","","",<-1> ,"","",7.9,<0> ,3,<0> ,7.2,<0> ,
"wqbslwq   ","P",05/20/2022 18:45,0,1,"",18.0,<0> ,46.66,<0> ,30.4,<0> ,110.9,<0> ,8.8,<0> ,1.14,<0> ,"","","",<-1> ,"","",7.9,<0> ,3,<0> ,8.4,<0> ,
"wqbslwq   ","P",05/20/2022 19:00,0,1,"",18.1,<0> ,45.90,<0> ,29.8,<0> ,106.5,<0> ,8.4,<0> ,1.13,<0> ,"","","",<-1> ,"","",7.8,<0> ,2,<0> ,9.3,<0> ,
"wqbslwq   ","P",05/20/2022 19:15,0,1,"",18.0,<0> ,46.05,<0> ,29.9,<0> ,105.7,<0> ,8.4,<0> ,1.11,<0> ,"","","",<-1> ,"","",7.8,<0> ,3,<0> ,8.3,<0> ,
"wqbslwq   ","P",05/20/2022 19:30,0,1,"",18.0,<0> ,45.96,<0> ,29.9,<0> ,105.6,<0> ,8.4,<0> ,1.09,<0> ,"","","",<-1> ,"","",7.8,<0> ,2,<0> ,8.4,<0> ,
"wqbslwq   ","P",05/20/2022 19:45,0,1,"",18.0,<0> ,45.71,<0> ,29.7,<0> ,103.6,<0> ,8.2,<0> ,1.06,<0> ,"","","",<-1> ,"","",7.8,<0> ,3,<0> ,11.1,<0> ,
"wqbslwq   ","P",05/20/2022 20:00,0,1,"",18.0,<0> ,45.61,<0> ,29.6,<0> ,102.9,<0> ,8.2,<0> ,1.03,<0> ,"","","",<-1> ,"","",7.8,<0> ,3,<0> ,9.9,<0> ,
"wqbslwq   ","P",05/20/2022 20:15,0,1,"",17.9,<0> ,45.53,<0> ,29.6,<0> ,100.5,<0> ,8.0,<0> ,1.01,<0> ,"","","",<-1> ,"","",7.8,<0> ,2,<0> ,8.4,<0> ,
"wqbslwq   ","P",05/20/2022 20:30,0,1,"",17.9,<0> ,45.75,<0> ,29.7,<0> ,103.1,<0> ,8.2,<0> ,0.99,<0> ,"","","",<-1> ,"","",7.8,<0> ,3,<0> ,12.6,<0> ,
"wqbslwq   ","P",05/20/2022 20:45,0,1,"",17.9,<0> ,45.65,<0> ,29.6,<0> ,101.7,<0> ,8.1,<0> ,0.96,<0> ,"","","",<-1> ,"","",7.8,<0> ,3,<0> ,9.0,<0> ,
"wqbslwq   ","P",05/20/2022 21:00,0,1,"",17.8,<0> ,45.69,<0> ,29.7,<0> ,101.3,<0> ,8.1,<0> ,0.94,<0> ,"","","",<-1> ,"","",7.8,<0> ,3,<0> ,9.9,<0> ,
"wqbslwq   ","P",05/20/2022 21:15,0,1,"",17.8,<0> ,45.64,<0> ,29.6,<0> ,101.2,<0> ,8.1,<0> ,0.92,<0> ,"","","",<-1> ,"","",7.8,<0> ,2,<0> ,9.1,<0> ,
"wqbslwq   ","P",05/20/2022 21:30,0,1,"",17.7,<0> ,45.53,<0> ,29.6,<0> ,100.1,<0> ,8.0,<0> ,0.90,<0> ,"","","",<-1> ,"","",7.8,<0> ,2,<0> ,9.1,<0> ,
"wqbslwq   ","P",05/20/2022 21:45,0,1,"",17.7,<0> ,46.56,<0> ,30.3,<0> ,101.2,<0> ,8.0,<0> ,0.88,<0> ,"","","",<-1> ,"","",7.8,<0> ,3,<0> ,9.1,<0> ,
"wqbslwq   ","P",05/20/2022 22:00,0,1,"",17.7,<0> ,45.88,<0> ,29.8,<0> ,100.3,<0> ,8.0,<0> ,0.86,<0> ,"","","",<-1> ,"","",7.8,<0> ,3,<0> ,9.4,<0> ,
"wqbslwq   ","P",05/20/2022 22:15,0,1,"",17.7,<0> ,45.57,<0> ,29.6,<0> ,99.2,<0> ,7.9,<0> ,0.84,<0> ,"","","",<-1> ,"","",7.8,<0> ,2,<0> ,8.6,<0> ,
"wqbslwq   ","P",05/20/2022 22:30,0,1,"",17.7,<0> ,45.41,<0> ,29.5,<0> ,99.7,<0> ,8.0,<0> ,0.83,<0> ,"","","",<-1> ,"","",7.8,<0> ,2,<0> ,8.0,<0> ,
"wqbslwq   ","P",05/20/2022 22:45,0,1,"",17.7,<0> ,45.41,<0> ,29.5,<0> ,97.6,<0> ,7.8,<0> ,0.82,<0> ,"","","",<-1> ,"","",7.7,<0> ,3,<0> ,7.6,<0> ,
"wqbslwq   ","P",05/20/2022 23:00,0,1,"",17.7,<0> ,45.26,<0> ,29.4,<0> ,94.3,<0> ,7.5,<0> ,0.82,<0> ,"","","",<-1> ,"","",7.7,<0> ,3,<0> ,7.5,<0> ,
