Date,Temp (C),Salinity (psu)
1/13/2023,5.96,32.77
1/14/2023,5.9,32.72
1/15/2023,7,32.7
1/16/2023,8.18,32.75
1/17/2023,7.96,32.8
1/18/2023,9.22,32.77
1/19/2023,10.56,32.78
1/20/2023,11.31,32.78
1/21/2023,12.72,32.79
1/22/2023,13.86,32.76
1/23/2023,14.79,32.74
1/24/2023,16.38,32.29
1/25/2023,17.04,32.32
1/26/2023,16.9,32.34
1/27/2023,17.09,32.35
1/28/2023,18.69,32.63
1/29/2023,18.55,33.03
1/30/2023,19.64,33.07
1/31/2023,19.07,32.98
2/1/2023,19.63,32.97
2/9/2023,17.238,32.08
2/10/2023,17.633,30.28
2/11/2023,18,30.42
2/12/2023,17.2,29.8
2/13/2023,17.401,29.82
2/14/2023,16.4,33.79
2/15/2023,17.132,33.8
2/16/2023,16.814,29.38
2/17/2023,16.616,27.84
2/18/2023,17.56,27.98
2/19/2023,17.68,28.06
2/20/2023,16.47,29.47
2/21/2023,16.942,29.53
2/22/2023,17.717,29.44
2/23/2023,16.905,29.63
2/25/2023,17.39,29.66
2/26/2023,16.9,28.18
2/27/2023,17.635,28.26
2/28/2023,17.58,27.94
3/2/2023,17.345,32.64
3/3/2023,4.82,32.71
3/4/2023,5.89,32.75
3/5/2023,7.3,32.74
3/6/2023,8.12,32.76
3/7/2023,9.294,32.78
3/8/2023,10.27,30.35
3/9/2023,11.565,30.37
3/10/2023,12.75,30.38
3/11/2023,13.46,30.2
3/12/2023,4.63,30.13
3/13/2023,4.45,30.11
3/14/2023,4.98,30.05
3/15/2023,5.94,30.11
3/16/2023,7.01,30.27
3/17/2023,8.1,30.11
3/18/2023,9.3,29.84
3/19/2023,10.1,29.8
3/20/2023,11.22,29.88
3/21/2023,12.56,29.82
3/22/2023,13.48,29.64
3/23/2023,14.56,29.65
3/24/2023,15.61,29.58
3/25/2023,16.7,29.58
3/26/2023,17.78,29.67
3/27/2023,18.85,29.7
3/28/2023,18.86,29.6
3/29/2023,18.84,29.6
3/30/2023,18.85,29.61
3/31/2023,18.85,29.6
4/1/2023,18.7,29.6
4/2/2023,18.97,29.58
4/3/2023,18.85,29.63
4/5/2023,18.87,29.92
4/6/2023,18.86,30.2
4/7/2023,19.02,30.18
4/8/2023,18.7,30.15
4/9/2023,18.8,30.07
4/10/2023,18.8,30.12
4/11/2023,18.72,30.14
4/12/2023,18.98,30.14
4/13/2023,18.82,28.19
4/14/2023,18.87,30.46
4/15/2023,18.8,31.18
4/16/2023,18.7,31.18
4/17/2023,18.54,31.16
4/18/2023,18.83,31.17
4/19/2023,18.71,30.9
4/20/2023,18.98,30.12
4/21/2023,18.94,29.73
4/22/2023,18.67,29.52
4/23/2023,18.64,29.37
4/25/2023,18.53,30.29
4/26/2023,18.63,31.33
4/27/2023,18.45,31.49
4/28/2023,18.41,31.44
4/29/2023,18.45,31.35
4/30/2023,18.6,31.43
5/1/2023,18.39,31.65
5/2/2023,18.38,32.03
5/5/2023,18.72,30.5
5/8/2023,18.94,31.08
5/9/2023,18.95,30.64
5/13/2023,18.83,30.25
5/14/2023,18.84,30.12
5/15/2023,18.82,30.09
5/16/2023,18.83,30.13
5/17/2023,19.48,31.11
12/7/2023,7.91,26.98
12/8/2023,8.9,27.02
12/9/2023,9.5,26.89
12/10/2023,12.8,27.1
12/11/2023,12.8,27.18
12/12/2023,13.6,27.51
12/13/2023,14.91,27.68
12/14/2023,15.97,27.78
12/15/2023,17.12,27.9
12/16/2023,18.37,27.91
12/17/2023,19.34,27.94
12/18/2023,20.67,27.97
12/19/2023,20.37,28.02
12/20/2023,20.549,27.98
12/21/2023,20.66,27.96
12/22/2023,20.48,28.02
12/23/2023,20.28,27.65
12/24/2023,20.34,27.86
12/25/2023,20.59,28.05
12/26/2023,20.44,28
12/27/2023,20.56,28.02
12/28/2023,20.715,28.06
12/29/2023,20.78,28
12/30/2023,20.77,28.03
12/31/2023,20.48,28.21
