Date,Temp_High (F),Temp_Avg (F),Temp_Low (F),DewPoint_High (F),DewPoint_Avg (F),DewPoint_Low (F),Humidity_High (%),Humididy_Avg (%),Humidity_Low (%),Speed_High (mph),Speed_Avg (mph),Speed_Low (mph),Precipition_High (in),Precipition_Low (in),Precipition_Sum (in)
8/1/2023,78.4 ,69.3 ,61.2 ,64.8 ,59.9 ,55.4 ,92 ,73 ,50 ,6.9 ,0.1 ,0.0 ,30.16 ,29.99 ,0.00 
8/2/2023,75.2 ,66.7 ,57.7 ,63.5 ,58.4 ,53.1 ,95 ,76 ,52 ,5.8 ,0.1 ,0.0 ,30.20 ,30.13 ,0.00 
8/3/2023,75.6 ,70.1 ,64.4 ,67.3 ,63.8 ,59.7 ,94 ,81 ,69 ,15.9 ,1.1 ,0.0 ,30.18 ,30.04 ,0.00 
8/4/2023,77.2 ,71.4 ,65.1 ,71.2 ,66.9 ,61.3 ,98 ,86 ,76 ,18.1 ,1.1 ,0.0 ,30.05 ,29.94 ,0.02 
8/5/2023,80.2 ,73.5 ,70.3 ,74.5 ,71.2 ,69.8 ,99 ,93 ,78 ,19.5 ,0.8 ,0.0 ,29.97 ,29.90 ,0.00 
8/6/2023,79.2 ,71.7 ,61.3 ,70.3 ,64.5 ,59.0 ,99 ,79 ,51 ,19.0 ,0.4 ,0.0 ,30.02 ,29.95 ,0.00 
8/7/2023,75.4 ,72.5 ,66.2 ,72.3 ,69.8 ,65.7 ,99 ,91 ,74 ,11.9 ,0.2 ,0.0 ,30.02 ,29.84 ,0.00 
8/8/2023,77.0 ,73.7 ,71.2 ,75.9 ,72.8 ,69.6 ,99 ,97 ,90 ,23.5 ,4.1 ,0.0 ,29.85 ,29.51 ,2.09 
8/9/2023,82.8 ,75.2 ,68.9 ,71.1 ,67.6 ,63.3 ,94 ,78 ,54 ,21.5 ,1.8 ,0.0 ,29.73 ,29.51 ,0.00 
8/10/2023,77.9 ,73.5 ,69.6 ,74.5 ,69.8 ,63.1 ,99 ,88 ,77 ,13.9 ,0.8 ,0.0 ,29.77 ,29.59 ,0.01 
8/11/2023,81.3 ,73.6 ,67.5 ,72.5 ,68.0 ,60.8 ,99 ,84 ,54 ,30.6 ,2.8 ,0.0 ,29.88 ,29.54 ,0.11 
8/12/2023,82.9 ,72.5 ,61.0 ,75.9 ,68.9 ,60.4 ,99 ,89 ,64 ,13.2 ,0.4 ,0.0 ,29.95 ,29.87 ,0.00 
8/13/2023,79.2 ,74.6 ,68.4 ,76.8 ,72.9 ,68.0 ,99 ,95 ,83 ,31.3 ,1.3 ,0.0 ,29.93 ,29.82 ,0.36 
8/14/2023,77.7 ,73.8 ,68.9 ,73.2 ,68.9 ,64.2 ,97 ,85 ,75 ,21.5 ,1.2 ,0.0 ,29.97 ,29.89 ,0.00 
8/15/2023,73.6 ,69.5 ,66.6 ,72.9 ,68.9 ,66.2 ,99 ,98 ,91 ,13.0 ,0.3 ,0.0 ,29.93 ,29.73 ,0.87 
8/16/2023,73.0 ,68.0 ,65.1 ,70.7 ,67.3 ,64.8 ,99 ,98 ,91 ,1.1 ,0.0 ,0.0 ,30.02 ,29.84 ,0.15 
8/17/2023,72.3 ,68.4 ,65.8 ,70.3 ,67.7 ,65.5 ,99 ,98 ,92 ,0.2 ,0.0 ,0.0 ,30.03 ,29.86 ,0.00 
8/18/2023,77.7 ,73.3 ,69.4 ,77.2 ,71.6 ,60.1 ,99 ,95 ,72 ,27.3 ,3.5 ,0.0 ,29.87 ,29.64 ,1.69 
