Date,Temp_High (F),Temp_Avg (F),Temp_Low (F),DewPoint_High (F),DewPoint_Avg (F),DewPoint_Low (F),Humidity_High (%),Humididy_Avg (%),Humidity_Low (%),Speed_High (mph),Speed_Avg (mph),Speed_Low (mph),Precipition_High (in),Precipition_Low (in),Precipition_Sum (in)
7/1/2023,81.5 ,71.4 ,62.4 ,74.7 ,68.7 ,62.1 ,99 ,92 ,74 ,14.5 ,0.2 ,0.0 ,30.15 ,30.04 ,0.01 
7/2/2023,81.3 ,72.5 ,66.0 ,77.7 ,71.4 ,65.7 ,99 ,97 ,88 ,15.7 ,0.4 ,0.0 ,30.06 ,29.91 ,0.03 
7/3/2023,78.1 ,72.7 ,68.9 ,75.6 ,71.7 ,68.4 ,99 ,97 ,87 ,19.5 ,2.0 ,0.0 ,29.97 ,29.85 ,0.32 
7/4/2023,79.7 ,70.6 ,68.0 ,76.6 ,70.1 ,67.6 ,99 ,98 ,87 ,6.3 ,0.0 ,0.0 ,30.02 ,29.91 ,1.21 
7/5/2023,80.2 ,71.3 ,66.4 ,75.9 ,70.4 ,66.0 ,99 ,97 ,83 ,12.1 ,0.1 ,0.0 ,30.04 ,29.97 ,0.01 
7/6/2023,81.3 ,73.5 ,70.0 ,77.7 ,72.4 ,69.6 ,99 ,97 ,85 ,12.1 ,0.2 ,0.0 ,30.04 ,29.96 ,0.00 
7/7/2023,82.2 ,74.7 ,70.7 ,77.0 ,72.9 ,70.3 ,99 ,94 ,80 ,7.6 ,0.1 ,0.0 ,29.99 ,29.90 ,0.00 
7/8/2023,85.1 ,75.7 ,71.1 ,79.0 ,73.8 ,70.7 ,99 ,94 ,79 ,8.3 ,0.0 ,0.0 ,29.94 ,29.89 ,0.00 
7/9/2023,81.5 ,73.8 ,70.3 ,76.6 ,72.4 ,70.0 ,99 ,96 ,83 ,11.9 ,0.1 ,0.0 ,29.95 ,29.90 ,0.00 
7/10/2023,75.7 ,70.2 ,67.3 ,73.4 ,69.7 ,66.9 ,99 ,99 ,91 ,10.7 ,0.1 ,0.0 ,29.91 ,29.79 ,0.29 
7/11/2023,85.3 ,75.3 ,68.0 ,77.7 ,70.9 ,65.8 ,99 ,87 ,58 ,20.1 ,1.1 ,0.0 ,29.94 ,29.80 ,0.00 
7/12/2023,83.1 ,76.9 ,70.9 ,77.5 ,74.0 ,70.5 ,99 ,91 ,74 ,13.4 ,0.2 ,0.0 ,30.01 ,29.92 ,0.00 
7/13/2023,82.6 ,76.9 ,72.3 ,77.7 ,74.9 ,72.0 ,99 ,94 ,76 ,17.0 ,1.0 ,0.0 ,30.01 ,29.88 ,0.00 
7/14/2023,77.4 ,74.0 ,68.9 ,76.3 ,72.8 ,68.5 ,99 ,96 ,83 ,28.9 ,0.8 ,0.0 ,29.99 ,29.91 ,0.39 
7/15/2023,82.0 ,75.8 ,69.8 ,78.8 ,74.9 ,69.4 ,99 ,97 ,89 ,24.2 ,1.2 ,0.0 ,30.02 ,29.94 ,0.31 
7/16/2023,82.2 ,77.0 ,71.8 ,80.2 ,76.3 ,71.4 ,99 ,98 ,91 ,29.5 ,3.7 ,0.0 ,29.99 ,29.83 ,0.97 
7/17/2023,81.7 ,76.0 ,72.9 ,78.4 ,74.9 ,72.5 ,99 ,97 ,88 ,17.4 ,1.6 ,0.0 ,30.02 ,29.82 ,0.01 
7/18/2023,81.0 ,76.2 ,72.7 ,78.3 ,75.3 ,72.3 ,99 ,97 ,88 ,15.4 ,1.5 ,0.0 ,30.03 ,29.93 ,0.00 
7/19/2023,82.6 ,76.8 ,70.9 ,78.3 ,74.6 ,70.5 ,99 ,93 ,71 ,15.9 ,1.0 ,0.0 ,30.03 ,29.91 ,0.22 
7/20/2023,83.7 ,75.4 ,68.0 ,73.9 ,69.7 ,64.9 ,99 ,84 ,57 ,5.6 ,0.0 ,0.0 ,30.01 ,29.91 ,0.00 
7/21/2023,82.2 ,72.6 ,67.3 ,74.8 ,70.3 ,66.9 ,99 ,93 ,66 ,10.1 ,0.1 ,0.0 ,29.91 ,29.73 ,0.00 
7/22/2023,82.8 ,74.5 ,69.4 ,76.6 ,71.6 ,69.1 ,99 ,91 ,70 ,7.4 ,0.0 ,0.0 ,29.83 ,29.69 ,0.00 
7/23/2023,83.5 ,75.6 ,68.4 ,73.0 ,69.3 ,64.6 ,99 ,82 ,54 ,15.4 ,0.2 ,0.0 ,30.07 ,29.82 ,0.00 
7/24/2023,81.0 ,76.2 ,70.3 ,76.1 ,72.9 ,68.2 ,99 ,90 ,79 ,19.0 ,2.1 ,0.0 ,30.14 ,30.05 ,0.00 
7/25/2023,80.4 ,75.8 ,70.9 ,76.8 ,73.1 ,67.6 ,99 ,92 ,79 ,17.9 ,1.7 ,0.0 ,30.12 ,30.02 ,0.00 
7/26/2023,80.2 ,75.0 ,69.3 ,75.7 ,72.2 ,67.5 ,99 ,91 ,80 ,21.9 ,3.6 ,0.0 ,30.09 ,30.02 ,0.00 
7/27/2023,81.9 ,77.8 ,74.7 ,79.9 ,76.9 ,74.1 ,99 ,97 ,87 ,28.0 ,7.9 ,0.0 ,30.06 ,29.87 ,0.00 
7/28/2023,84.7 ,78.9 ,74.7 ,78.3 ,75.8 ,73.6 ,99 ,91 ,74 ,21.9 ,3.0 ,0.0 ,29.99 ,29.90 ,0.00 
7/29/2023,81.0 ,76.6 ,64.2 ,78.4 ,75.7 ,63.9 ,99 ,97 ,90 ,22.1 ,4.1 ,0.0 ,29.93 ,29.62 ,0.19 
7/30/2023,75.7 ,67.7 ,62.1 ,66.0 ,61.8 ,58.1 ,99 ,83 ,58 ,17.2 ,0.7 ,0.0 ,29.93 ,29.69 ,0.00 
7/31/2023,77.5 ,70.3 ,59.5 ,68.9 ,64.5 ,59.2 ,99 ,83 ,64 ,25.1 ,3.9 ,0.0 ,30.01 ,29.88 ,0.00 
