Date,Temp_High (F),Temp_Avg (F),Temp_Low (F),DewPoint_High (F),DewPoint_Avg (F),DewPoint_Low (F),Humidity_High (%),Humididy_Avg (%),Humidity_Low (%),Speed_High (mph),Speed_Avg (mph),Speed_Low (mph),Precipition_High (in),Precipition_Low (in),Precipition_Sum (in)
6/1/2023,71.8 ,64.6 ,56.7 ,66.9 ,62.3 ,56.3 ,99 ,93 ,79 ,13.2 ,0.8 ,0.0 ,30.20 ,30.05 ,0.00 
6/2/2023,73.8 ,66.6 ,58.6 ,66.2 ,62.4 ,58.3 ,99 ,87 ,63 ,15.7 ,1.0 ,0.0 ,30.06 ,29.90 ,0.00 
6/3/2023,58.6 ,51.1 ,47.1 ,58.3 ,50.1 ,46.2 ,99 ,97 ,89 ,21.0 ,3.5 ,0.0 ,30.16 ,29.94 ,0.10 
6/4/2023,53.6 ,49.2 ,46.0 ,51.1 ,48.0 ,45.1 ,99 ,96 ,81 ,22.4 ,2.3 ,0.0 ,30.11 ,29.94 ,0.35 
6/5/2023,58.5 ,54.0 ,49.6 ,56.8 ,52.3 ,49.3 ,99 ,95 ,85 ,16.6 ,0.9 ,0.0 ,29.94 ,29.76 ,0.07 
6/6/2023,72.0 ,60.7 ,53.4 ,64.0 ,56.0 ,51.4 ,99 ,86 ,54 ,23.7 ,0.2 ,0.0 ,29.77 ,29.52 ,0.35 
6/7/2023,65.7 ,59.2 ,52.9 ,58.5 ,53.8 ,51.4 ,99 ,83 ,65 ,14.1 ,0.3 ,0.0 ,29.70 ,29.55 ,0.01 
6/8/2023,66.4 ,59.6 ,51.4 ,59.0 ,54.9 ,50.7 ,98 ,85 ,70 ,3.6 ,0.0 ,0.0 ,29.78 ,29.67 ,0.00 
6/9/2023,66.9 ,57.9 ,50.9 ,59.9 ,55.0 ,50.5 ,99 ,91 ,71 ,15.0 ,0.2 ,0.0 ,29.80 ,29.73 ,0.20 
6/10/2023,66.6 ,58.5 ,50.9 ,61.5 ,56.8 ,50.5 ,99 ,94 ,77 ,12.1 ,0.1 ,0.0 ,29.89 ,29.73 ,0.30 
6/11/2023,74.3 ,64.0 ,53.8 ,65.8 ,60.3 ,53.4 ,99 ,89 ,53 ,13.0 ,0.4 ,0.0 ,29.98 ,29.88 ,0.01 
6/12/2023,77.2 ,68.6 ,61.7 ,69.8 ,65.7 ,60.8 ,99 ,91 ,58 ,18.3 ,0.6 ,0.0 ,29.97 ,29.77 ,0.11 
6/13/2023,70.9 ,64.8 ,61.5 ,68.9 ,64.1 ,61.2 ,99 ,98 ,91 ,14.1 ,0.4 ,0.0 ,29.78 ,29.68 ,0.08 
6/14/2023,72.3 ,66.1 ,60.4 ,68.4 ,64.0 ,60.1 ,99 ,93 ,79 ,17.7 ,1.3 ,0.0 ,29.71 ,29.54 ,0.35 
6/15/2023,70.5 ,65.3 ,60.3 ,65.3 ,62.6 ,58.5 ,99 ,91 ,81 ,21.5 ,3.9 ,0.0 ,29.73 ,29.50 ,0.00 
6/16/2023,76.8 ,68.5 ,63.0 ,68.4 ,63.9 ,61.3 ,99 ,86 ,64 ,13.4 ,0.2 ,0.0 ,29.80 ,29.70 ,0.00 
6/17/2023,67.5 ,62.6 ,58.3 ,65.3 ,61.9 ,57.9 ,99 ,98 ,91 ,6.7 ,0.0 ,0.0 ,29.75 ,29.62 ,2.03 
6/18/2023,70.9 ,62.9 ,57.9 ,63.7 ,60.4 ,57.6 ,99 ,92 ,75 ,7.4 ,0.0 ,0.0 ,30.02 ,29.68 ,0.04 
