Date,Temp_High (F),Temp_Avg (F),Temp_Low (F),DewPoint_High (F),DewPoint_Avg (F),DewPoint_Low (F),Humidity_High (%),Humididy_Avg (%),Humidity_Low (%),Speed_High (mph),Speed_Avg (mph),Speed_Low (mph),Precipition_High (in),Precipition_Low (in),Precipition_Sum (in)
9/1/2023,72.1 ,62.6 ,55.4 ,60.6 ,55.1 ,49.3 ,99 ,79 ,48 ,9.4 ,0.1 ,0.0 ,30.28 ,30.09 ,0.00 
9/2/2023,71.6 ,66.9 ,56.7 ,66.0 ,62.1 ,54.7 ,96 ,85 ,65 ,22.8 ,3.8 ,0.0 ,30.26 ,30.03 ,0.00 
9/3/2023,76.3 ,70.5 ,67.8 ,72.9 ,68.7 ,64.0 ,99 ,94 ,88 ,20.4 ,1.6 ,0.0 ,30.03 ,29.84 ,0.00 
9/4/2023,84.0 ,72.8 ,64.8 ,76.1 ,69.9 ,64.4 ,99 ,91 ,73 ,1.3 ,0.0 ,0.0 ,29.89 ,29.82 ,0.00 
9/5/2023,83.7 ,73.7 ,66.6 ,77.9 ,71.4 ,66.2 ,99 ,93 ,79 ,6.5 ,0.0 ,0.0 ,29.92 ,29.86 ,0.00 
9/6/2023,87.1 ,75.6 ,68.0 ,77.7 ,72.4 ,67.6 ,99 ,91 ,66 ,6.5 ,0.0 ,0.0 ,29.87 ,29.76 ,0.00 
9/7/2023,83.5 ,77.1 ,72.5 ,78.6 ,75.0 ,72.1 ,99 ,94 ,82 ,6.5 ,0.0 ,0.0 ,29.91 ,29.73 ,0.00 
9/8/2023,82.8 ,77.2 ,73.8 ,79.7 ,76.2 ,73.4 ,99 ,97 ,90 ,13.4 ,0.2 ,0.0 ,30.09 ,29.90 ,0.00 
9/9/2023,79.7 ,75.7 ,73.9 ,78.6 ,75.3 ,73.6 ,99 ,99 ,95 ,12.8 ,0.1 ,0.0 ,30.15 ,30.05 ,0.00 
9/10/2023,79.5 ,74.0 ,69.8 ,77.9 ,73.5 ,69.4 ,99 ,99 ,92 ,14.8 ,0.2 ,0.0 ,30.15 ,30.07 ,0.18 
9/11/2023,82.0 ,74.3 ,69.1 ,77.7 ,73.1 ,68.7 ,99 ,96 ,84 ,10.5 ,0.1 ,0.0 ,30.08 ,29.98 ,0.19 
9/12/2023,80.4 ,73.7 ,68.5 ,76.1 ,72.2 ,68.2 ,99 ,95 ,83 ,6.5 ,0.0 ,0.0 ,30.00 ,29.95 ,0.42 
9/13/2023,79.2 ,74.2 ,70.5 ,73.9 ,72.6 ,70.2 ,99 ,95 ,81 ,10.7 ,0.1 ,0.0 ,29.99 ,29.92 ,0.00 
9/14/2023,79.3 ,71.2 ,61.9 ,73.9 ,66.9 ,57.0 ,99 ,88 ,49 ,11.4 ,0.0 ,0.0 ,30.05 ,29.91 ,0.09 
9/15/2023,65.8 ,63.9 ,61.9 ,61.7 ,59.3 ,57.7 ,94 ,85 ,80 ,28.9 ,4.0 ,0.0 ,30.04 ,29.74 ,0.00 
9/16/2023,71.2 ,63.9 ,57.4 ,60.8 ,57.4 ,55.6 ,99 ,81 ,60 ,29.1 ,4.4 ,0.0 ,29.80 ,29.59 ,0.71 
9/17/2023,72.7 ,66.4 ,59.2 ,66.0 ,60.2 ,54.3 ,92 ,81 ,66 ,21.3 ,2.5 ,0.0 ,29.94 ,29.80 ,0.00 
9/18/2023,68.2 ,66.1 ,64.0 ,67.3 ,65.3 ,62.4 ,99 ,98 ,89 ,22.8 ,0.3 ,0.0 ,29.93 ,29.57 ,1.96 
9/19/2023,72.5 ,66.4 ,61.5 ,64.6 ,61.1 ,58.3 ,99 ,84 ,62 ,25.5 ,4.3 ,0.0 ,29.99 ,29.61 ,0.00 
9/20/2023,70.5 ,64.1 ,58.1 ,64.0 ,59.2 ,56.1 ,94 ,84 ,69 ,16.3 ,0.6 ,0.0 ,30.14 ,29.98 ,0.00 
9/21/2023,72.7 ,61.6 ,52.9 ,61.2 ,56.4 ,52.5 ,99 ,84 ,58 ,4.3 ,0.0 ,0.0 ,30.30 ,30.13 ,0.00 
9/22/2023,69.6 ,59.7 ,52.9 ,61.7 ,55.5 ,52.5 ,99 ,87 ,59 ,6.7 ,0.1 ,0.0 ,30.42 ,30.30 ,0.00 
9/23/2023,61.3 ,58.7 ,55.4 ,61.0 ,57.7 ,53.1 ,99 ,97 ,91 ,8.3 ,0.1 ,0.0 ,30.35 ,30.12 ,0.73 
9/24/2023,62.8 ,60.6 ,59.2 ,62.4 ,60.2 ,58.8 ,99 ,99 ,99 ,8.7 ,0.2 ,0.0 ,30.14 ,30.02 ,0.11 
9/25/2023,61.9 ,60.4 ,58.1 ,61.3 ,59.8 ,57.7 ,99 ,98 ,92 ,13.9 ,0.4 ,0.0 ,30.25 ,29.99 ,0.21 
9/26/2023,60.4 ,57.4 ,48.4 ,59.4 ,55.2 ,48.0 ,99 ,92 ,84 ,13.9 ,0.5 ,0.0 ,30.37 ,30.24 ,0.00 
9/27/2023,64.6 ,54.7 ,46.0 ,56.3 ,51.2 ,45.7 ,99 ,89 ,70 ,10.3 ,0.1 ,0.0 ,30.36 ,30.29 ,0.00 
9/28/2023,67.5 ,56.9 ,48.2 ,59.7 ,54.2 ,47.8 ,99 ,92 ,74 ,7.4 ,0.0 ,0.0 ,30.33 ,30.26 ,0.01 
9/29/2023,62.8 ,59.5 ,52.5 ,61.9 ,59.1 ,52.2 ,99 ,99 ,96 ,8.9 ,0.0 ,0.0 ,30.28 ,30.14 ,0.27 
9/30/2023,61.2 ,59.2 ,56.7 ,60.8 ,58.8 ,56.3 ,99 ,99 ,96 ,15.4 ,1.9 ,0.0 ,30.15 ,30.09 ,0.97 
