,Date,Salinity Value,Temperature (C),Conductivity,Fit
2,2021-06-18 10:45:11-04:00,16.522,21.51,25109.3,[24514.8637823]
3,2021-06-18 11:15:11-04:00,16.365,21.76,25021.3,[24514.86321013]
4,2021-06-18 11:45:11-04:00,16.231,22.0,24960.1,[24514.86296492]
5,2021-06-18 12:15:11-04:00,16.14,22.23,24951.4,[24514.86239275]
6,2021-06-18 12:45:11-04:00,16.016,22.36,24843.8,[24514.86214753]
7,2021-06-18 13:15:11-04:00,15.893,22.52,24750.8,[24514.86157536]
8,2021-06-18 13:45:11-04:00,15.817,22.51,24637.9,[24514.86133015]
9,2021-06-18 14:15:11-04:00,15.61,22.72,24448.7,[24514.86075798]
10,2021-06-18 14:45:11-04:00,15.321,22.87,24109.2,[24514.86051276]
11,2021-06-18 15:15:11-04:00,15.023,23.05,23768.6,[24514.85994059]
12,2021-06-18 15:45:11-04:00,15.826,22.98,24890.6,[24514.85969537]
13,2021-06-18 16:15:11-04:00,15.778,22.99,24826.5,[24514.8591232]
14,2021-06-18 16:45:11-04:00,15.632,22.95,24597.2,[24514.85887799]
15,2021-06-18 17:15:11-04:00,15.74,22.87,24711.3,[24514.85830582]
16,2021-06-18 17:45:11-04:00,15.578,22.78,24433.6,[24514.8580606]
17,2021-06-18 18:15:11-04:00,16.046,22.81,25118.1,[24514.85748843]
18,2021-06-18 18:45:11-04:00,16.025,22.69,25026.6,[24514.85724322]
19,2021-06-18 19:15:11-04:00,16.088,22.51,25023.1,[24514.85667105]
20,2021-06-18 19:45:11-04:00,16.042,22.32,24859.4,[24514.85642583]
21,2021-06-18 20:15:11-04:00,15.954,22.23,24689.1,[24514.85585366]
22,2021-06-18 20:45:11-04:00,15.839,22.2,24510.9,[24514.85560845]
23,2021-06-18 21:15:11-04:00,15.665,22.35,24340.1,[24514.85503628]
24,2021-06-18 21:45:11-04:00,15.577,21.78,23928.9,[24514.85479106]
25,2021-06-18 22:15:11-04:00,15.446,22.05,23879.0,[24514.85421889]
26,2021-06-18 22:45:11-04:00,15.298,21.95,23621.2,[24514.85397367]
27,2021-06-18 23:15:11-04:00,15.298,21.44,23369.8,[24514.8534015]
28,2021-06-18 23:45:11-04:00,15.255,21.43,23305.0,[24514.85315629]
29,2021-06-19 00:15:11-04:00,15.148,21.63,23252.7,[24506.69834373]
30,2021-06-19 00:45:11-04:00,15.155,21.08,22994.5,[24506.69809851]
31,2021-06-19 01:15:11-04:00,15.108,21.47,23118.5,[24506.69752634]
32,2021-06-19 01:45:11-04:00,15.072,21.43,23048.8,[24506.69728112]
33,2021-06-19 02:15:11-04:00,16.151,21.23,24448.7,[24506.69670895]
34,2021-06-19 02:45:11-04:00,16.191,21.32,24551.4,[24506.69646374]
35,2021-06-19 03:15:11-04:00,16.276,21.36,24689.1,[24506.69589157]
36,2021-06-19 03:45:11-04:00,16.296,21.22,24644.7,[24506.69564635]
37,2021-06-19 04:15:11-04:00,16.175,21.28,24507.5,[24506.69507418]
38,2021-06-19 04:45:11-04:00,16.27,21.46,24733.6,[24506.69482897]
39,2021-06-19 05:15:11-04:00,16.281,21.51,24774.8,[24506.6942568]
40,2021-06-19 05:45:11-04:00,16.3,21.58,24836.9,[24506.69401158]
41,2021-06-19 06:15:11-04:00,16.322,21.56,24857.6,[24506.69343941]
42,2021-06-19 06:45:11-04:00,16.332,21.52,24850.7,[24506.6931942]
43,2021-06-19 07:15:11-04:00,16.323,21.54,24849.0,[24506.69262203]
44,2021-06-19 07:45:11-04:00,16.356,21.51,24878.4,[24506.69237681]
45,2021-06-19 08:15:11-04:00,16.359,21.47,24861.1,[24506.69180464]
46,2021-06-19 08:45:11-04:00,16.595,21.36,25130.5,[24506.69155942]
