,Date,Salinity Value,Temperature (C),Conductivity,Fit
0,2022-05-17 13:05:00-04:00,21.058,17.7,28843.2,[29774.33124941]
1,2022-05-17 13:35:00-04:00,20.413,18.4,28475.6,[29774.33124941]
2,2022-05-17 14:05:00-04:00,20.155,18.68,28321.1,[29773.37787662]
3,2022-05-17 14:35:00-04:00,19.835,18.9,28046.8,[29773.37787662]
4,2022-05-17 15:05:00-04:00,20.127,18.7,28297.4,[29772.42450383]
5,2022-05-17 15:35:00-04:00,20.984,18.09,29000.0,[29772.42450383]
6,2022-05-17 16:05:00-04:00,21.466,17.68,29336.4,[29771.47113105]
7,2022-05-17 16:35:00-04:00,21.483,17.58,29292.7,[29771.47113105]
8,2022-05-17 17:05:00-04:00,22.083,16.98,29634.4,[29770.51775826]
9,2022-05-17 17:35:00-04:00,22.253,16.88,29774.5,[29770.51775826]
10,2022-05-17 18:05:00-04:00,22.478,16.77,29973.7,[29769.56438547]
11,2022-05-17 18:35:00-04:00,22.472,16.81,29993.1,[29769.56438547]
12,2022-05-17 19:05:00-04:00,22.409,16.83,29930.7,[29768.61101269]
13,2022-05-17 19:35:00-04:00,22.575,16.6,29975.9,[29768.61101269]
14,2022-05-17 20:05:00-04:00,22.908,16.2,30103.4,[29767.6576399]
15,2022-05-17 20:35:00-04:00,23.24,15.69,30146.8,[29767.6576399]
16,2022-05-17 21:05:00-04:00,23.529,15.13,30096.9,[29766.70426711]
17,2022-05-17 21:35:00-04:00,23.604,15.03,30114.2,[29766.70426711]
18,2022-05-17 22:05:00-04:00,23.589,15.08,30131.6,[29765.75089433]
19,2022-05-17 22:35:00-04:00,23.556,15.16,30149.0,[29765.75089433]
20,2022-05-17 23:05:00-04:00,23.408,15.37,30122.9,[29764.79752154]
21,2022-05-17 23:35:00-04:00,23.298,15.5,30083.9,[29764.79752154]
22,2022-05-18 00:05:00-04:00,23.031,15.68,29894.2,[29763.84414876]
23,2022-05-18 00:35:00-04:00,22.538,15.89,29453.3,[29763.84414876]
24,2022-05-18 01:05:00-04:00,22.01,16.0,28898.0,[29762.89077597]
25,2022-05-18 01:35:00-04:00,21.561,16.05,28394.2,[29762.89077597]
26,2022-05-18 02:05:00-04:00,20.999,16.09,27745.7,[29761.93740318]
27,2022-05-18 02:35:00-04:00,20.433,16.06,27046.3,[29761.93740318]
28,2022-05-18 03:05:00-04:00,20.359,16.02,26932.2,[29760.9840304]
29,2022-05-18 03:35:00-04:00,20.344,16.03,26921.2,[29760.9840304]
30,2022-05-18 04:05:00-04:00,20.211,15.97,26724.0,[29760.03065761]
