Date,Day,Time,Pred,High/Low
8/1/2021,Sun,12:27:00 AM,0.35,L
8/1/2021,Sun,6:46:00 AM,0.98,H
8/1/2021,Sun,12:00:00 PM,0.28,L
8/1/2021,Sun,7:16:00 PM,1.15,H
8/2/2021,Mon,2:54:00 AM,0.35,L
8/2/2021,Mon,7:38:00 AM,0.94,H
8/2/2021,Mon,12:51:00 PM,0.29,L
8/2/2021,Mon,8:10:00 PM,1.14,H
8/3/2021,Tue,3:51:00 AM,0.33,L
8/3/2021,Tue,8:37:00 AM,0.93,H
8/3/2021,Tue,1:43:00 PM,0.28,L
8/3/2021,Tue,9:08:00 PM,1.17,H
8/4/2021,Wed,4:29:00 AM,0.3,L
8/4/2021,Wed,9:35:00 AM,0.96,H
8/4/2021,Wed,2:38:00 PM,0.26,L
8/4/2021,Wed,10:00:00 PM,1.22,H
8/5/2021,Thu,4:42:00 AM,0.27,L
8/5/2021,Thu,10:24:00 AM,1.01,H
8/5/2021,Thu,3:31:00 PM,0.22,L
8/5/2021,Thu,10:45:00 PM,1.28,H
8/6/2021,Fri,4:48:00 AM,0.22,L
8/6/2021,Fri,11:07:00 AM,1.07,H
8/6/2021,Fri,4:18:00 PM,0.17,L
8/6/2021,Fri,11:26:00 PM,1.33,H
8/7/2021,Sat,5:17:00 AM,0.17,L
8/7/2021,Sat,11:48:00 AM,1.13,H
8/7/2021,Sat,5:02:00 PM,0.12,L
8/8/2021,Sun,12:08:00 AM,1.36,H
8/8/2021,Sun,5:54:00 AM,0.11,L
8/8/2021,Sun,12:31:00 PM,1.18,H
8/8/2021,Sun,5:49:00 PM,0.08,L
8/9/2021,Mon,12:50:00 AM,1.38,H
8/9/2021,Mon,6:35:00 AM,0.05,L
8/9/2021,Mon,1:15:00 PM,1.23,H
8/9/2021,Mon,6:39:00 PM,0.04,L
8/10/2021,Tue,1:34:00 AM,1.37,H
8/10/2021,Tue,7:15:00 AM,-0.01,L
8/10/2021,Tue,2:00:00 PM,1.28,H
8/10/2021,Tue,7:26:00 PM,0,L
8/11/2021,Wed,2:18:00 AM,1.35,H
8/11/2021,Wed,7:53:00 AM,-0.05,L
8/11/2021,Wed,2:45:00 PM,1.32,H
8/11/2021,Wed,8:11:00 PM,-0.01,L
8/12/2021,Thu,3:04:00 AM,1.31,H
8/12/2021,Thu,8:31:00 AM,-0.07,L
8/12/2021,Thu,3:32:00 PM,1.34,H
8/12/2021,Thu,8:54:00 PM,0,L
8/13/2021,Fri,3:53:00 AM,1.26,H
8/13/2021,Fri,9:11:00 AM,-0.07,L
8/13/2021,Fri,4:24:00 PM,1.35,H
8/13/2021,Fri,9:42:00 PM,0.04,L
8/14/2021,Sat,4:46:00 AM,1.2,H
8/14/2021,Sat,9:57:00 AM,-0.03,L
8/14/2021,Sat,5:19:00 PM,1.36,H
8/14/2021,Sat,10:41:00 PM,0.11,L
8/15/2021,Sun,5:42:00 AM,1.15,H
8/15/2021,Sun,10:53:00 AM,0.03,L
8/15/2021,Sun,6:14:00 PM,1.36,H
8/15/2021,Sun,11:52:00 PM,0.16,L
