Date,Day,Time,Pred,High/Low
1/1/2021,Fri,1:58:00 AM,1.05,H
1/1/2021,Fri,7:11:00 AM,-0.04,L
1/1/2021,Fri,2:16:00 PM,1.28,H
1/1/2021,Fri,7:55:00 PM,-0.07,L
1/2/2021,Sat,2:44:00 AM,1.07,H
1/2/2021,Sat,7:57:00 AM,-0.05,L
1/2/2021,Sat,3:01:00 PM,1.25,H
1/2/2021,Sat,8:33:00 PM,-0.1,L
1/3/2021,Sun,3:32:00 AM,1.1,H
1/3/2021,Sun,8:42:00 AM,-0.04,L
1/3/2021,Sun,3:50:00 PM,1.2,H
1/3/2021,Sun,9:13:00 PM,-0.1,L
1/4/2021,Mon,4:24:00 AM,1.13,H
1/4/2021,Mon,9:30:00 AM,-0.01,L
1/4/2021,Mon,4:44:00 PM,1.16,H
1/4/2021,Mon,9:59:00 PM,-0.09,L
1/5/2021,Tue,5:19:00 AM,1.17,H
1/5/2021,Tue,10:28:00 AM,0.03,L
1/5/2021,Tue,5:38:00 PM,1.11,H
1/5/2021,Tue,10:55:00 PM,-0.06,L
1/6/2021,Wed,6:13:00 AM,1.21,H
1/6/2021,Wed,11:40:00 AM,0.06,L
1/6/2021,Wed,6:33:00 PM,1.07,H
1/6/2021,Wed,11:58:00 PM,-0.05,L
1/7/2021,Thu,7:07:00 AM,1.25,H
1/7/2021,Thu,12:53:00 PM,0.06,L
1/7/2021,Thu,7:31:00 PM,1.04,H
1/8/2021,Fri,1:00:00 AM,-0.05,L
1/8/2021,Fri,8:07:00 AM,1.29,H
1/8/2021,Fri,2:07:00 PM,0.04,L
1/8/2021,Fri,8:35:00 PM,1.04,H
1/9/2021,Sat,2:03:00 AM,-0.06,L
1/9/2021,Sat,9:11:00 AM,1.34,H
1/9/2021,Sat,3:26:00 PM,0,L
1/9/2021,Sat,9:38:00 PM,1.07,H
1/10/2021,Sun,3:08:00 AM,-0.07,L
1/10/2021,Sun,10:08:00 AM,1.4,H
1/10/2021,Sun,4:32:00 PM,-0.04,L
1/10/2021,Sun,10:34:00 PM,1.12,H
1/11/2021,Mon,4:09:00 AM,-0.08,L
1/11/2021,Mon,11:00:00 AM,1.44,H
1/11/2021,Mon,5:30:00 PM,-0.07,L
1/11/2021,Mon,11:24:00 PM,1.16,H
1/12/2021,Tue,5:06:00 AM,-0.09,L
1/12/2021,Tue,11:48:00 AM,1.45,H
1/12/2021,Tue,6:31:00 PM,-0.1,L
1/13/2021,Wed,12:14:00 AM,1.18,H
1/13/2021,Wed,6:04:00 AM,-0.08,L
1/13/2021,Wed,12:37:00 PM,1.43,H
1/13/2021,Wed,7:23:00 PM,-0.11,L
1/14/2021,Thu,1:04:00 AM,1.18,H
1/14/2021,Thu,7:01:00 AM,-0.07,L
1/14/2021,Thu,1:26:00 PM,1.39,H
1/14/2021,Thu,8:01:00 PM,-0.1,L
1/15/2021,Fri,1:54:00 AM,1.17,H
1/15/2021,Fri,7:48:00 AM,-0.04,L
1/15/2021,Fri,2:14:00 PM,1.32,H
1/15/2021,Fri,8:30:00 PM,-0.08,L
1/16/2021,Sat,2:42:00 AM,1.15,H
1/16/2021,Sat,8:24:00 AM,0,L
1/16/2021,Sat,3:00:00 PM,1.24,H
1/16/2021,Sat,8:55:00 PM,-0.03,L
1/17/2021,Sun,3:29:00 AM,1.13,H
1/17/2021,Sun,8:58:00 AM,0.06,L
1/17/2021,Sun,3:48:00 PM,1.15,H
1/17/2021,Sun,9:21:00 PM,0.02,L
1/18/2021,Mon,4:18:00 AM,1.1,H
1/18/2021,Mon,9:33:00 AM,0.12,L
1/18/2021,Mon,4:37:00 PM,1.06,H
1/18/2021,Mon,9:52:00 PM,0.07,L
1/19/2021,Tue,5:08:00 AM,1.07,H
1/19/2021,Tue,10:16:00 AM,0.19,L
1/19/2021,Tue,5:26:00 PM,0.99,H
1/19/2021,Tue,10:31:00 PM,0.12,L
1/20/2021,Wed,5:57:00 AM,1.06,H
1/20/2021,Wed,11:14:00 AM,0.24,L
1/20/2021,Wed,6:14:00 PM,0.92,H
1/20/2021,Wed,11:20:00 PM,0.16,L
1/21/2021,Thu,6:44:00 AM,1.04,H
1/21/2021,Thu,12:23:00 PM,0.27,L
1/21/2021,Thu,7:03:00 PM,0.87,H
1/22/2021,Fri,12:13:00 AM,0.18,L
1/22/2021,Fri,7:35:00 AM,1.04,H
1/22/2021,Fri,1:27:00 PM,0.27,L
1/22/2021,Fri,7:58:00 PM,0.83,H
1/23/2021,Sat,1:04:00 AM,0.18,L
1/23/2021,Sat,8:31:00 AM,1.05,H
1/23/2021,Sat,3:50:00 PM,0.24,L
1/23/2021,Sat,8:58:00 PM,0.84,H
1/24/2021,Sun,1:57:00 AM,0.16,L
1/24/2021,Sun,9:28:00 AM,1.1,H
1/24/2021,Sun,3:55:00 PM,0.2,L
1/24/2021,Sun,9:53:00 PM,0.88,H
1/25/2021,Mon,2:53:00 AM,0.13,L
1/25/2021,Mon,10:17:00 AM,1.17,H
1/25/2021,Mon,4:17:00 PM,0.15,L
1/25/2021,Mon,10:39:00 PM,0.94,H
1/26/2021,Tue,3:45:00 AM,0.08,L
1/26/2021,Tue,11:00:00 AM,1.23,H
1/26/2021,Tue,4:51:00 PM,0.09,L
1/26/2021,Tue,11:22:00 PM,1,H
1/27/2021,Wed,4:32:00 AM,0.03,L
1/27/2021,Wed,11:42:00 AM,1.28,H
1/27/2021,Wed,5:30:00 PM,0.02,L
1/28/2021,Thu,12:05:00 AM,1.06,H
1/28/2021,Thu,5:20:00 AM,-0.03,L
1/28/2021,Thu,12:25:00 PM,1.31,H
1/28/2021,Thu,6:13:00 PM,-0.04,L
1/29/2021,Fri,12:49:00 AM,1.11,H
1/29/2021,Fri,6:10:00 AM,-0.07,L
1/29/2021,Fri,1:09:00 PM,1.33,H
1/29/2021,Fri,6:56:00 PM,-0.1,L
1/30/2021,Sat,1:35:00 AM,1.17,H
1/30/2021,Sat,7:01:00 AM,-0.11,L
1/30/2021,Sat,1:54:00 PM,1.32,H
1/30/2021,Sat,7:37:00 PM,-0.16,L
1/31/2021,Sun,2:21:00 AM,1.21,H
1/31/2021,Sun,7:49:00 AM,-0.14,L
1/31/2021,Sun,2:40:00 PM,1.29,H
1/31/2021,Sun,8:16:00 PM,-0.19,L
