Date,Day,Time,Pred,High/Low
6/1/2021,Tue,5:23:00 AM,1.23,H
6/1/2021,Tue,12:13:00 PM,0.12,L
6/1/2021,Tue,5:57:00 PM,1.14,H
6/2/2021,Wed,12:46:00 AM,0.22,L
6/2/2021,Wed,6:17:00 AM,1.15,H
6/2/2021,Wed,1:27:00 PM,0.14,L
6/2/2021,Wed,6:51:00 PM,1.13,H
6/3/2021,Thu,2:11:00 AM,0.22,L
6/3/2021,Thu,7:10:00 AM,1.09,H
6/3/2021,Thu,2:28:00 PM,0.15,L
6/3/2021,Thu,7:45:00 PM,1.13,H
6/4/2021,Fri,3:15:00 AM,0.2,L
6/4/2021,Fri,8:06:00 AM,1.04,H
6/4/2021,Fri,3:18:00 PM,0.17,L
6/4/2021,Fri,8:41:00 PM,1.15,H
6/5/2021,Sat,4:06:00 AM,0.18,L
6/5/2021,Sat,9:03:00 AM,1.02,H
6/5/2021,Sat,3:54:00 PM,0.18,L
6/5/2021,Sat,9:33:00 PM,1.2,H
6/6/2021,Sun,4:48:00 AM,0.17,L
6/6/2021,Sun,9:54:00 AM,1.03,H
6/6/2021,Sun,4:07:00 PM,0.18,L
6/6/2021,Sun,10:17:00 PM,1.24,H
6/7/2021,Mon,5:25:00 AM,0.16,L
6/7/2021,Mon,10:38:00 AM,1.04,H
6/7/2021,Mon,4:13:00 PM,0.17,L
6/7/2021,Mon,10:57:00 PM,1.28,H
6/8/2021,Tue,5:53:00 AM,0.16,L
6/8/2021,Tue,11:18:00 AM,1.06,H
6/8/2021,Tue,4:37:00 PM,0.16,L
6/8/2021,Tue,11:36:00 PM,1.3,H
6/9/2021,Wed,5:56:00 AM,0.15,L
6/9/2021,Wed,11:57:00 AM,1.06,H
6/9/2021,Wed,5:08:00 PM,0.14,L
6/10/2021,Thu,12:15:00 AM,1.31,H
6/10/2021,Thu,6:15:00 AM,0.14,L
6/10/2021,Thu,12:39:00 PM,1.05,H
6/10/2021,Thu,5:46:00 PM,0.13,L
6/11/2021,Fri,12:57:00 AM,1.3,H
6/11/2021,Fri,6:48:00 AM,0.12,L
6/11/2021,Fri,1:22:00 PM,1.04,H
6/11/2021,Fri,6:28:00 PM,0.11,L
6/12/2021,Sat,1:39:00 AM,1.29,H
6/12/2021,Sat,7:23:00 AM,0.1,L
6/12/2021,Sat,2:06:00 PM,1.03,H
6/12/2021,Sat,7:11:00 PM,0.1,L
6/13/2021,Sun,2:22:00 AM,1.26,H
6/13/2021,Sun,7:57:00 AM,0.07,L
6/13/2021,Sun,2:50:00 PM,1.03,H
6/13/2021,Sun,7:53:00 PM,0.09,L
6/14/2021,Mon,3:06:00 AM,1.23,H
6/14/2021,Mon,8:33:00 AM,0.06,L
6/14/2021,Mon,3:37:00 PM,1.03,H
6/14/2021,Mon,8:34:00 PM,0.09,L
6/15/2021,Tue,3:53:00 AM,1.2,H
6/15/2021,Tue,9:11:00 AM,0.06,L
6/15/2021,Tue,4:27:00 PM,1.05,H
6/15/2021,Tue,9:19:00 PM,0.11,L
6/16/2021,Wed,4:44:00 AM,1.17,H
6/16/2021,Wed,9:55:00 AM,0.06,L
6/16/2021,Wed,5:19:00 PM,1.1,H
6/16/2021,Wed,10:14:00 PM,0.14,L
6/17/2021,Thu,5:37:00 AM,1.15,H
6/17/2021,Thu,10:50:00 AM,0.06,L
6/17/2021,Thu,6:11:00 PM,1.16,H
6/17/2021,Thu,11:22:00 PM,0.15,L
6/18/2021,Fri,6:29:00 AM,1.13,H
6/18/2021,Fri,11:51:00 AM,0.04,L
