Date,Day,Time,Pred,High/Low
11/1/2021,Mon,2:32:00 AM,0.07,L
11/1/2021,Mon,9:37:00 AM,1.23,H
11/1/2021,Mon,3:08:00 PM,0.06,L
11/1/2021,Mon,9:59:00 PM,1.21,H
11/2/2021,Tue,3:23:00 AM,-0.02,L
11/2/2021,Tue,10:24:00 AM,1.37,H
11/2/2021,Tue,4:02:00 PM,-0.04,L
11/2/2021,Tue,10:45:00 PM,1.27,H
11/3/2021,Wed,4:11:00 AM,-0.11,L
11/3/2021,Wed,11:08:00 AM,1.5,H
11/3/2021,Wed,4:52:00 PM,-0.12,L
11/3/2021,Wed,11:30:00 PM,1.32,H
11/4/2021,Thu,4:57:00 AM,-0.17,L
11/4/2021,Thu,11:53:00 AM,1.58,H
11/4/2021,Thu,5:44:00 PM,-0.17,L
11/5/2021,Fri,12:17:00 AM,1.33,H
11/5/2021,Fri,5:46:00 AM,-0.2,L
11/5/2021,Fri,12:41:00 PM,1.61,H
11/5/2021,Fri,6:37:00 PM,-0.19,L
11/6/2021,Sat,1:07:00 AM,1.32,H
11/6/2021,Sat,6:38:00 AM,-0.21,L
11/6/2021,Sat,1:31:00 PM,1.6,H
11/6/2021,Sat,7:30:00 PM,-0.19,L
11/7/2021,Sun,1:58:00 AM,1.29,H
11/7/2021,Sun,7:30:00 AM,-0.18,L
11/7/2021,Sun,2:23:00 PM,1.55,H
11/7/2021,Sun,8:19:00 PM,-0.15,L
11/8/2021,Mon,2:52:00 AM,1.24,H
11/8/2021,Mon,8:19:00 AM,-0.12,L
11/8/2021,Mon,3:18:00 PM,1.47,H
11/8/2021,Mon,9:06:00 PM,-0.07,L
11/9/2021,Tue,3:49:00 AM,1.18,H
11/9/2021,Tue,9:08:00 AM,-0.03,L
11/9/2021,Tue,4:17:00 PM,1.37,H
11/9/2021,Tue,10:02:00 PM,0.02,L
11/10/2021,Wed,4:52:00 AM,1.14,H
11/10/2021,Wed,10:06:00 AM,0.09,L
11/10/2021,Wed,5:18:00 PM,1.29,H
11/10/2021,Wed,11:33:00 PM,0.1,L
11/11/2021,Thu,5:53:00 AM,1.12,H
11/11/2021,Thu,11:45:00 AM,0.18,L
11/11/2021,Thu,6:18:00 PM,1.21,H
11/12/2021,Fri,1:25:00 AM,0.11,L
11/12/2021,Fri,6:52:00 AM,1.12,H
11/12/2021,Fri,1:57:00 PM,0.18,L
11/12/2021,Fri,7:16:00 PM,1.15,H
11/13/2021,Sat,2:36:00 AM,0.09,L
11/13/2021,Sat,7:52:00 AM,1.13,H
11/13/2021,Sat,3:13:00 PM,0.14,L
11/13/2021,Sat,8:17:00 PM,1.11,H
11/14/2021,Sun,3:31:00 AM,0.07,L
11/14/2021,Sun,8:53:00 AM,1.17,H
11/14/2021,Sun,4:07:00 PM,0.1,L
11/14/2021,Sun,9:17:00 PM,1.1,H
11/15/2021,Mon,4:14:00 AM,0.07,L
11/15/2021,Mon,9:46:00 AM,1.23,H
11/15/2021,Mon,4:53:00 PM,0.07,L
11/15/2021,Mon,10:07:00 PM,1.11,H
11/16/2021,Tue,4:47:00 AM,0.08,L
11/16/2021,Tue,10:30:00 AM,1.28,H
11/16/2021,Tue,5:34:00 PM,0.06,L
11/16/2021,Tue,10:49:00 PM,1.12,H
11/17/2021,Wed,5:04:00 AM,0.09,L
11/17/2021,Wed,11:09:00 AM,1.31,H
11/17/2021,Wed,6:10:00 PM,0.07,L
11/17/2021,Wed,11:29:00 PM,1.12,H
11/18/2021,Thu,5:13:00 AM,0.1,L
11/18/2021,Thu,11:47:00 AM,1.32,H
11/18/2021,Thu,6:35:00 PM,0.07,L
11/19/2021,Fri,12:07:00 AM,1.1,H
11/19/2021,Fri,5:34:00 AM,0.1,L
11/19/2021,Fri,12:25:00 PM,1.31,H
11/19/2021,Fri,6:43:00 PM,0.08,L
11/20/2021,Sat,12:48:00 AM,1.07,H
11/20/2021,Sat,6:04:00 AM,0.09,L
11/20/2021,Sat,1:05:00 PM,1.29,H
11/20/2021,Sat,7:02:00 PM,0.08,L
11/21/2021,Sun,1:29:00 AM,1.04,H
11/21/2021,Sun,6:40:00 AM,0.09,L
11/21/2021,Sun,1:46:00 PM,1.25,H
