,"Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island","Deer Island"
"Time (America/New_York)",Battery,"Air Temperature","Relative Humidity","Rel. Barometric Pressure","Wind Speed","Max Wind Sp","Wind Direction","Wet Bulb Temperature","Precip Type","Rain Intensity","Total Rain","Interval Rain","Solar Rad",Heading,Temperature,pH,"Sp Cond",Depth,Chlorophyll,DO,DOSat,"pH mV","Internal Bat"
,V,C,%,hPa,m/s,m/s,Degree,C,,mm/h,mm,mm,W/m2,Degree,C,,uS/cm,m,ug/L,mg/L,%,,V
"07-01-2018 00:00:00",12.9,20.50,83,1015.0,2.6,3.3,193,18.50,0,0.0,64.7,0.0,0,210.0,17.36,7.88,46650,0.780,8.2,8.75,109.1,-53.8,0.1
"07-01-2018 00:15:00",13.0,20.60,83,1014.8,3.0,3.5,186,18.70,0,0.0,64.7,0.0,0,214.0,17.60,7.88,46550,0.730,8.0,8.74,109.4,-53.8,0.1
"07-01-2018 00:30:00",13.0,20.90,83,1014.8,2.3,2.8,184,19.00,0,0.0,64.7,0.0,0,214.0,17.52,7.88,46630,0.710,7.9,8.70,108.7,-53.6,0.1
"07-01-2018 00:45:00",12.9,20.40,85,1014.7,1.9,2.4,203,18.70,0,0.0,64.7,0.0,0,199.0,17.46,7.87,46620,0.720,7.8,8.61,107.4,-53.3,0.1
"07-01-2018 01:00:00",12.9,21.40,82,1014.5,3.0,4.1,196,19.30,0,0.0,64.7,0.0,0,187.0,17.57,7.89,46470,0.730,8.1,8.79,109.9,-54.0,0.1
"07-01-2018 01:15:00",13.0,20.40,84,1014.6,2.1,3.2,199,18.60,0,0.0,64.7,0.0,0,179.0,17.64,7.89,46580,0.700,7.7,8.79,110.0,-54.1,0.1
"07-01-2018 01:30:00",12.9,20.00,85,1014.6,1.6,2.1,200,18.30,0,0.0,64.7,0.0,0,185.0,17.75,7.88,46600,0.720,7.8,8.70,109.2,-53.8,0.1
"07-01-2018 01:45:00",12.9,20.00,85,1014.5,1.0,1.6,159,18.30,0,0.0,64.7,0.0,0,188.0,16.79,7.86,46760,0.720,8.1,8.48,104.5,-52.6,0.1
