"Time (America/New_York)",Battery,"Air Temperature","Relative Humidity","Rel. Barometric Pressure","Wind Speed","Max Wind Sp","Wind Direction","Wet Bulb Temperature","Precip Type","Rain Intensity","Total Rain","Interval Rain","Solar Rad",Heading,Temperature,pH,"Sp Cond",Depth,Chlorophyll,DO,DOSat,"pH mV","Internal Bat"
"11-01-2018 00:00:00",11.8,12.50,86,1012.5,3.8,5.7,218,11.20,0,0.0,0.4,0.0,0,44.0,10.13,8.11,47290,0.700,6.9,8.97,96.5,-51.7,0.0
"11-01-2018 00:15:00",11.7,13.00,85,1012.7,4.4,6.6,223,11.60,0,0.0,0.4,0.0,0,32.0,10.21,8.10,46850,0.720,6.3,8.92,96.0,-51.3,0.0
"11-01-2018 00:30:00",11.7,13.10,84,1012.6,3.7,5.3,222,11.60,0,0.0,0.4,0.0,0,45.0,10.25,8.10,46750,0.720,6.3,8.87,95.4,-50.7,0.0
"11-01-2018 00:45:00",11.8,13.20,84,1012.6,4.0,5.6,225,11.60,0,0.0,0.4,0.0,0,58.0,10.20,8.10,46590,0.690,5.8,8.88,95.4,-51.0,0.0
"11-01-2018 01:00:00",11.7,13.10,84,1012.4,3.4,4.7,220,11.60,0,0.0,0.4,0.0,0,72.0,10.21,8.09,46600,0.670,6.1,8.85,95.1,-50.7,0.0
"11-01-2018 01:15:00",11.7,13.00,84,1012.3,3.2,4.4,216,11.50,0,0.0,0.4,0.0,0,83.0,10.21,8.09,46580,0.690,6.0,8.86,95.1,-50.7,0.0
"11-01-2018 01:30:00",11.6,12.60,86,1012.1,2.4,3.4,213,11.40,0,0.0,0.4,0.0,0,108.0,10.22,8.09,46600,0.650,5.8,8.84,95.0,-50.6,0.0
"11-01-2018 01:45:00",11.8,13.00,85,1011.9,2.4,4.3,192,11.60,0,0.0,0.4,0.0,0,107.0,10.21,8.09,46680,0.710,5.2,8.84,94.9,-50.6,0.0
"11-01-2018 02:00:00",11.7,13.00,85,1011.9,2.4,4.5,205,11.60,0,0.0,0.4,0.0,0,145.0,10.22,8.09,46660,0.680,5.2,8.77,94.3,-50.5,0.0
"11-01-2018 02:15:00",11.7,13.00,85,1011.9,2.8,4.1,214,11.60,0,0.0,0.4,0.0,0,164.0,10.20,8.09,46550,0.650,5.4,8.85,95.0,-50.3,0.0
"11-01-2018 02:30:00",11.7,13.30,84,1011.8,3.0,4.7,170,11.80,0,0.0,0.4,0.0,0,158.0,10.19,8.09,46570,0.640,5.5,8.85,95.0,-50.3,0.0
"11-01-2018 02:45:00",11.7,12.90,86,1011.6,2.4,3.2,210,11.50,0,0.0,0.4,0.0,0,270.0,10.17,8.09,46550,0.630,5.7,8.86,95.1,-50.4,0.0
"11-01-2018 03:00:00",11.7,12.80,86,1011.5,1.1,2.2,205,11.50,0,0.0,0.4,0.0,0,270.0,10.17,8.09,46500,0.620,6.2,8.86,95.0,-50.4,0.0
"11-01-2018 03:15:00",11.7,12.60,86,1011.5,1.1,1.8,305,11.30,0,0.0,0.4,0.0,0,250.0,10.23,8.09,46720,0.700,5.9,8.88,95.4,-50.5,0.0
