"Time (UTC)",Battery,"Air Temperature","Relative Humidity","Rel. Barometric Pressure","Wind Speed","Max Wind Sp","Wind Direction","Wet Bulb Temperature","Precip Type","Rain Intensity","Total Rain","Interval Rain","Solar Rad",Heading,Temperature,pH,"Sp Cond",Depth,Chlorophyll,DO,DOSat,"pH mV","Internal Bat",Salinity
"05-13-2019 04:15:00",13.7,19.00,38,1015.2,0.0,0.0,0,11.40,0,0.0,0.0,0.0,0,107.0,18.98,8.39,9,0.010,0.3,8.17,87.6,-70.0,0.1,0.01
"05-13-2019 04:30:00",14.3,19.00,38,1015.1,0.0,0.0,0,11.40,0,0.0,0.0,0.0,0,107.0,18.86,8.40,9,0.000,0.4,8.18,87.6,-70.3,0.1,0.01
"05-13-2019 04:45:00",13.7,19.00,38,1015.0,0.0,0.0,0,11.40,0,0.0,0.0,0.0,0,107.0,18.76,8.40,9,0.010,0.4,8.20,87.6,-70.7,0.1,0.01
"05-13-2019 05:00:00",13.8,18.80,39,1014.7,0.0,0.0,0,11.30,0,0.0,0.0,0.0,0,107.0,18.64,8.41,9,0.020,0.3,8.22,87.6,-70.7,0.1,0.01
"05-13-2019 05:15:00",13.8,18.80,38,1014.6,0.0,0.0,0,11.30,0,0.0,0.0,0.0,0,107.0,18.55,8.41,9,0.010,0.3,8.24,87.6,-70.8,0.1,0.01
"05-13-2019 05:30:00",13.8,18.80,38,1014.4,0.0,0.0,0,11.20,0,0.0,0.0,0.0,0,107.0,18.49,8.42,9,0.010,0.4,8.26,87.7,-71.4,0.1,0.01
"05-13-2019 05:45:00",13.8,18.90,38,1014.4,0.0,0.0,0,11.30,0,0.0,0.0,0.0,0,107.0,18.53,8.44,9,0.000,0.3,8.27,87.9,-72.5,0.1,0.01
"05-13-2019 06:00:00",13.8,19.20,37,1014.3,0.0,0.0,0,11.40,0,0.0,0.0,0.0,0,107.0,18.61,8.47,9,0.020,0.3,8.25,87.9,-74.2,0.1,0.01
"05-13-2019 06:15:00",13.8,19.50,37,1014.1,0.0,0.0,0,11.60,0,0.0,0.0,0.0,0,107.0,18.71,8.49,8,0.020,0.4,8.26,88.2,-76.0,0.1,0.01
"05-13-2019 06:30:00",13.8,19.90,36,1014.2,0.0,0.0,0,11.80,0,0.0,0.0,0.0,0,107.0,18.82,8.53,8,0.010,0.3,8.26,88.3,-77.9,0.1,0.01
"05-13-2019 06:45:00",13.8,20.10,35,1013.9,0.0,0.0,0,11.80,0,0.0,0.0,0.0,0,107.0,18.92,8.56,8,0.000,0.3,8.27,88.6,-79.8,0.1,0.01
"05-13-2019 07:00:00",14.2,20.40,35,1013.9,0.0,0.0,0,11.90,0,0.0,0.0,0.0,0,107.0,19.02,8.59,8,0.010,0.3,8.28,88.9,-81.4,0.1,0.01
"05-13-2019 07:15:00",13.8,20.60,34,1014.1,0.0,0.0,0,12.00,0,0.0,0.0,0.0,0,107.0,19.14,8.62,8,0.000,0.3,8.28,89.1,-83.2,0.1,0.01
"05-13-2019 07:30:00",13.7,20.80,34,1013.9,0.0,0.0,0,12.00,0,0.0,0.0,0.0,0,107.0,19.25,8.64,8,0.000,0.4,8.29,89.4,-84.8,0.2,0.01
"05-13-2019 07:45:00",13.7,21.00,33,1014.0,0.0,0.0,0,12.10,0,0.0,0.0,0.0,0,107.0,19.35,8.66,8,0.000,0.3,8.28,89.5,-85.8,0.0,0.01
"05-13-2019 08:00:00",13.8,21.10,33,1014.2,0.0,0.0,0,12.10,0,0.0,0.0,0.0,0,107.0,19.46,8.67,8,0.010,0.3,8.29,89.8,-86.6,0.1,0.01
"05-13-2019 08:15:00",13.7,21.30,32,1014.0,0.0,0.0,0,12.10,0,0.0,0.0,0.0,0,108.0,19.56,8.68,8,0.000,0.3,8.29,90.0,-86.8,0.3,0.01
"05-13-2019 08:30:00",13.8,21.40,32,1013.8,0.0,0.0,0,12.10,0,0.0,0.0,0.0,0,107.0,19.65,8.67,8,0.010,0.3,8.30,90.2,-86.8,0.1,0.01
"05-13-2019 08:45:00",13.8,21.50,31,1013.6,0.0,0.0,0,12.20,0,0.0,0.0,0.0,0,107.0,19.75,8.67,8,0.000,0.4,8.30,90.4,-86.7,0.1,0.01
"05-13-2019 09:00:00",13.8,21.60,30,1013.2,0.0,0.0,0,12.00,0,0.0,0.0,0.0,0,108.0,19.84,8.66,8,0.000,0.4,8.29,90.5,-86.2,0.1,0.01
"05-13-2019 09:15:00",13.8,21.60,29,1013.3,0.0,0.0,0,11.90,0,0.0,0.0,0.0,0,108.0,19.92,8.65,8,0.000,0.4,8.30,90.7,-85.5,0.1,0.01
"05-13-2019 09:30:00",13.8,21.70,29,1013.3,0.0,0.0,0,11.90,0,0.0,0.0,0.0,0,108.0,20.00,8.64,8,0.010,0.4,8.30,90.9,-84.7,0.1,0.01
"05-13-2019 09:45:00",13.8,21.70,29,1013.3,0.0,0.0,0,11.90,0,0.0,0.0,0.0,0,108.0,20.07,8.62,7,0.010,0.4,8.30,91.0,-83.9,0.1,0.01
"05-13-2019 10:00:00",13.8,21.80,29,1013.3,0.0,0.0,0,11.90,0,0.0,0.0,0.0,0,107.0,20.13,8.61,7,0.000,0.4,8.29,91.0,-83.2,0.1,0.01
"05-13-2019 10:15:00",13.8,21.90,29,1013.6,0.0,0.0,0,12.00,0,0.0,0.0,0.0,0,108.0,20.20,8.60,7,0.000,0.4,8.29,91.1,-82.4,0.1,0.01
"05-13-2019 10:30:00",13.7,21.90,29,1014.0,0.0,0.0,0,12.10,0,0.0,0.0,0.0,0,108.0,20.25,8.59,7,0.000,0.4,8.27,91.1,-81.7,0.1,0.01
"05-13-2019 10:45:00",13.8,22.00,29,1014.2,0.0,0.0,0,12.20,0,0.0,0.0,0.0,0,108.0,20.30,8.57,7,0.000,0.3,8.28,91.2,-80.8,0.1,0.01
"05-13-2019 11:00:00",13.8,22.00,29,1014.3,0.0,0.0,0,12.20,0,0.0,0.0,0.0,0,108.0,20.35,8.55,7,0.010,0.3,8.28,91.3,-79.8,0.1,0.01
"05-13-2019 11:15:00",13.8,22.00,29,1014.3,0.0,0.0,0,12.20,0,0.0,0.0,0.0,0,108.0,20.37,8.53,7,0.010,0.3,8.27,91.3,-78.8,0.1,0.01
"05-13-2019 11:30:00",13.8,22.00,29,1014.4,0.0,0.0,0,12.20,0,0.0,0.0,0.0,0,108.0,20.42,8.52,7,0.010,0.3,8.26,91.2,-78.2,0.1,0.01
"05-13-2019 11:45:00",13.7,21.90,29,1014.6,0.0,0.0,0,12.10,0,0.0,0.0,0.0,0,107.0,20.48,8.52,7,0.010,0.3,8.27,91.4,-78.1,0.1,0.01
"05-13-2019 12:00:00",13.8,22.00,28,1014.5,0.0,0.0,0,12.00,0,0.0,0.0,0.0,0,107.0,20.50,8.52,7,0.010,0.3,8.25,91.3,-77.7,0.1,0.01
"05-13-2019 12:15:00",13.8,22.00,27,1014.6,0.0,0.0,0,11.90,0,0.0,0.0,0.0,0,108.0,20.52,8.50,7,0.000,0.4,8.26,91.4,-77.1,0.1,0.01
"05-13-2019 12:30:00",13.8,22.00,27,1014.9,0.0,0.0,0,11.80,0,0.0,0.0,0.0,0,108.0,20.54,8.49,7,0.010,0.3,8.26,91.5,-76.4,0.1,0.01
"05-13-2019 12:45:00",13.8,22.00,27,1015.2,0.0,0.0,0,11.80,0,0.0,0.0,0.0,0,107.0,20.56,8.48,7,0.030,0.4,8.25,91.4,-75.9,0.1,0.01
"05-13-2019 13:00:00",13.8,22.00,26,1015.2,0.0,0.0,0,11.70,0,0.0,0.0,0.0,0,108.0,20.59,8.48,7,0.030,0.4,8.25,91.3,-75.7,0.1,0.01
"05-13-2019 13:15:00",13.8,22.00,26,1015.4,0.0,0.0,0,11.70,0,0.0,0.0,0.0,0,108.0,20.62,8.48,7,0.020,0.3,8.24,91.4,-75.7,0.1,0.01
"05-13-2019 13:30:00",13.7,22.00,25,1015.3,0.0,0.0,0,11.60,0,0.0,0.0,0.0,2,107.0,20.65,8.48,7,0.020,0.3,8.23,91.3,-75.6,0.1,0.01
"05-13-2019 13:45:00",13.8,22.10,25,1015.7,0.0,0.3,0,11.60,0,0.0,0.0,0.0,2,108.0,20.68,8.55,9,0.010,1.7,8.38,93.0,-79.8,0.1,0.01
"05-13-2019 14:00:00",13.8,22.00,26,1015.5,0.0,0.4,0,11.70,0,0.0,0.0,0.0,2,107.0,20.68,8.59,12050,0.020,-0.0,8.40,97.1,-81.9,0.1,6.90
"05-13-2019 14:15:00",13.8,22.20,26,1015.8,0.0,0.0,0,11.70,0,0.0,0.0,0.0,2,108.0,20.68,8.59,12050,0.030,-0.0,8.40,97.1,-82.0,0.2,6.91
"05-13-2019 14:30:00",13.8,22.10,26,1015.4,0.0,0.6,0,11.70,60,0.0,0.0,0.0,2,109.0,20.74,8.54,9,0.020,0.7,8.40,93.4,-79.2,0.1,0.01
"05-13-2019 14:45:00",13.8,22.20,26,1015.1,0.0,0.4,0,11.80,0,0.0,0.0,0.0,3,109.0,20.92,8.58,8,0.020,0.6,8.39,93.5,-81.5,0.2,0.01
"05-13-2019 15:00:00",13.8,22.30,26,1015.1,0.0,0.4,0,11.90,0,0.0,0.0,0.0,2,109.0,20.93,8.56,8,0.020,0.8,8.38,93.5,-80.4,0.1,0.01
"05-13-2019 15:15:00",13.1,22.30,26,1015.0,0.0,0.0,0,12.00,0,0.0,0.0,0.0,3,314.0,21.03,8.60,7,0.020,0.5,8.37,93.5,-82.6,0.1,0.01
"05-13-2019 15:30:00",13.1,22.40,26,1014.8,0.0,0.0,0,12.10,0,0.0,0.0,0.0,4,314.0,21.06,8.60,7,0.020,0.4,8.37,93.6,-82.9,0.1,0.01
"05-13-2019 15:45:00",13.0,22.50,27,1014.9,0.0,0.0,0,12.30,0,0.0,0.0,0.0,3,314.0,21.09,8.60,7,0.030,0.3,8.35,93.4,-83.1,0.1,0.01
"05-13-2019 16:00:00",13.0,22.60,28,1014.8,0.0,0.0,0,12.40,0,0.0,0.0,0.0,3,314.0,21.10,8.61,7,0.010,0.3,8.33,93.3,-83.2,0.1,0.01
"05-13-2019 16:15:00",14.1,22.60,28,1014.9,0.0,0.4,0,12.50,0,0.0,0.0,0.0,3,314.0,21.13,8.61,7,0.020,0.2,8.32,93.1,-83.2,0.2,0.01
"05-13-2019 16:30:00",14.3,22.60,29,1014.3,0.0,0.0,0,12.60,0,0.0,0.0,0.0,3,314.0,21.15,8.60,6,0.010,0.2,8.30,92.9,-83.1,0.2,0.01
"05-13-2019 16:45:00",14.4,22.70,29,1014.4,0.0,0.0,0,12.70,0,0.0,0.0,0.0,3,314.0,21.18,8.61,6,0.010,0.2,8.29,92.9,-83.2,0.1,0.01
"05-13-2019 17:00:00",14.4,22.70,29,1014.7,0.0,0.0,0,12.80,0,0.0,0.0,0.0,3,314.0,21.21,8.60,6,0.030,0.2,8.27,92.7,-83.2,0.2,0.01
"05-13-2019 17:15:00",14.4,22.70,29,1014.3,0.0,0.0,0,12.80,0,0.0,0.0,0.0,3,314.0,21.23,8.61,6,0.010,0.2,8.26,92.6,-83.3,0.2,0.01
"05-13-2019 17:30:00",14.4,22.70,29,1014.0,0.0,0.0,0,12.80,0,0.0,0.0,0.0,3,314.0,21.26,8.61,6,0.010,0.2,8.25,92.6,-83.2,0.2,0.01
"05-13-2019 17:45:00",14.4,22.70,29,1013.7,0.0,0.0,0,12.70,0,0.0,0.0,0.0,3,309.0,21.30,8.58,6,0.000,0.3,8.30,93.3,-81.7,0.2,0.01
"05-13-2019 18:00:00",14.6,22.80,29,1013.7,0.0,0.0,0,12.70,0,0.0,0.0,0.0,3,309.0,21.35,8.59,6,0.010,0.2,8.22,92.5,-82.3,0.1,0.01
"05-13-2019 18:15:00",14.3,22.90,29,1013.8,0.0,0.0,0,12.80,0,0.0,0.0,0.0,3,309.0,21.40,8.60,5,0.000,0.2,8.21,92.4,-82.8,0.1,0.01
"05-13-2019 18:30:00",14.3,22.90,29,1013.3,0.0,0.0,0,12.70,0,0.0,0.0,0.0,3,309.0,21.42,8.60,5,0.010,0.2,8.21,92.5,-82.9,0.2,0.01
"05-13-2019 18:45:00",13.8,22.90,28,1013.2,0.0,0.0,0,12.70,0,0.0,0.0,0.0,3,309.0,21.44,8.60,5,0.000,0.2,8.19,92.3,-83.0,0.2,0.01
"05-13-2019 19:00:00",13.8,22.90,28,1013.2,0.0,0.0,0,12.70,0,0.0,0.0,0.0,3,309.0,21.47,8.60,5,0.000,0.2,8.19,92.3,-82.9,0.2,0.01
"05-13-2019 19:15:00",13.7,22.90,29,1013.3,0.0,0.0,0,12.80,0,0.0,0.0,0.0,3,309.0,21.50,8.60,5,0.000,0.2,8.18,92.3,-82.9,0.1,0.01
"05-13-2019 19:30:00",14.3,23.00,28,1013.2,0.0,0.0,0,12.80,0,0.0,0.0,0.0,3,309.0,21.51,8.60,5,0.000,0.2,8.17,92.1,-82.8,0.2,0.01
"05-13-2019 19:45:00",13.8,23.00,28,1013.2,0.0,0.0,0,12.80,0,0.0,0.0,0.0,2,309.0,21.53,8.59,5,0.000,0.7,8.14,91.9,-82.5,0.2,0.01
"05-13-2019 20:00:00",13.8,23.00,28,1013.8,0.0,0.0,0,12.70,0,0.0,0.0,0.0,2,309.0,21.54,8.59,5,0.010,0.2,8.14,91.9,-82.4,0.2,0.01
"05-13-2019 20:15:00",13.8,23.00,28,1013.3,0.0,0.0,0,12.70,0,0.0,0.0,0.0,2,309.0,21.56,8.59,5,0.000,0.2,8.13,91.8,-82.3,0.2,0.01
"05-13-2019 20:30:00",13.8,23.00,28,1013.5,0.0,0.0,0,12.70,0,0.0,0.0,0.0,2,309.0,21.59,8.58,5,0.010,0.2,8.13,91.8,-82.1,0.0,0.01
"05-13-2019 20:45:00",13.7,23.00,28,1013.2,0.0,0.0,0,12.70,0,0.0,0.0,0.0,2,309.0,21.63,8.59,5,0.000,0.2,8.11,91.7,-82.3,0.2,0.01
"05-13-2019 21:00:00",13.7,23.10,28,1013.2,0.0,0.0,0,12.90,0,0.0,0.0,0.0,2,309.0,21.66,8.59,5,0.000,0.2,8.11,91.8,-82.4,0.2,0.01
"05-13-2019 21:15:00",13.8,23.20,28,1013.0,0.0,0.0,0,12.90,0,0.0,0.0,0.0,2,309.0,21.69,8.59,5,0.000,0.2,8.10,91.6,-82.4,0.1,0.01
"05-13-2019 21:30:00",13.7,23.20,29,1013.1,0.0,0.0,0,13.00,0,0.0,0.0,0.0,2,309.0,21.48,8.58,12300,0.000,-0.0,8.13,95.5,-81.7,0.2,7.06
"05-13-2019 21:45:00",13.7,23.30,29,1013.0,0.0,0.0,0,13.10,0,0.0,0.0,0.0,2,309.0,21.90,8.56,9,0.000,0.6,8.15,92.6,-80.5,0.2,0.01
"05-13-2019 22:00:00",13.8,23.30,29,1013.0,0.0,0.0,0,13.20,0,0.0,0.0,0.0,2,309.0,21.89,8.56,8,0.000,0.4,8.11,92.2,-80.8,0.2,0.01
"05-13-2019 22:15:00",13.8,23.30,30,1013.0,0.0,0.0,0,13.20,0,0.0,0.0,0.0,2,309.0,21.90,8.56,8,0.000,0.4,8.10,92.1,-80.6,0.2,0.01
"05-13-2019 22:30:00",14.3,23.30,30,1012.9,0.0,0.0,0,13.30,0,0.0,0.0,0.0,2,309.0,21.90,8.55,8,0.000,0.3,8.11,92.2,-80.3,0.2,0.01
"05-13-2019 22:45:00",13.8,23.30,31,1012.8,0.0,0.0,0,13.40,0,0.0,0.0,0.0,2,309.0,21.90,8.55,8,0.000,0.3,8.10,92.1,-80.1,0.1,0.01
"05-13-2019 23:00:00",13.8,23.30,31,1012.9,0.0,0.0,0,13.40,0,0.0,0.0,0.0,0,309.0,21.87,8.54,8,0.000,0.3,8.11,92.1,-79.8,0.2,0.01
"05-13-2019 23:15:00",13.9,23.20,31,1012.5,0.0,0.0,0,13.40,0,0.0,0.0,0.0,0,309.0,21.84,8.54,8,0.000,0.3,8.11,92.0,-79.5,0.1,0.01
"05-13-2019 23:30:00",13.8,23.20,31,1012.1,0.0,0.0,0,13.40,0,0.0,0.0,0.0,0,309.0,21.82,8.53,8,-0.020,0.3,8.11,92.0,-79.3,0.2,0.01
"05-13-2019 23:45:00",13.8,23.20,31,1011.8,0.0,0.0,0,13.40,0,0.0,0.0,0.0,0,309.0,21.80,8.53,8,0.000,0.2,8.11,91.9,-79.0,0.2,0.01
"05-14-2019 00:00:00",13.8,23.10,31,1012.0,0.0,0.0,0,13.30,0,0.0,0.0,0.0,0,309.0,21.77,8.53,8,0.000,0.2,8.11,91.9,-78.8,0.2,0.01
"05-14-2019 00:15:00",13.8,23.10,31,1012.1,0.0,0.0,0,13.30,0,0.0,0.0,0.0,0,309.0,21.75,8.52,8,0.000,0.2,8.10,91.8,-78.6,0.2,0.01
"05-14-2019 00:30:00",13.8,23.10,31,1012.1,0.0,0.0,0,13.30,0,0.0,0.0,0.0,0,309.0,21.73,8.52,8,-0.010,0.3,8.11,91.8,-78.6,0.2,0.01
"05-14-2019 00:45:00",13.8,23.00,31,1012.4,0.0,0.0,0,13.20,0,0.0,0.0,0.0,0,310.0,21.70,8.52,8,-0.020,0.2,8.10,91.8,-78.6,0.2,0.01
"05-14-2019 01:00:00",13.8,23.00,31,1012.5,0.0,0.0,0,13.20,0,0.0,0.0,0.0,0,309.0,21.69,8.52,8,0.000,0.2,8.11,91.7,-78.4,0.2,0.01
"05-14-2019 01:15:00",13.7,22.80,31,1013.1,0.0,0.0,0,13.00,0,0.0,0.0,0.0,0,310.0,21.52,8.52,8,0.010,0.2,8.12,91.6,-78.0,0.2,0.01
"05-14-2019 01:30:00",13.8,22.30,31,1013.2,0.0,0.0,0,12.80,0,0.0,0.0,0.0,0,309.0,21.27,8.50,8,0.010,0.3,8.15,91.5,-76.9,0.1,0.01
"05-14-2019 01:45:00",13.8,21.70,32,1013.7,0.0,0.0,0,12.40,0,0.0,0.0,0.0,0,309.0,21.03,8.48,8,0.010,0.2,8.14,91.0,-76.0,0.1,0.01
"05-14-2019 02:00:00",13.7,21.30,33,1013.6,0.0,0.0,0,12.30,0,0.0,0.0,0.0,0,310.0,20.80,8.47,7,0.000,0.2,8.18,91.0,-75.4,0.1,0.01
"05-14-2019 02:15:00",13.8,20.80,33,1013.5,0.0,0.0,0,12.00,0,0.0,0.0,0.0,0,309.0,20.57,8.47,7,0.020,0.2,8.18,90.6,-75.0,0.1,0.01
