Date,Day,Time,Pred(Ft),Pred(cm),High/Low
1/1/2022,Sat,6:24:00 AM,5.17,158,H
1/1/2022,Sat,12:48:00 PM,-0.48,-15,L
1/1/2022,Sat,6:49:00 PM,4.17,127,H
1/2/2022,Sun,12:24:00 AM,-0.73,-22,L
1/2/2022,Sun,7:18:00 AM,5.36,163,H
1/2/2022,Sun,1:44:00 PM,-0.57,-17,L
1/2/2022,Sun,7:42:00 PM,4.38,134,H
1/3/2022,Mon,1:19:00 AM,-0.77,-23,L
1/3/2022,Mon,8:10:00 AM,5.38,164,H
1/3/2022,Mon,2:38:00 PM,-0.58,-18,L
1/3/2022,Mon,8:34:00 PM,4.49,137,H
1/4/2022,Tue,2:16:00 AM,-0.72,-22,L
1/4/2022,Tue,9:02:00 AM,5.25,160,H
1/4/2022,Tue,3:26:00 PM,-0.52,-16,L
1/4/2022,Tue,9:27:00 PM,4.48,137,H
1/5/2022,Wed,3:10:00 AM,-0.57,-17,L
1/5/2022,Wed,9:54:00 AM,4.98,152,H
1/5/2022,Wed,4:09:00 PM,-0.39,-12,L
1/5/2022,Wed,10:20:00 PM,4.38,134,H
1/6/2022,Thu,4:01:00 AM,-0.33,-10,L
1/6/2022,Thu,10:46:00 AM,4.61,141,H
1/6/2022,Thu,4:49:00 PM,-0.2,-6,L
1/6/2022,Thu,11:14:00 PM,4.24,129,H
1/7/2022,Fri,4:53:00 AM,0,0,L
1/7/2022,Fri,11:39:00 AM,4.2,128,H
1/7/2022,Fri,5:29:00 PM,0.01,0,L
1/8/2022,Sat,12:10:00 AM,4.07,124,H
1/8/2022,Sat,5:51:00 AM,0.34,10,L
1/8/2022,Sat,12:32:00 PM,3.8,116,H
1/8/2022,Sat,6:13:00 PM,0.2,6,L
1/9/2022,Sun,1:04:00 AM,3.9,119,H
1/9/2022,Sun,7:18:00 AM,0.61,19,L
1/9/2022,Sun,1:23:00 PM,3.43,105,H
1/9/2022,Sun,7:03:00 PM,0.36,11,L
1/10/2022,Mon,1:58:00 AM,3.74,114,H
1/10/2022,Mon,8:53:00 AM,0.71,22,L
1/10/2022,Mon,2:16:00 PM,3.12,95,H
1/10/2022,Mon,7:57:00 PM,0.45,14,L
1/11/2022,Tue,2:53:00 AM,3.6,110,H
1/11/2022,Tue,9:55:00 AM,0.69,21,L
1/11/2022,Tue,3:12:00 PM,2.92,89,H
1/11/2022,Tue,8:50:00 PM,0.46,14,L
1/12/2022,Wed,3:53:00 AM,3.53,108,H
1/12/2022,Wed,10:41:00 AM,0.61,19,L
1/12/2022,Wed,4:12:00 PM,2.84,87,H
1/12/2022,Wed,9:41:00 PM,0.41,12,L
1/13/2022,Thu,4:50:00 AM,3.54,108,H
1/13/2022,Thu,11:20:00 AM,0.49,15,L
1/13/2022,Thu,5:08:00 PM,2.91,89,H
1/13/2022,Thu,10:29:00 PM,0.3,9,L
1/14/2022,Fri,5:40:00 AM,3.62,110,H
1/14/2022,Fri,11:57:00 AM,0.35,11,L
1/14/2022,Fri,5:56:00 PM,3.04,93,H
1/14/2022,Fri,11:15:00 PM,0.16,5,L
1/15/2022,Sat,6:22:00 AM,3.71,113,H
1/15/2022,Sat,12:35:00 PM,0.21,6,L
1/15/2022,Sat,6:37:00 PM,3.2,98,H
1/15/2022,Sat,11:59:00 PM,0.01,0,L
1/16/2022,Sun,7:00:00 AM,3.82,116,H
1/16/2022,Sun,1:15:00 PM,0.08,2,L
1/16/2022,Sun,7:16:00 PM,3.34,102,H
1/17/2022,Mon,12:43:00 AM,-0.11,-3,L
1/17/2022,Mon,7:34:00 AM,3.9,119,H
1/17/2022,Mon,1:55:00 PM,-0.03,-1,L
1/17/2022,Mon,7:53:00 PM,3.45,105,H
1/18/2022,Tue,1:27:00 AM,-0.2,-6,L
1/18/2022,Tue,8:09:00 AM,3.96,121,H
1/18/2022,Tue,2:32:00 PM,-0.11,-3,L
1/18/2022,Tue,8:30:00 PM,3.51,107,H
1/19/2022,Wed,2:09:00 AM,-0.24,-7,L
1/19/2022,Wed,8:43:00 AM,3.98,121,H
