Date,Day,Time,Pred(Ft),Pred(cm),High/Low
1/1/2022,Sat,4:29:00 AM,-0.6,-18,L
1/1/2022,Sat,11:24:00 AM,5.17,158,H
1/1/2022,Sat,5:48:00 PM,-0.48,-15,L
1/1/2022,Sat,11:49:00 PM,4.17,127,H
1/2/2022,Sun,5:24:00 AM,-0.73,-22,L
1/2/2022,Sun,12:18:00 PM,5.36,163,H
1/2/2022,Sun,6:44:00 PM,-0.57,-17,L
1/3/2022,Mon,12:42:00 AM,4.38,134,H
1/3/2022,Mon,6:19:00 AM,-0.77,-23,L
1/3/2022,Mon,1:10:00 PM,5.38,164,H
1/3/2022,Mon,7:38:00 PM,-0.58,-18,L
1/4/2022,Tue,1:34:00 AM,4.49,137,H
1/4/2022,Tue,7:16:00 AM,-0.72,-22,L
1/4/2022,Tue,2:02:00 PM,5.25,160,H
1/4/2022,Tue,8:26:00 PM,-0.52,-16,L
1/5/2022,Wed,2:27:00 AM,4.48,137,H
1/5/2022,Wed,8:10:00 AM,-0.57,-17,L
1/5/2022,Wed,2:54:00 PM,4.98,152,H
1/5/2022,Wed,9:09:00 PM,-0.39,-12,L
1/6/2022,Thu,3:20:00 AM,4.38,134,H
1/6/2022,Thu,9:01:00 AM,-0.33,-10,L
1/6/2022,Thu,3:46:00 PM,4.61,141,H
1/6/2022,Thu,9:49:00 PM,-0.2,-6,L
1/7/2022,Fri,4:14:00 AM,4.24,129,H
1/7/2022,Fri,9:53:00 AM,0,0,L
1/7/2022,Fri,4:39:00 PM,4.2,128,H
1/7/2022,Fri,10:29:00 PM,0.01,0,L
1/8/2022,Sat,5:10:00 AM,4.07,124,H
1/8/2022,Sat,10:51:00 AM,0.34,10,L
1/8/2022,Sat,5:32:00 PM,3.8,116,H
1/8/2022,Sat,11:13:00 PM,0.2,6,L
1/9/2022,Sun,6:04:00 AM,3.9,119,H
1/9/2022,Sun,12:18:00 PM,0.61,19,L
1/9/2022,Sun,6:23:00 PM,3.43,105,H
1/10/2022,Mon,12:03:00 AM,0.36,11,L
1/10/2022,Mon,6:58:00 AM,3.74,114,H
1/10/2022,Mon,1:53:00 PM,0.71,22,L
1/10/2022,Mon,7:16:00 PM,3.12,95,H
1/11/2022,Tue,12:57:00 AM,0.45,14,L
1/11/2022,Tue,7:53:00 AM,3.6,110,H
1/11/2022,Tue,2:55:00 PM,0.69,21,L
1/11/2022,Tue,8:12:00 PM,2.92,89,H
1/12/2022,Wed,1:50:00 AM,0.46,14,L
1/12/2022,Wed,8:53:00 AM,3.53,108,H
1/12/2022,Wed,3:41:00 PM,0.61,19,L
1/12/2022,Wed,9:12:00 PM,2.84,87,H
