,Date,Temperature (C),pH,Battery
3000,2022-09-30 00:05:02,18.9,7.6134,8.69
3001,2022-09-30 01:04:56,18.76,7.3388,8.68
3003,2022-09-30 03:05:02,18.54,7.6203,8.67
3004,2022-09-30 04:04:56,18.42,7.7065,8.67
3005,2022-09-30 05:04:59,18.28,7.6895,8.66
3006,2022-09-30 06:05:02,18.14,7.7418,8.66
3007,2022-09-30 07:04:56,18.14,7.7257,8.65
3008,2022-09-30 08:04:59,18.04,7.7414,8.65
3009,2022-09-30 09:05:02,18.02,7.7819,8.65
3010,2022-09-30 10:04:56,17.9,7.7434,8.64
3011,2022-09-30 11:04:59,17.8,7.7283,8.64
3012,2022-09-30 12:05:02,17.71,7.7102,8.64
3013,2022-09-30 13:04:56,17.66,7.4676,8.63
3014,2022-09-30 14:04:59,17.66,7.4618,8.63
3015,2022-09-30 15:05:02,17.88,7.7541,8.62
3016,2022-09-30 16:04:56,18.11,7.7661,8.63
3017,2022-09-30 17:04:59,18.3,7.8157,8.64
3018,2022-09-30 18:05:02,18.45,7.767,8.64
3019,2022-09-30 19:04:56,18.49,7.9334,8.65
3020,2022-09-30 20:04:59,18.47,7.8727,8.65
3021,2022-09-30 21:05:02,18.45,7.8887,8.65
3022,2022-09-30 22:04:56,18.4,7.8525,8.65
3023,2022-09-30 23:04:59,18.42,7.8616,8.65
3024,2022-10-01 00:05:02,18.37,7.7438,8.65
3025,2022-10-01 01:04:56,18.18,7.6278,8.65
3026,2022-10-01 02:04:59,18.02,7.4463,8.64
3028,2022-10-01 04:04:56,17.9,7.7421,8.63
3029,2022-10-01 05:04:59,17.78,7.7582,8.62
3030,2022-10-01 06:05:02,17.66,7.7772,8.62
3031,2022-10-01 07:04:56,17.54,7.8054,8.61
3032,2022-10-01 08:04:59,17.57,7.8241,8.61
3033,2022-10-01 09:05:02,17.57,7.8233,8.61
3034,2022-10-01 10:04:56,17.54,7.8419,8.61
3035,2022-10-01 11:04:59,17.47,7.8305,8.61
3036,2022-10-01 12:05:02,17.43,7.8106,8.6
3037,2022-10-01 13:04:56,17.36,7.7004,8.6
3038,2022-10-01 14:04:59,17.28,7.5576,8.59
3039,2022-10-01 15:05:02,17.19,7.5425,8.59
3040,2022-10-01 16:04:56,17.31,7.7422,8.59
3041,2022-10-01 17:04:59,17.21,7.7786,8.59
3042,2022-10-01 18:05:02,17.19,7.8014,8.59
3043,2022-10-01 19:04:56,17.21,7.8216,8.58
3044,2022-10-01 20:04:59,17.24,7.8446,8.58
