,Date,Temperature (C),pH,Battery
0,2021-05-07 12:58:27,12.58,7.8887,11.68
11,2021-05-08 06:58:27,13.56,8.3966,11.69
12,2021-05-08 07:58:30,13.72,8.4077,11.69
13,2021-05-08 08:58:33,13.97,8.1964,11.69
14,2021-05-08 09:58:27,13.49,8.0396,11.69
15,2021-05-11 09:58:27,13.17,8.1429,11.47
16,2021-05-11 23:58:33,15.23,7.9609,11.47
17,2021-05-12 06:58:27,13.51,8.1061,11.43
18,2021-05-12 09:58:27,13.29,7.7857,11.41
21,2021-05-12 17:58:33,13.83,8.1729,11.4
22,2021-05-12 18:58:27,14.18,8.1328,11.4
23,2021-05-12 19:58:30,14.29,8.0423,11.4
24,2021-05-12 20:58:33,14.52,8.2456,11.4
25,2021-05-12 22:58:30,15.28,7.9601,11.41
26,2021-05-12 23:58:33,15.4,7.8774,11.41
27,2021-05-13 00:58:27,14.06,7.985,11.4
28,2021-05-13 01:58:30,13.74,8.0095,11.39
29,2021-05-13 02:58:33,13.63,8.0071,11.38
30,2021-05-13 03:58:27,13.49,7.9935,11.38
31,2021-05-13 04:58:30,13.51,7.9884,11.37
34,2021-05-16 05:58:33,15.35,7.9989,11.25
35,2021-05-16 06:58:27,15.07,7.9544,11.24
36,2021-05-16 07:58:30,14.91,7.9786,11.24
37,2021-05-16 08:58:33,14.82,7.9816,11.24
38,2021-05-16 09:58:27,14.96,7.9669,11.23
39,2021-05-16 10:58:30,15.14,7.9476,11.23
40,2021-05-16 11:58:33,15.44,7.8668,11.23
41,2021-05-16 12:58:27,16.42,7.6757,11.24
44,2021-05-16 15:58:27,16.51,7.9489,11.25
45,2021-05-16 16:58:30,16.74,7.9819,11.24
46,2021-05-16 17:58:33,17.21,7.9948,11.24
47,2021-05-16 18:58:27,17.4,7.9882,11.25
48,2021-05-16 19:58:30,17.64,8.0105,11.25
49,2021-05-16 20:58:33,17.83,8.0491,11.25
51,2021-05-17 02:58:33,17.59,8.0539,11.24
53,2021-05-21 21:58:27,18.92,8.1095,11.08
54,2021-05-21 22:58:30,18.68,8.0514,11.07
55,2021-05-22 00:58:27,18.3,8.0542,11.06
56,2021-05-22 01:58:30,18.26,8.0436,11.06
57,2021-05-22 02:58:33,18.3,8.0564,11.06
58,2021-05-22 03:58:27,18.37,8.0277,11.06
59,2021-05-22 04:58:30,18.45,7.9946,11.06
60,2021-05-22 05:58:33,18.8,7.8578,11.06
61,2021-05-22 06:58:27,18.92,7.7278,11.06
62,2021-05-22 07:58:30,18.23,7.8812,11.06
63,2021-05-22 08:58:33,17.76,7.9512,11.04
64,2021-05-22 09:58:27,17.64,7.9618,11.04
65,2021-06-05 15:58:27,17.47,7.9721,10.58
66,2021-06-05 16:58:30,17.85,7.9037,10.58
67,2021-06-05 17:58:33,18.57,7.8854,10.59
68,2021-06-05 18:58:27,19.6,7.7527,10.6
70,2021-06-05 20:58:33,18.78,7.9839,10.62
71,2021-06-05 21:58:27,18.76,7.9866,10.61
72,2021-06-05 22:58:30,18.68,7.979,10.61
73,2021-06-05 23:58:33,18.73,7.9818,10.6
74,2021-06-06 00:58:27,19.0,7.9852,10.6
75,2021-06-06 01:58:30,18.97,7.9809,10.61
76,2021-06-06 02:58:33,19.0,7.98,10.6
77,2021-06-06 03:58:27,18.9,7.9701,10.61
78,2021-06-06 04:58:30,18.83,7.9449,10.6
79,2021-06-06 05:58:33,18.68,7.8773,10.6
83,2021-06-06 09:58:27,18.35,7.8593,10.61
84,2021-06-06 10:58:30,18.04,7.9241,10.59
85,2021-06-06 11:58:33,17.78,7.9484,10.59
86,2021-06-06 12:58:27,17.95,7.962,10.58
87,2021-06-06 13:58:30,17.78,7.9536,10.58
88,2021-06-06 14:58:33,17.69,7.9631,10.57
89,2021-06-06 15:58:27,18.18,7.9548,10.57
90,2021-06-06 16:58:30,18.95,7.9514,10.58
91,2021-06-06 17:58:33,19.57,7.9359,10.59
92,2021-06-06 18:58:27,20.7,7.8506,10.61
93,2021-07-08 13:00:02,23.01,7.7087,9.96
94,2021-07-08 15:00:00,23.29,7.8178,10.04
95,2021-07-08 16:00:02,23.29,7.8581,10.06
96,2021-07-08 16:59:57,23.34,7.863,10.07
97,2021-07-08 18:00:00,23.57,7.8714,10.07
98,2021-07-08 19:00:02,23.73,7.8643,10.09
99,2021-07-08 19:59:57,23.99,7.8315,10.1
100,2021-07-08 21:00:00,24.27,7.7469,10.12
101,2021-07-08 22:00:02,24.58,7.6426,10.14
102,2021-07-08 22:59:57,23.57,7.8837,10.14
103,2021-07-09 00:00:00,23.34,7.8698,10.14
104,2021-07-09 01:00:02,23.04,7.8599,10.13
105,2021-07-09 01:59:57,23.19,7.8865,10.12
106,2021-07-09 03:00:00,23.04,7.8802,10.11
107,2021-07-09 04:00:02,22.99,7.8746,10.13
108,2021-07-09 04:59:57,22.89,7.8629,10.14
109,2021-07-09 06:00:00,22.91,7.8505,10.15
110,2021-07-09 07:00:02,22.96,7.8436,10.12
111,2021-07-09 07:59:57,23.01,7.7782,10.11
112,2021-07-09 09:00:00,23.14,7.6243,10.12
113,2021-07-09 10:00:02,23.47,7.4117,10.13
116,2021-07-09 13:00:02,22.61,7.7602,10.18
117,2021-07-09 13:59:57,22.58,7.7879,10.18
118,2021-07-09 15:00:00,22.58,7.7906,10.16
119,2021-07-09 16:00:02,22.66,7.7951,10.14
120,2021-07-09 16:59:57,22.71,7.8245,10.13
121,2021-07-09 18:00:00,22.69,7.8682,10.15
122,2021-07-09 19:00:02,22.53,7.8615,10.16
123,2021-07-09 19:59:57,22.66,7.8241,10.13
124,2021-07-09 21:00:00,22.74,7.7552,10.11
125,2021-07-09 22:00:02,22.81,7.6498,10.05
126,2021-07-09 22:59:57,23.01,7.5055,10.11
127,2021-07-10 00:00:00,23.09,7.4147,10.14
128,2021-07-10 01:00:02,22.53,7.7563,10.14
129,2021-07-10 01:59:57,22.41,7.8162,10.14
130,2021-07-10 03:00:00,22.41,7.8227,10.14
131,2021-07-10 04:00:02,22.41,7.8251,10.14
132,2021-07-10 04:59:57,22.38,7.8277,10.14
133,2021-07-10 06:00:00,22.38,7.8212,10.15
134,2021-07-10 07:00:02,22.33,7.804,10.13
135,2021-07-10 07:59:57,22.28,7.7653,10.1
136,2021-07-10 09:00:00,22.26,7.6561,10.1
137,2021-07-10 10:00:02,22.36,7.4201,10.1
140,2021-07-10 13:00:02,22.36,7.7006,10.14
141,2021-07-10 13:59:57,22.43,7.7441,10.13
142,2021-07-10 15:00:00,22.41,7.7617,10.13
143,2021-07-10 16:00:02,22.41,7.7719,10.11
144,2021-07-10 16:59:57,22.41,7.7735,10.12
145,2021-07-10 18:00:00,22.38,7.7894,10.13
146,2021-07-10 19:00:02,22.53,7.7803,10.12
147,2021-07-10 19:59:57,22.56,7.769,10.11
148,2021-07-10 21:00:00,22.58,7.747,10.11
149,2021-07-10 22:00:02,22.64,7.6284,10.1
150,2021-07-10 22:59:57,22.74,7.4035,10.11
151,2021-07-11 00:00:00,22.46,7.7267,10.12
152,2021-07-11 01:00:02,22.16,7.8127,10.11
153,2021-07-11 01:59:57,22.06,7.8074,10.1
154,2021-07-11 03:00:00,22.03,7.8046,10.09
155,2021-07-11 04:00:02,22.03,7.8141,10.09
156,2021-07-11 04:59:57,21.96,7.8039,10.09
157,2021-07-11 06:00:00,21.88,7.8042,10.09
158,2021-07-11 07:00:02,21.83,7.806,10.09
159,2021-07-11 07:59:57,21.78,7.7849,10.06
160,2021-07-11 09:00:00,21.68,7.7318,10.04
161,2021-07-11 10:59:57,21.41,7.3963,10.02
164,2021-07-11 13:59:57,21.78,7.7736,10.05
165,2021-07-11 15:00:00,22.03,7.8108,10.06
166,2021-07-11 16:00:02,22.31,7.8221,10.06
167,2021-07-11 16:59:57,22.48,7.8716,10.06
168,2021-07-11 18:00:00,22.76,7.9063,10.07
169,2021-07-11 19:00:02,22.79,7.9112,10.07
170,2021-07-11 19:59:57,23.14,7.9172,10.07
171,2021-07-11 21:00:00,23.12,7.9021,10.06
172,2021-07-11 22:00:02,23.19,7.8554,10.06
173,2021-07-11 22:59:57,23.29,7.7268,10.07
174,2021-07-12 00:00:00,23.32,7.5744,10.08
175,2021-07-12 01:00:02,23.12,7.8097,10.08
176,2021-07-12 01:59:57,22.86,7.831,10.07
177,2021-07-12 03:00:00,22.79,7.8286,10.06
178,2021-07-12 04:00:02,22.69,7.8351,10.06
179,2021-07-12 04:59:57,22.41,7.8383,10.05
180,2021-07-12 06:00:00,22.38,7.8226,10.05
181,2021-07-12 07:00:02,22.41,7.8002,10.05
182,2021-07-12 07:59:57,22.33,7.7905,10.04
183,2021-07-12 09:00:00,22.36,7.7787,10.0
184,2021-07-12 10:00:02,22.38,7.7136,9.94
185,2021-07-12 10:59:57,22.43,7.5486,9.94
189,2021-07-12 15:00:00,22.36,7.7394,9.99
190,2021-07-12 16:00:02,22.41,7.7869,9.99
191,2021-07-12 16:59:57,22.48,7.8008,9.99
192,2021-07-12 18:00:00,22.64,7.835,9.99
193,2021-07-12 19:00:02,22.76,7.8841,10.01
194,2021-07-12 19:59:57,22.74,7.9048,10.01
195,2021-07-12 21:00:00,22.79,7.8702,9.99
196,2021-07-12 22:00:02,22.74,7.8154,9.98
197,2021-07-12 22:59:57,22.74,7.7169,9.96
198,2021-07-13 00:00:00,22.84,7.4437,9.98
200,2021-07-13 01:59:57,22.23,7.8237,9.99
201,2021-07-13 03:00:00,22.16,7.8436,9.98
202,2021-07-13 04:00:02,22.11,7.8453,9.97
203,2021-07-13 04:59:57,22.06,7.8412,9.96
204,2021-07-13 06:00:00,21.91,7.8284,9.96
205,2021-07-13 07:00:02,21.86,7.8317,9.96
206,2021-07-13 07:59:57,21.83,7.8248,9.97
208,2021-07-13 15:00:00,21.73,7.709,9.9
209,2021-07-13 16:00:02,21.83,7.8536,9.9
210,2021-07-13 16:59:57,22.01,7.905,9.91
211,2021-07-13 18:00:00,22.03,7.9326,9.9
212,2021-07-13 19:00:02,22.03,7.9463,9.91
213,2021-07-13 19:59:57,22.08,7.9528,9.92
214,2021-07-13 21:00:00,22.08,7.9473,9.91
215,2021-07-13 22:00:02,22.11,7.9319,9.89
216,2021-07-13 22:59:57,22.13,7.896,9.87
217,2021-07-14 00:00:00,22.13,7.7887,9.87
218,2021-07-14 01:00:02,22.18,7.5586,9.88
219,2021-07-14 01:59:57,22.11,7.5722,9.89
220,2021-07-14 03:00:00,21.78,7.8432,9.89
221,2021-07-14 04:00:02,21.71,7.8369,9.88
222,2021-07-14 04:59:57,21.61,7.8597,9.88
223,2021-07-14 06:00:00,21.53,7.8471,9.87
224,2021-07-14 07:00:02,21.56,7.8564,9.87
225,2021-07-14 07:59:57,21.51,7.8285,9.87
226,2021-07-14 09:00:00,21.46,7.8037,9.87
227,2021-07-14 10:00:02,21.46,7.8073,9.82
228,2021-07-14 10:59:57,21.44,7.7774,9.77
229,2021-07-14 12:00:00,21.41,7.6579,9.76
230,2021-07-14 13:00:02,21.53,7.4603,9.76
233,2021-07-14 16:00:02,21.46,7.8153,9.81
234,2021-07-14 16:59:57,21.61,7.8609,9.81
235,2021-07-14 18:00:00,21.88,7.8787,9.81
236,2021-07-14 19:00:02,22.06,7.8833,9.81
237,2021-07-14 19:59:57,22.08,7.9181,9.82
238,2021-07-14 21:00:00,22.13,7.9287,9.83
239,2021-07-14 22:00:02,22.26,7.9238,9.82
240,2021-07-14 22:59:57,22.31,7.8969,9.78
241,2021-07-15 00:00:00,22.36,7.8454,9.77
242,2021-07-15 01:00:02,22.61,7.699,9.76
243,2021-07-15 01:59:57,22.74,7.4644,9.8
244,2021-07-15 03:00:00,22.58,7.5655,9.81
245,2021-07-15 04:00:02,21.98,7.8382,9.8
246,2021-07-15 04:59:57,21.96,7.8491,9.79
247,2021-07-15 06:00:00,21.98,7.8619,9.79
248,2021-07-15 07:00:02,21.91,7.8529,9.78
249,2021-07-15 07:59:57,21.86,7.8452,9.79
250,2021-07-15 09:00:00,21.88,7.8297,9.79
251,2021-07-15 10:00:02,21.86,7.8174,9.8
252,2021-07-15 10:59:57,21.86,7.8044,9.75
253,2021-07-15 12:00:00,21.96,7.7607,9.72
254,2021-07-15 13:00:02,22.18,7.6309,9.71
255,2021-07-15 13:59:57,22.51,7.3848,9.73
257,2021-07-15 16:00:02,22.43,7.6981,9.79
258,2021-07-15 16:59:57,22.79,7.8383,9.76
259,2021-07-15 18:00:00,22.99,7.8574,9.79
260,2021-07-15 19:00:02,23.19,7.8756,9.79
261,2021-07-15 19:59:57,23.34,7.8832,9.8
262,2021-07-15 21:00:00,23.45,7.9041,9.81
263,2021-07-15 22:00:02,23.5,7.9186,9.82
264,2021-07-15 22:59:57,23.63,7.9091,9.8
265,2021-07-16 00:00:00,23.63,7.8692,9.79
266,2021-07-16 01:00:02,23.78,7.8049,9.77
267,2021-07-16 01:59:57,24.04,7.652,9.77
268,2021-07-16 03:00:00,24.14,7.463,9.8
