STUDY_ID,EVENT_ID,STAT_ID,PROF_DATE_TIME_LOCAL,SAMPLE_DEPTH_CODE,ORDERED_DEPTH_CODE,SAMPLE_ID,DEPTH (m),SAMPLE_DEPTH_TOP,SAMPLE_DEPTH_BOTTOM,CONDTVY (mS/cm),DISS_OXYGEN (mg/L),PCT_SAT (PCT),FLUORESCENCE (ug/L),FLU_RAW (ug/L),SAL (PSU),SIGMA_T (),TEMP (C),TRANS (m-1),pH (),LATITUDE,LONGITUDE
BWQM,WN225,F23,6/28/2022 6:13,A,A,WN22502E,1.46,0.52,1.52,40.35,7.673,95.78,1.0,2.921,31.13,22.56,16.92,1.831,7.997,42.3391667,-70.942
BWQM,WN225,F23,6/28/2022 6:13,B,B,WN22502D,7.93,6.99,7.99,39.85,7.594,93.33,0.85,2.505,31.37,22.94,16.06,1.487,7.984,42.3391667,-70.942
BWQM,WN225,F23,6/28/2022 6:13,C,C,WN22502C,11.64,10.71,11.71,39.48,7.673,93.45,0.86,2.53,31.4,23.07,15.59,1.605,7.984,42.3391667,-70.942
BWQM,WN225,F23,6/28/2022 6:13,D,D,WN22502B,18.79,17.79,18.79,39.05,7.73,93.14,0.8,2.386,31.46,23.23,15.04,1.611,7.978,42.3391667,-70.942
BWQM,WN225,F23,6/28/2022 6:13,E,E,WN22502A,26.01,25.05,26.05,37.26,7.878,90.74,0.64,1.971,31.65,23.83,12.8,1.772,7.973,42.3391667,-70.942
BWQM,WN225,N01,6/28/2022 6:48,A,A,WN22503C,1.48,0.4,1.4,40.02,8.548,105.5,0.8,2.376,31.37,22.9,16.25,1.444,8.115,42.4193333,-70.8645
BWQM,WN225,N01,6/28/2022 6:48,B,B,WN22503B,4.2,3.14,4.14,39.85,8.67,106.5,1.67,4.671,31.41,22.98,16.01,1.452,8.097,42.4193333,-70.8645
BWQM,WN225,N01,6/28/2022 6:48,C,C,WN22503A,10.33,9.25,10.25,36.75,9.66,109.8,1.94,5.396,31.72,24.01,12.15,1.26,8.096,42.4193333,-70.8645
BWQM,WN225,N01,6/28/2022 6:48,D,D,WN225039,20.82,19.87,20.87,34.18,8.81,93.53,0.99,2.89,31.91,24.7,8.983,0.7757,7.961,42.4193333,-70.8645
BWQM,WN225,N01,6/28/2022 6:48,E,E,WN225038,28.49,27.56,28.56,33.96,8.503,89.65,0.36,1.229,31.96,24.79,8.664,0.7555,7.947,42.4193333,-70.8645
BWQM,WN225,N04,6/28/2022 7:25,A,A,WN22504A,1.55,0.46,1.46,41.2,8.526,107.7,0.44,1.442,31.44,22.68,17.45,1.042,8.199,42.4438333,-70.7365
