STUDY_ID,EVENT_ID,STAT_ID,ORDERED_DEPTH_CODE,SAMPLE_ID,SAMPLE_DEPTH_TOP,SAMPLE_DEPTH_BOTTOM,LATITUDE,LONGITUDE,PROF_DATE_TIME_LOCAL,SAMPLE_DEPTH_CODE,DEPTH (m),CONDTVY (mS/cm),DISS_OXYGEN (mg/L),FLUORESCENCE (ug/L),FLU_RAW (ug/L),PCT_SAT (PCT),pH (),VAL_QUAL,SAL (PSU),SIGMA_T (),TEMP (C),TRANS (m-1),Station_D,Air Irradiance,Water Irradiance,TA in (mmol/kgSW),TCO2 in (mmol/kgSW),t(oC) out,P (dbars) out,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm),Field Replicate,VINDTA Sample Name,Sampled Bottle Name,Sampling Date,Sampling Depth,Salinity - Carolina,Salinity - Ries ,Run T,Sampling T,Pressure,Comments,Data Source
BWQM,WN222,F23,A,WN22201D,0.67,1.67,42.3386917,-70.9389648,3/23/2022 6:14,A,1.65,31.46,10.65,-0.1731,1.402,104.8,8.298,,32.01,25.22,5.709,1.693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN222,F23,B,WN22201C,5.98,6.98,42.3387489,-70.9390792,3/23/2022 6:14,B,7,31.47,10.65,-0.1822,1.393,104.9,8.296,,32.02,25.23,5.709,1.704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN222,F23,C,WN22201B,11.59,12.59,42.3389358,-70.9392089,3/23/2022 6:14,C,12.46,31.51,10.67,-0.302,1.271,105.1,8.293,,32.05,25.26,5.714,1.759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN222,F23,D,WN22201A,18.13,19.13,42.3390655,-70.9395751,3/23/2022 6:14,D,19.14,31.5,10.7,-0.2531,1.321,105.4,8.298,,32.05,25.26,5.709,1.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN222,F23,E,WN222019,22.46,23.46,42.3391532,-70.9399032,3/23/2022 6:14,E,23.54,31.62,10.71,-0.4073,1.16,105.6,8.295,,32.16,25.34,5.722,1.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN222,N01,A,WN22202B,0.97,1.97,42.4183578,-70.8630523,3/23/2022 7:01,A,1.81,31.27,11.22,4.18,4.281,109.5,8.329,,32.17,25.4,5.31,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN222,N01,B,WN22202A,7.5,8.5,42.4184532,-70.8631668,3/23/2022 7:01,B,8.17,31.72,11.26,7.104,6.058,110.5,8.323,,32.58,25.71,5.421,0.9613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN222,N01,C,WN222029,14.04,15.04,42.4185752,-70.8632736,3/23/2022 7:01,C,14.79,31.67,10.88,5.879,5.456,106.4,8.286,,32.68,25.81,5.256,1.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN222,N01,D,WN222028,20.75,21.75,42.4187011,-70.8633728,3/23/2022 7:01,D,21.83,31.64,10.79,4.735,4.854,105.5,8.275,,32.69,25.82,5.213,1.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN222,N01,E,WN222027,27.4,28.4,42.4188117,-70.8635101,3/23/2022 7:01,E,28.59,31.64,10.77,4.959,4.975,105.2,8.267,,32.69,25.82,5.2,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN222,N04,E,WN222035,44.87,45.87,42.4429283,-70.736412,3/23/2022 7:46,E,45.78,31.57,9.868,-0.617,0.9296,95.94,8.184,,32.83,25.96,4.964,0.6883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN222,N04,D,WN222036,34.18,35.18,42.4427185,-70.7363662,3/23/2022 7:46,D,34.93,31.52,9.995,0.4678,1.998,97.12,8.199,,32.8,25.93,4.952,0.7554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN222,N04,B,WN222038,12.81,13.81,42.4424629,-70.7363357,3/23/2022 7:46,B,13.85,31.47,10.79,2.884,3.768,105.9,8.274,,32.18,25.38,5.533,0.8028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN222,N04,A,WN222039,1.03,2.03,42.4423408,-70.7363204,3/23/2022 7:46,A,2.05,31.38,10.81,2.795,2.419,106,8.28,,32.14,25.35,5.481,0.7444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN222,N04,C,WN222037,23.56,24.56,42.4425506,-70.7363662,3/23/2022 7:46,C,24.45,31.69,10.6,4.657,4.811,103.7,8.248,,32.73,25.85,5.22,0.9139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN222,F22,A,WN22204D,0.79,1.79,42.4785232,-70.6182022,3/23/2022 8:33,A,1.59,31.34,10.96,1.324,1.122,107.6,8.288,,31.99,25.23,5.585,0.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN222,F22,B,WN22204C,17.58,18.58,42.4788284,-70.6181259,3/23/2022 8:33,C,18.67,31.55,10.77,1.771,3.02,105.9,8.265,,32.17,25.36,5.629,0.7675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN222,F22,C,WN22204B,36.62,37.62,42.4792137,-70.6180343,3/23/2022 8:33,B,37.6,31.83,10.21,-0.4059,1.162,99.77,8.205,,32.95,26.03,5.157,0.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN222,F22,D,WN22204A,59.15,60.15,42.4795722,-70.6180267,3/23/2022 8:33,D,60.14,32.06,9.999,-0.8799,0.616,98.12,8.192,,33.08,26.12,5.275,0.6166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN222,F22,E,WN222049,74.06,75.06,42.4796943,-70.6180038,3/23/2022 8:33,E,74.86,32.14,9.917,-0.9095,0.5787,97.46,8.185,,33.1,26.13,5.337,0.8797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN222,N21,E,WN22205D,30.82,31.82,42.3869819,-70.7857513,3/23/2022 9:51,E,31.92,31.58,10.6,2.325,3.404,103.6,8.213,,32.58,25.73,5.242,0.9912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN222,N21,D,WN22205E,22.95,23.95,42.3868713,-70.7857818,3/23/2022 9:51,D,23.84,31.48,10.64,4.342,4.636,104.1,8.201,,32.38,25.56,5.344,1.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN222,N21,B,WN222060,7.44,8.44,42.3864669,-70.7860183,3/23/2022 9:51,B,8.49,31.37,10.75,4.022,4.454,105.1,8.218,,32.21,25.42,5.385,1.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
