Bottle Number,Bottle Label,Sampling Date,Date Processed,Bottle Cleaned,Observations
1,F06-d,3/23/2022,,,
2,F06-m,3/23/2022,,,
3,F06-s,3/23/2022,,,
4,N07-d,3/23/2022,,,
5,N07-m1,3/23/2022,,,
6,N07-m2,3/23/2022,,,
7,N07-s,3/23/2022,,,
8,F06-d,4/13/2022,,,
9,F06-m,4/13/2022,,,
10,F06-s,4/13/2022,,,
11,N07-d,4/13/2022,,,
12,N07-m,4/13/2022,,,
13,N07-s,4/13/2022,,,
14,F22-d,4/13/2022,,,
15,F22-m1,4/13/2022,,,
16,F22-m2,4/13/2022,,,
17,F22-s,4/13/2022,,,
18,N01-d,4/13/2022,,,
19,N01-m1,4/13/2022,,,
20,N01-m2,4/13/2022,,,
21,N01-s,4/13/2022,,,
22,F06-d,5/13/2022,,,
23,F06-m,5/13/2022,,,
24,F06-s,5/13/2022,,,
25,N07-d,5/13/2022,,,
26,N07-m,5/13/2022,,,
27,N07-s,5/13/2022,,,
28,F22-d,5/13/2022,,,
29,F22-m1,5/13/2022,,,
30,F22-m2,5/13/2022,,,
31,F22-s,5/13/2022,,,
32,N01-d,5/13/2022,,,
33,N01-m1,5/13/2022,,,
34,N01-m2,5/13/2022,,,
35,N01-s,5/13/2022,,,
