,Bottle Number,Bottle Label,Sampling Date,Date Processed,Bottle Cleaned,Observations,PROF_DATE_TIME_LOCAL,SAMPLE_DEPTH_CODE,DEPTH (m),SAL (PSU),TEMP (C)
0,1,F06-d,3/23/2022,,,,3/23/2022 12:54,E,29.65,32.73,5.117
1,2,F06-m,3/23/2022,,,,3/23/2022 12:54,C,14.76,32.71,5.121
2,3,F06-s,3/23/2022,,,,3/23/2022 12:54,A,2.19,32.7,5.337
3,4,N07-d,3/23/2022,,,,3/23/2022 10:54,E,41.91,32.84,5.022
4,5,N07-m1,3/23/2022,,,,3/23/2022 10:54,C,22.03,32.67,5.275
5,6,N07-m2,3/23/2022,,,,3/23/2022 10:54,C,22.03,32.67,5.275
6,7,N07-s,3/23/2022,,,,3/23/2022 10:54,A,1.66,32.48,5.599
7,8,F06-d,4/13/2022,,,,4/13/2022 12:29,E,29.1,32.37,5.876
8,9,F06-m,4/13/2022,,,,4/13/2022 12:29,C,13.29,32.23,6.084
9,10,F06-s,4/13/2022,,,,4/13/2022 12:29,A,1.67,32.12,7.075
10,11,N07-d,4/13/2022,,,,4/13/2022 10:32,E,47.77,32.6,5.3
11,12,N07-m,4/13/2022,,,,4/13/2022 10:32,C,10.24,32.17,5.928
12,13,N07-s,4/13/2022,,,,4/13/2022 10:32,A,1.77,31.08,7.378
13,14,F22-d,4/13/2022,,,,4/13/2022 8:30,E,76.29,32.93,5.234
14,15,F22-m1,4/13/2022,,,,4/13/2022 8:30,C,17.71,31.65,5.797
15,16,F22-m2,4/13/2022,,,,4/13/2022 8:30,C,17.71,31.65,5.797
16,17,F22-s,4/13/2022,,,,4/13/2022 8:30,A,1.77,31.06,6.815
17,18,N01-d,4/13/2022,,,,4/13/2022 7:01,E,28.9,32.33,5.67
18,19,N01-m1,4/13/2022,,,,4/13/2022 7:01,C,8.98,31.9,6.429
19,20,N01-m2,4/13/2022,,,,4/13/2022 7:01,C,8.98,31.9,6.429
20,21,N01-s,4/13/2022,,,,4/13/2022 7:01,A,1.8,31.89,6.792
21,22,F06-d,5/13/2022,,,,5/13/2022 7:57,E,29.98,31.83,7.671
22,23,F06-m,5/13/2022,,,,5/13/2022 7:57,C,7.38,31.73,8.451
23,24,F06-s,5/13/2022,,,,5/13/2022 7:57,A,1.82,31.54,8.626
24,25,N07-d,5/13/2022,,,,5/13/2022 9:48,E,47.92,32.28,6.029
25,26,N07-m,5/13/2022,,,,5/13/2022 9:48,C,7.54,31.71,8.298
26,27,N07-s,5/13/2022,,,,5/13/2022 9:48,A,1.86,31.2,9.67
27,28,F22-d,5/13/2022,,,,5/13/2022 11:46,E,77.68,32.67,5.346
28,29,F22-m1,5/13/2022,,,,5/13/2022 11:46,C,11.31,31.39,8.088
29,30,F22-m2,5/13/2022,,,,5/13/2022 11:46,C,11.31,31.39,8.088
30,31,F22-s,5/13/2022,,,,5/13/2022 11:46,A,1.84,31.33,8.955
31,32,N01-d,5/13/2022,,,,5/13/2022 13:19,E,27.32,31.46,7.944
32,33,N01-m1,5/13/2022,,,,5/13/2022 13:19,C,7.13,31.1,10.04
33,34,N01-m2,5/13/2022,,,,5/13/2022 13:19,C,7.13,31.1,10.04
34,35,N01-s,5/13/2022,,,,5/13/2022 13:19,A,1.85,31.08,10.86
35,36,F06-d,6/28/2022,,,,6/28/2022 11:14,E,32.22,31.98,8.403
36,37,F06-m,6/28/2022,,,,6/28/2022 11:14,C,7.51,31.71,12.13
37,38,F06-s,6/28/2022,,,,6/28/2022 11:14,A,2.04,31.51,16.08
38,39,N07-d,6/28/2022,,,,6/28/2022 9:42,E,45.95,32.1,7.519
39,40,N07-m,6/28/2022,,,,6/28/2022 9:42,C,19.97,31.9,9.803
40,41,N07-s,6/28/2022,,,,6/28/2022 9:42,A,2.04,31.4,17.78
41,42,F22-d,6/28/2022,,,,6/28/2022 8:05,E,76.43,32.37,6.527
42,43,F22-m1,6/28/2022,,,,6/28/2022 8:05,C,12.79,31.74,10.82
43,44,F22-m2,6/28/2022,,,,6/28/2022 8:05,C,12.79,31.74,10.82
44,45,F22-s,6/28/2022,,,,6/28/2022 8:05,A,2.05,31.43,16.47
45,46,N01-d,6/28/2022,,,,6/28/2022 6:48,E,28.49,31.96,8.664
46,47,N01-m1,6/28/2022,,,,6/28/2022 6:48,C,10.33,31.72,12.15
47,48,N01-m2,6/28/2022,,,,6/28/2022 6:48,C,10.33,31.72,12.15
48,49,N01-s,6/28/2022,,,,6/28/2022 6:48,A,1.48,31.37,16.25
49,50,HAR-s,5/17/2022,,,,,,0.5,29.629,15.182
50,51,HAR-d1,5/17/2022,,,,,,2.429,29.744,15.156
51,52,HAR-d2,5/17/2022,,,,,,2.429,29.744,15.156
52,53,Poc-1,5/17/2022,,,,,,1.5,29.732,15.157
53,54,Poc-2,5/17/2022,,,,,,1.5,29.732,15.157
54,55,HAR-s,6/2/2022,,,,,,1.5,29.36,17.642
55,56,HAR-d1,6/2/2022,,,,,,1.5,29.36,17.642
56,57,HAR-d2,6/2/2022,,,,,,2.396,29.621,17.627
57,58,Poc-1,6/2/2022,,,,,,2.396,29.621,17.627
58,59,Poc-2,6/2/2022,,,,,,0.5,28.777,17.714
59,60,HAR-s,6/9/2022,,,,,,3.172,30.072,19.981
60,61,HAR-d1,6/9/2022,,,,,,3.172,30.072,19.981
61,62,HAR-d2,6/9/2022,,,,,,0.5,29.973,19.979
62,63,HAR-s,7/14/2022,,,,,,1.418,25.99,25.283
63,64,HAR-d1,7/14/2022,,,,,,1.418,25.99,25.283
64,65,HAR-d2,7/14/2022,,,,,,0.5,23.412,26.074
65,66,Poc-1,7/14/2022,,,,,,1.5,25.6,25.417
66,67,Poc-2,7/14/2022,,,,,,1.5,25.6,25.417
67,68,HAR-s,8/8/2022,,,,,,2.824,31.128,26.444
68,69,HAR-d1,8/8/2022,,,,,,2.824,31.128,26.444
69,70,HAR-d2,8/8/2022,,,,,,0.5,31.031,26.455
70,71,Poc-1,8/8/2022,,,,,,1.5,31.07,26.439
71,72,Poc-2,8/8/2022,,,,,,1.5,31.07,26.439
72,73,HAR-s,9/22/2022,,,,,,3.324,31.684,20.197
73,74,HAR-d1,9/22/2022,,,,,,3.324,31.684,20.197
74,75,HAR-d2,9/22/2022,,,,,,0.5,31.657,20.189
75,76,Poc-1,9/22/2022,,,,,,1.5,31.751,20.188
