Salinity_Time,Salinity,Datetime
2022-06-16 11:15:00,31.5,2022-06-16 11:15:00
2022-05-17 10:45:00,30.3,2022-05-17 10:45:00
2022-05-17 10:30:00,30.3,2022-05-17 10:30:00
2022-05-17 11:00:00,30.2,2022-05-17 11:00:00
2022-06-17 12:15:00,31.4,2022-06-17 12:15:00
2022-05-18 12:00:00,30.9,2022-05-18 12:00:00
2022-11-27 00:00:00,31.0,2022-11-27 00:00:00
2022-05-17 10:15:00,30.3,2022-05-17 10:15:00
2022-05-19 12:15:00,29.9,2022-05-19 12:15:00
2022-05-16 09:45:00,30.1,2022-05-16 09:45:00
2022-05-18 11:00:00,30.8,2022-05-18 11:00:00
2022-05-16 10:15:00,30.0,2022-05-16 10:15:00
2022-05-16 09:30:00,30.0,2022-05-16 09:30:00
2022-06-18 13:00:00,31.7,2022-06-18 13:00:00
2022-05-17 10:00:00,30.3,2022-05-17 10:00:00
2022-11-24 21:45:00,31.5,2022-11-24 21:45:00
2022-06-18 12:45:00,31.6,2022-06-18 12:45:00
2022-05-17 11:30:00,30.3,2022-05-17 11:30:00
2022-05-16 10:30:00,29.9,2022-05-16 10:30:00
2022-05-16 09:15:00,30.0,2022-05-16 09:15:00
2022-05-20 13:00:00,31.1,2022-05-20 13:00:00
2022-08-13 10:00:00,30.8,2022-08-13 10:00:00
2022-05-15 09:00:00,30.0,2022-05-15 09:00:00
2022-05-18 12:30:00,30.7,2022-05-18 12:30:00
2022-06-13 08:15:00,29.4,2022-06-13 08:15:00
2022-05-15 08:45:00,30.1,2022-05-15 08:45:00
2022-05-15 09:30:00,30.0,2022-05-15 09:30:00
2022-05-16 10:45:00,29.5,2022-05-16 10:45:00
2022-05-17 11:45:00,30.3,2022-05-17 11:45:00
2022-05-16 09:00:00,30.1,2022-05-16 09:00:00
2022-05-19 11:30:00,29.9,2022-05-19 11:30:00
2022-05-15 08:30:00,30.2,2022-05-15 08:30:00
2022-06-18 14:00:00,31.7,2022-06-18 14:00:00
2022-05-15 09:45:00,30.0,2022-05-15 09:45:00
2022-05-19 13:30:00,29.8,2022-05-19 13:30:00
2022-05-20 14:15:00,31.1,2022-05-20 14:15:00
2022-05-18 12:45:00,31.0,2022-05-18 12:45:00
2022-06-13 09:30:00,29.4,2022-06-13 09:30:00
2022-05-21 13:45:00,30.1,2022-05-21 13:45:00
2022-05-16 11:00:00,29.5,2022-05-16 11:00:00
2022-05-15 08:15:00,30.2,2022-05-15 08:15:00
2022-05-14 08:15:00,31.0,2022-05-14 08:15:00
2022-05-14 08:30:00,30.9,2022-05-14 08:30:00
2022-05-14 08:00:00,31.0,2022-05-14 08:00:00
2022-05-17 22:30:00,31.0,2022-05-17 22:30:00
2022-05-15 21:00:00,29.6,2022-05-15 21:00:00
2022-05-14 08:45:00,30.9,2022-05-14 08:45:00
2022-05-15 21:45:00,29.6,2022-05-15 21:45:00
2022-05-14 07:45:00,30.9,2022-05-14 07:45:00
2022-05-14 20:30:00,29.7,2022-05-14 20:30:00
2022-05-14 20:45:00,29.7,2022-05-14 20:45:00
2022-05-15 20:45:00,29.6,2022-05-15 20:45:00
2022-05-14 20:15:00,29.7,2022-05-14 20:15:00
2022-05-14 09:00:00,30.9,2022-05-14 09:00:00
2022-05-16 11:15:00,29.6,2022-05-16 11:15:00
2022-05-14 07:30:00,30.9,2022-05-14 07:30:00
2022-05-23 16:00:00,31.3,2022-05-23 16:00:00
2022-05-14 20:00:00,29.7,2022-05-14 20:00:00
2022-05-16 08:30:00,30.2,2022-05-16 08:30:00
2022-05-13 19:45:00,30.1,2022-05-13 19:45:00
2022-05-13 19:30:00,29.9,2022-05-13 19:30:00
2022-05-16 23:00:00,29.4,2022-05-16 23:00:00
2022-05-13 07:30:00,30.7,2022-05-13 07:30:00
2022-05-13 07:15:00,30.7,2022-05-13 07:15:00
2022-05-13 07:45:00,30.6,2022-05-13 07:45:00
2022-05-13 19:15:00,30.2,2022-05-13 19:15:00
2022-05-13 07:00:00,30.5,2022-05-13 07:00:00
2022-05-22 16:30:00,29.4,2022-05-22 16:30:00
2022-05-24 16:45:00,31.1,2022-05-24 16:45:00
2022-05-12 19:00:00,29.7,2022-05-12 19:00:00
2022-05-12 18:45:00,30.0,2022-05-12 18:45:00
2022-05-13 20:30:00,30.0,2022-05-13 20:30:00
2022-05-13 19:00:00,30.2,2022-05-13 19:00:00
2022-05-13 06:45:00,30.7,2022-05-13 06:45:00
2022-05-12 18:30:00,30.2,2022-05-12 18:30:00
2022-05-13 08:15:00,30.9,2022-05-13 08:15:00
2022-05-16 08:15:00,30.3,2022-05-16 08:15:00
2022-05-17 12:30:00,30.2,2022-05-17 12:30:00
2022-05-14 07:00:00,30.9,2022-05-14 07:00:00
2022-05-23 03:30:00,30.2,2022-05-23 03:30:00
2022-05-12 18:15:00,30.5,2022-05-12 18:15:00
2022-05-12 19:45:00,29.3,2022-05-12 19:45:00
2022-05-13 18:45:00,30.2,2022-05-13 18:45:00
2022-05-18 09:45:00,30.4,2022-05-18 09:45:00
2022-05-13 08:30:00,30.8,2022-05-13 08:30:00
2022-05-15 10:45:00,29.9,2022-05-15 10:45:00
2022-05-18 00:15:00,31.0,2022-05-18 00:15:00
2022-05-14 09:45:00,29.7,2022-05-14 09:45:00
2022-05-12 18:00:00,31.0,2022-05-12 18:00:00
2022-05-12 20:00:00,29.2,2022-05-12 20:00:00
2022-05-16 23:30:00,29.8,2022-05-16 23:30:00
2022-05-13 21:00:00,29.6,2022-05-13 21:00:00
2022-05-13 06:15:00,30.8,2022-05-13 06:15:00
2022-05-13 18:30:00,30.4,2022-05-13 18:30:00
2022-05-15 22:45:00,29.9,2022-05-15 22:45:00
2022-05-13 08:45:00,30.7,2022-05-13 08:45:00
2022-05-17 08:45:00,30.3,2022-05-17 08:45:00
2022-05-21 16:15:00,29.8,2022-05-21 16:15:00
2022-05-12 17:45:00,31.1,2022-05-12 17:45:00
2022-05-12 20:15:00,29.3,2022-05-12 20:15:00
2022-05-15 07:15:00,30.2,2022-05-15 07:15:00
2022-05-22 01:30:00,29.9,2022-05-22 01:30:00
2022-05-14 10:00:00,29.7,2022-05-14 10:00:00
2022-06-01 22:45:00,30.3,2022-06-01 22:45:00
2022-05-13 06:00:00,30.9,2022-05-13 06:00:00
2022-05-17 21:15:00,30.6,2022-05-17 21:15:00
2022-05-13 18:15:00,30.3,2022-05-13 18:15:00
2022-05-13 09:00:00,30.8,2022-05-13 09:00:00
2022-05-22 04:00:00,30.1,2022-05-22 04:00:00
2022-05-14 06:30:00,30.9,2022-05-14 06:30:00
2022-05-12 17:30:00,31.1,2022-05-12 17:30:00
2022-05-12 20:30:00,30.2,2022-05-12 20:30:00
2022-05-20 02:15:00,30.6,2022-05-20 02:15:00
2022-05-22 01:15:00,29.9,2022-05-22 01:15:00
2022-05-14 22:15:00,29.7,2022-05-14 22:15:00
2022-05-18 22:00:00,29.7,2022-05-18 22:00:00
2022-05-15 19:30:00,29.3,2022-05-15 19:30:00
2022-05-16 20:15:00,30.1,2022-05-16 20:15:00
2022-05-13 05:45:00,30.8,2022-05-13 05:45:00
2022-05-15 07:00:00,30.2,2022-05-15 07:00:00
2022-05-15 11:15:00,29.8,2022-05-15 11:15:00
2022-05-13 09:15:00,30.8,2022-05-13 09:15:00
2022-05-17 21:00:00,30.5,2022-05-17 21:00:00
2022-05-12 17:15:00,31.0,2022-05-12 17:15:00
2022-05-26 09:00:00,30.2,2022-05-26 09:00:00
2022-05-18 09:15:00,30.2,2022-05-18 09:15:00
2022-05-14 06:15:00,31.0,2022-05-14 06:15:00
2022-05-17 00:00:00,29.7,2022-05-17 00:00:00
2022-05-21 16:45:00,29.7,2022-05-21 16:45:00
2022-05-15 23:15:00,30.0,2022-05-15 23:15:00
2022-05-22 17:45:00,29.0,2022-05-22 17:45:00
2022-05-19 22:45:00,30.4,2022-05-19 22:45:00
2022-05-14 22:30:00,29.7,2022-05-14 22:30:00
2022-05-13 05:30:00,30.8,2022-05-13 05:30:00
2022-05-13 21:45:00,29.4,2022-05-13 21:45:00
2022-05-13 09:30:00,30.9,2022-05-13 09:30:00
2022-05-13 17:45:00,30.4,2022-05-13 17:45:00
2022-05-12 17:00:00,31.0,2022-05-12 17:00:00
2022-05-15 11:30:00,29.7,2022-05-15 11:30:00
2022-05-15 06:45:00,30.2,2022-05-15 06:45:00
2022-05-17 08:15:00,30.2,2022-05-17 08:15:00
2022-05-17 20:45:00,30.4,2022-05-17 20:45:00
2022-05-21 12:00:00,30.1,2022-05-21 12:00:00
2022-05-14 06:00:00,30.9,2022-05-14 06:00:00
2022-05-21 17:00:00,29.8,2022-05-21 17:00:00
2022-05-25 08:15:00,30.6,2022-05-25 08:15:00
2022-05-16 12:30:00,29.8,2022-05-16 12:30:00
2022-05-17 00:15:00,29.8,2022-05-17 00:15:00
2022-05-18 09:00:00,30.2,2022-05-18 09:00:00
2022-05-13 05:15:00,30.7,2022-05-13 05:15:00
2022-05-13 22:00:00,29.2,2022-05-13 22:00:00
2022-05-12 21:15:00,30.0,2022-05-12 21:15:00
2022-05-12 16:45:00,31.0,2022-05-12 16:45:00
2022-05-26 09:30:00,30.2,2022-05-26 09:30:00
2022-05-16 19:45:00,30.0,2022-05-16 19:45:00
2022-05-19 15:15:00,29.8,2022-05-19 15:15:00
2022-05-29 23:45:00,29.7,2022-05-29 23:45:00
2022-05-15 11:45:00,29.7,2022-05-15 11:45:00
