SAMI2-pH
QC_PH version	 52.00
     .13	 Salinity	  35.00
Seawater
DateTime	 SAMIpH	 pHerror	 TempC	 Battery V	 Flags(Outlier,Pump,Sat,Blank)
08/08/2019 14:58:32 	       7.8254	      0.00670	      23.1222	      10.7996	 0000 
08/08/2019 15:58:31 	       7.7845	      0.01274	      23.5815	      10.8105	 0000 
08/08/2019 16:58:31 	       7.8445	      0.00339	      24.4323	      10.8179	 0000 
08/08/2019 17:58:31 	       7.9101	      0.00698	      25.5324	      10.8325	 0000 
08/08/2019 18:58:31 	       7.8770	      0.00539	      26.3575	      10.8435	 0000 
08/08/2019 19:58:31 	       7.8847	      0.00772	      26.4649	      10.8508	 0000 
08/08/2019 20:58:31 	       7.8871	      0.00921	      22.8431	      10.8435	 0000 
08/08/2019 21:58:31 	       7.8970	      0.00432	      23.5559	      10.8252	 0000 
08/08/2019 22:58:31 	       7.9706	      0.00374	      22.0876	      10.8179	 0000 
08/08/2019 23:58:31 	       7.9343	      0.00433	      22.1628	      10.8105	 0000 
08/09/2019 00:58:31 	       7.9010	      0.00512	      23.4025	      10.8142	 0000 
08/09/2019 01:58:31 	       7.9306	      0.00743	      23.1985	      10.8179	 0000 
08/09/2019 02:58:31 	       7.9544	      0.00495	      23.0713	      10.8179	 0000 
08/09/2019 03:58:31 	       7.9414	      0.00547	      22.9698	      10.8142	 0000 
08/09/2019 04:58:31 	       7.9853	      0.00991	      22.8684	      10.8105	 0000 
08/09/2019 05:58:31 	       7.9657	      0.00510	      22.7671	      10.8142	 0000 
08/09/2019 06:58:31 	       7.9317	      0.00698	      22.5651	      10.8105	 0000 
08/09/2019 07:58:31 	       7.9149	      0.00336	      22.3888	      10.8069	 0000 
08/09/2019 08:58:31 	       7.9193	      0.00489	      22.2130	      10.8032	 0000 
08/09/2019 09:58:31 	       7.7294	      0.00505	      20.4048	      10.7922	 0000 
08/09/2019 10:58:31 	       7.7106	      0.00454	      20.6499	      10.7849	 0000 
08/09/2019 11:58:31 	       7.7073	      0.00607	      21.0190	      10.7813	 0000 
08/09/2019 12:58:31 	       7.7067	      0.00271	      21.2413	      10.7849	 0000 
08/09/2019 13:58:31 	       7.7958	      0.00528	      21.8127	      10.7886	 0000 
08/09/2019 14:58:31 	       7.8943	      0.00303	      23.0205	      10.7959	 0000 
08/09/2019 15:58:31 	       7.9126	      0.00765	      23.9153	      10.8069	 0000 
08/09/2019 16:58:31 	       7.9368	      0.00596	      24.5622	      10.8179	 0000 
08/09/2019 17:58:31 	       7.9496	      0.00831	      25.8238	      10.8289	 0000 
08/09/2019 18:58:31 	       7.8952	      0.00499	      26.4917	      10.8398	 0000 
08/09/2019 19:58:31 	       7.9302	      0.01036	      27.0318	      10.8472	 0000 
08/09/2019 20:58:31 	       7.9163	      0.00355	      27.3856	      10.8545	 0000 
08/09/2019 21:58:31 	       7.9543	      0.00565	      23.5047	      10.8435	 0000 
08/09/2019 22:58:31 	       7.9938	      0.00364	      24.0958	      10.8289	 0000 
08/09/2019 23:58:31 	       8.0018	      0.00550	      23.0459	      10.8179	 0000 
08/10/2019 00:58:31 	       7.9404	      0.00796	      24.1991	      10.8142	 0000 
08/10/2019 01:58:31 	       7.9274	      0.00307	      24.0442	      10.8179	 0000 
08/10/2019 02:58:31 	       7.9468	      0.00893	      23.8639	      10.8142	 0000 
08/10/2019 03:58:31 	       7.9271	      0.00357	      23.5559	      10.8105	 0000 
08/10/2019 04:58:31 	       7.9847	      0.00544	      23.4025	      10.8105	 0000 
08/10/2019 05:58:31 	       8.0002	      0.00807	      23.2749	      10.8032	 0000 
08/10/2019 06:58:31 	       7.9278	      0.00367	      23.0459	      10.8069	 0000 
08/10/2019 07:58:31 	       7.9326	      0.00360	      22.7418	      10.7996	 0000 
08/10/2019 08:58:31 	       7.9111	      0.00395	      22.4895	      10.7959	 0000 
08/10/2019 09:58:31 	       7.8515	      0.00942	      22.2130	      10.7959	 0000 
08/10/2019 10:58:31 	       7.7743	      0.00471	      20.3559	      10.7849	 0000 
08/10/2019 11:58:31 	       7.7387	      0.00483	      20.5273	      10.7739	 0000 
08/10/2019 12:58:31 	       7.7260	      0.00364	      21.1424	      10.7703	 0000 
08/10/2019 13:58:31 	       7.7328	      0.00562	      21.4644	      10.7739	 0000 
08/10/2019 14:58:31 	       7.7808	      0.00477	      22.4140	      10.7776	 0000 
08/10/2019 15:58:31 	       7.7925	      0.00286	      23.0459	      10.7849	 0000 
08/10/2019 16:58:31 	       7.8329	      0.00354	      23.9926	      10.7922	 0000 
08/10/2019 17:58:31 	       7.8758	      0.00549	      24.4583	      10.8032	 0000 
08/10/2019 18:58:31 	       7.9346	      0.00763	      24.7185	      10.8105	 0000 
08/10/2019 19:58:31 	       7.8471	      0.00503	      24.6403	      10.8105	 0000 
08/10/2019 20:58:31 	       7.8357	      0.00595	      24.7446	      10.8105	 0000 
08/10/2019 21:58:31 	       7.8760	      0.00665	      24.5622	      10.8105	 0000 
08/10/2019 22:58:31 	       7.9290	      0.00713	      22.4140	      10.8032	 0000 
08/10/2019 23:58:31 	       8.0097	      0.00847	      22.9952	      10.7922	 0000 
08/11/2019 00:58:31 	       7.9739	      0.00711	      22.5903	      10.7886	 0000 
08/11/2019 01:58:31 	       7.9083	      0.00335	      22.8684	      10.7849	 0000 
08/11/2019 02:58:31 	       7.8910	      0.00630	      22.6913	      10.7849	 0000 
08/11/2019 03:58:31 	       7.9330	      0.00365	      22.5147	      10.7849	 0000 
08/11/2019 04:58:31 	       7.9455	      0.00974	      22.3637	      10.7813	 0000 
08/11/2019 05:58:31 	       7.9343	      0.00250	      22.0126	      10.7776	 0000 
08/11/2019 06:58:31 	       7.9457	      0.00387	      21.7379	      10.7739	 0000 
08/11/2019 07:58:31 	       7.8892	      0.00521	      21.4148	      10.7703	 0000 
08/11/2019 08:58:31 	       7.8836	      0.00474	      21.1671	      10.7629	 0000 
08/11/2019 09:58:31 	       7.8732	      0.00409	      20.8219	      10.7593	 0000 
08/11/2019 10:58:31 	       7.8362	      0.00286	      20.5763	      10.7556	 0000 
08/11/2019 11:58:31 	       7.8088	      0.00518	      19.8199	      10.7483	 0000 
08/11/2019 12:58:31 	       7.7740	      0.00503	      19.5533	      10.7410	 0000 
08/11/2019 13:58:31 	       7.7601	      0.02115	      20.3070	      10.7410	 0000 
08/11/2019 14:58:31 	       7.7693	      0.00343	      20.9697	      10.7446	 0000 
08/11/2019 15:58:31 	       7.9011	      0.00490	      21.8876	      10.7520	 0000 
08/11/2019 16:58:31 	       7.9444	      0.00681	      22.8684	      10.7629	 0000 
08/11/2019 17:58:31 	       7.9317	      0.00700	      23.7867	      10.7739	 0000 
08/11/2019 18:58:31 	       7.9093	      0.00469	      24.7185	      10.7886	 0000 
08/11/2019 19:58:31 	       7.9179	      0.00485	      25.0847	      10.7959	 0000 
08/11/2019 20:58:31 	       7.9756	      0.00458	      25.5852	      10.7996	 0000 
08/11/2019 21:58:31 	       7.9386	      0.00621	      25.8770	      10.8032	 0000 
08/11/2019 22:58:31 	       7.9115	      0.00797	      25.3476	      10.8032	 0000 
08/11/2019 23:58:31 	       7.9499	      0.00410	      22.2632	      10.7922	 0000 
08/12/2019 00:58:31 	       8.0080	      0.00415	      22.8684	      10.7776	 0000 
08/12/2019 01:58:31 	       8.0096	      0.00626	      22.9191	      10.7703	 0000 
08/12/2019 02:58:31 	       7.9540	      0.00585	      22.8177	      10.7703	 0000 
08/12/2019 03:58:31 	       7.8903	      0.00496	      22.6660	      10.7666	 0000 
08/12/2019 04:58:31 	       8.0262	      0.00741	      22.4643	      10.7629	 0000 
08/12/2019 05:58:31 	       8.0477	      0.00406	      22.2883	      10.7593	 0000 
08/12/2019 06:58:31 	       8.0324	      0.00795	      22.0876	      10.7556	 0000 
08/12/2019 07:58:31 	       8.0077	      0.00646	      21.9376	      10.7520	 0000 
08/12/2019 08:58:31 	       8.0114	      0.00882	      21.7878	      10.7520	 0000 
08/12/2019 09:58:31 	       7.9957	      0.00537	      21.6383	      10.7483	 0000 
08/12/2019 10:58:31 	       7.9488	      0.00492	      21.4644	      10.7483	 0000 
08/12/2019 11:58:31 	       7.9411	      0.00693	      21.3652	      10.7446	 0000 
08/12/2019 12:58:31 	       7.9213	      0.00557	      21.5886	      10.7446	 0000 
08/12/2019 13:58:31 	       7.8464	      0.00629	      21.2166	      10.7410	 0000 
08/12/2019 14:58:31 	       7.7917	      0.00553	      22.4140	      10.7410	 0000 
08/12/2019 15:58:31 	       7.8440	      0.00709	      22.9444	      10.7483	 0000 
08/12/2019 16:58:31 	       7.8940	      0.00440	      23.7867	      10.7556	 0000 
08/12/2019 17:58:31 	       7.9444	      0.00589	      24.5362	      10.7666	 0000 
08/12/2019 18:58:31 	       7.9366	      0.01899	      24.8490	      10.7739	 0000 
08/12/2019 19:58:31 	       7.9179	      0.00857	      24.9536	      10.7739	 0000 
08/12/2019 20:58:31 	       7.9273	      0.00455	      25.1634	      10.7776	 0000 
08/12/2019 21:58:31 	       7.9732	      0.00917	      25.0847	      10.7776	 0000 
08/12/2019 22:58:31 	       7.9995	      0.00544	      24.9013	      10.7776	 0000 
08/12/2019 23:58:31 	       8.0145	      0.00644	      24.6143	      10.7776	 0000 
08/13/2019 00:58:31 	       7.9707	      0.00520	      22.4140	      10.7629	 0000 
08/13/2019 01:58:31 	       7.9980	      0.00389	      22.5903	      10.7520	 0000 
08/13/2019 02:58:31 	       7.9814	      0.01000	      22.0376	      10.7446	 0000 
08/13/2019 03:58:31 	       7.9227	      0.00490	      22.5399	      10.7446	 0000 
08/13/2019 04:58:31 	       7.8990	      0.00568	      22.4140	      10.7446	 0000 
08/13/2019 05:58:31 	       7.9246	      0.01185	      22.2130	      10.7446	 0000 
08/13/2019 06:58:31 	       7.9431	      0.00350	      22.0376	      10.7410	 0000 
08/13/2019 07:58:31 	       7.9392	      0.00663	      21.9376	      10.7373	 0000 
08/13/2019 08:58:31 	       7.9196	      0.00557	      21.8626	      10.7336	 0000 
