	Date	Height (ft)
0	2021-06-18 01:36:00	2.15
1	2021-06-18 09:18:00	0.57
2	2021-06-18 14:18:00	2.2
3	2021-06-18 21:54:00	0.82
4	2021-06-19 02:30:00	2.14
5	2021-06-19 10:18:00	0.69
6	2021-06-19 15:06:00	2.57
7	2021-06-19 23:00:00	0.54
8	2021-06-20 03:36:00	2.25
9	2021-06-20 10:48:00	0.61
10	2021-06-20 16:12:00	2.85
11	2021-06-20 23:54:00	0.43
12	2021-06-21 04:30:00	2.19
13	2021-06-21 11:24:00	0.61
14	2021-06-21 17:06:00	3.26
15	2021-06-22 00:42:00	0.39
16	2021-06-22 05:30:00	2.44
17	2021-06-22 12:12:00	0.65
18	2021-06-22 17:42:00	3.36
19	2021-06-23 01:30:00	-0.17
20	2021-06-23 06:18:00	2.05
21	2021-06-23 13:18:00	0.15
22	2021-06-23 18:54:00	3.28
23	2021-06-24 02:48:00	-0.33
24	2021-06-24 07:18:00	1.92
25	2021-06-24 14:00:00	0.03
26	2021-06-24 19:48:00	3.34
27	2021-06-25 03:42:00	-0.16
28	2021-06-25 08:12:00	2.11
29	2021-06-25 14:54:00	0.08
30	2021-06-25 20:48:00	3.09
31	2021-06-26 04:30:00	-0.33
32	2021-06-26 09:12:00	1.94
33	2021-06-26 16:00:00	0.15
34	2021-06-26 21:36:00	2.94
35	2021-06-27 05:30:00	-0.11
36	2021-06-27 10:06:00	2.05
37	2021-06-27 17:00:00	0.28
38	2021-06-27 22:36:00	2.62
39	2021-06-28 06:06:00	-0.13
40	2021-06-28 11:00:00	1.83
41	2021-06-28 18:00:00	0.34
42	2021-06-28 23:24:00	2.21
43	2021-06-29 07:12:00	0.06
44	2021-06-29 11:54:00	1.9
45	2021-06-29 20:06:00	0.69
46	2021-06-30 00:18:00	2.23
47	2021-06-30 07:48:00	0.49
48	2021-06-30 13:06:00	2.05
49	2021-06-30 21:12:00	0.77
50	2021-07-01 01:24:00	2.02
51	2021-07-01 08:06:00	0.8
52	2021-07-01 13:42:00	2.29
53	2021-07-01 22:36:00	1.03
54	2021-07-02 01:54:00	2.44
55	2021-07-02 10:30:00	1.2
56	2021-07-02 14:42:00	2.56
57	2021-07-02 22:36:00	1.31
58	2021-07-03 03:00:00	2.23
59	2021-07-03 09:42:00	1.42
60	2021-07-03 15:18:00	2.77
61	2021-07-03 23:30:00	1.32
62	2021-07-04 03:42:00	2.25
63	2021-07-04 10:54:00	1.39
64	2021-07-04 16:12:00	2.6
