Date,Day,Time,Pred(Ft),Pred(cm),High/Low
1/1/2022,Sat,3:05:00 AM,3.39,103,H
1/1/2022,Sat,8:42:00 AM,0.01,0,L
1/1/2022,Sat,3:19:00 PM,4.1,125,H
1/1/2022,Sat,9:26:00 PM,-0.46,-14,L
1/2/2022,Sun,4:02:00 AM,3.47,106,H
1/2/2022,Sun,9:36:00 AM,-0.08,-2,L
1/2/2022,Sun,4:14:00 PM,4.21,128,H
1/2/2022,Sun,10:21:00 PM,-0.57,-17,L
1/3/2022,Mon,4:58:00 AM,3.53,108,H
1/3/2022,Mon,10:31:00 AM,-0.14,-4,L
1/3/2022,Mon,5:08:00 PM,4.24,129,H
1/3/2022,Mon,11:14:00 PM,-0.61,-19,L
1/4/2022,Tue,5:53:00 AM,3.56,109,H
1/4/2022,Tue,11:25:00 AM,-0.14,-4,L
1/4/2022,Tue,6:03:00 PM,4.2,128,H
1/5/2022,Wed,12:07:00 AM,-0.58,-18,L
1/5/2022,Wed,6:48:00 AM,3.57,109,H
1/5/2022,Wed,12:19:00 PM,-0.11,-3,L
1/5/2022,Wed,6:58:00 PM,4.09,125,H
1/6/2022,Thu,12:58:00 AM,-0.48,-15,L
1/6/2022,Thu,7:41:00 AM,3.54,108,H
1/6/2022,Thu,1:13:00 PM,-0.03,-1,L
1/6/2022,Thu,7:53:00 PM,3.92,119,H
1/7/2022,Fri,1:50:00 AM,-0.32,-10,L
1/7/2022,Fri,8:34:00 AM,3.49,106,H
1/7/2022,Fri,2:08:00 PM,0.09,3,L
1/7/2022,Fri,8:48:00 PM,3.7,113,H
1/8/2022,Sat,2:42:00 AM,-0.12,-4,L
1/8/2022,Sat,9:28:00 AM,3.43,105,H
1/8/2022,Sat,3:05:00 PM,0.21,6,L
1/8/2022,Sat,9:45:00 PM,3.47,106,H
1/9/2022,Sun,3:36:00 AM,0.08,2,L
1/9/2022,Sun,10:23:00 AM,3.37,103,H
1/9/2022,Sun,4:05:00 PM,0.31,9,L
1/9/2022,Sun,10:44:00 PM,3.25,99,H
1/10/2022,Mon,4:29:00 AM,0.27,8,L
1/10/2022,Mon,11:17:00 AM,3.32,101,H
1/10/2022,Mon,5:05:00 PM,0.38,12,L
1/10/2022,Mon,11:43:00 PM,3.08,94,H
1/11/2022,Tue,5:23:00 AM,0.42,13,L
1/11/2022,Tue,12:11:00 PM,3.29,100,H
1/11/2022,Tue,6:05:00 PM,0.4,12,L
1/12/2022,Wed,12:43:00 AM,2.96,90,H
