,Date,Temperature (C),CO2,Battery
3556,2022-09-30 00:05:11,19.0,964.6,11.25
3557,2022-09-30 01:05:05,18.64,775.8,11.25
3558,2022-09-30 02:05:08,18.64,827.9,11.25
3559,2022-09-30 03:05:11,18.64,796.2,11.25
3560,2022-09-30 04:05:05,18.61,803.6,11.25
3561,2022-09-30 05:05:08,18.33,835.1,11.25
3562,2022-09-30 06:05:11,17.9,991.4,11.25
3563,2022-09-30 07:05:05,17.61,1239.0,11.24
3564,2022-09-30 08:05:08,17.26,1596.8,11.24
3565,2022-09-30 09:05:11,17.45,1825.5,11.24
3566,2022-09-30 10:05:05,17.83,1478.4,11.24
3567,2022-09-30 11:05:08,17.92,1110.9,11.24
3568,2022-09-30 12:05:11,17.9,984.0,11.24
3569,2022-09-30 13:05:05,17.73,973.8,11.24
3570,2022-09-30 14:05:08,17.83,966.7,11.24
3571,2022-09-30 15:05:11,17.97,856.1,11.24
3572,2022-09-30 16:05:05,18.07,845.5,11.24
3573,2022-09-30 17:05:08,18.26,759.3,11.24
3574,2022-09-30 18:05:11,18.28,779.2,11.24
3575,2022-09-30 19:05:05,18.42,809.1,11.24
3576,2022-09-30 20:05:08,18.37,880.6,11.24
3577,2022-09-30 21:05:11,18.28,1084.9,11.24
3578,2022-09-30 22:05:05,18.35,1139.3,11.24
3579,2022-09-30 23:05:08,18.4,1173.7,11.24
3580,2022-10-01 00:05:11,18.42,1010.7,11.24
3581,2022-10-01 01:05:05,18.45,895.7,11.24
3582,2022-10-01 02:05:08,17.97,786.0,11.24
3583,2022-10-01 03:05:11,18.09,808.4,11.24
3584,2022-10-01 04:05:05,18.14,823.8,11.24
3585,2022-10-01 05:05:08,18.14,750.5,11.24
3586,2022-10-01 06:05:11,17.71,792.3,11.24
3587,2022-10-01 07:05:05,17.21,1001.2,11.23
3588,2022-10-01 08:05:08,17.0,1196.2,11.23
3589,2022-10-01 09:05:11,17.0,1570.0,11.23
3590,2022-10-01 10:05:05,17.07,1595.9,11.23
3591,2022-10-01 11:05:08,17.36,1268.6,11.22
3592,2022-10-01 12:05:11,17.71,1173.1,11.23
3593,2022-10-01 13:05:05,17.57,1039.4,11.23
3594,2022-10-01 14:05:08,17.54,999.9,11.23
3595,2022-10-01 15:05:11,17.64,936.1,11.23
3596,2022-10-01 16:05:05,17.71,947.3,11.23
3597,2022-10-01 17:05:08,17.59,897.8,11.23
3598,2022-10-01 18:05:11,17.4,916.1,11.23
3599,2022-10-01 19:05:05,17.31,899.1,11.23
3600,2022-10-01 20:05:08,16.98,1030.0,11.22
3601,2022-10-01 21:05:11,16.84,1265.0,11.22
3602,2022-10-01 22:05:05,16.77,1558.9,11.22
3603,2022-10-01 23:05:08,16.81,1541.9,11.22
3604,2022-10-02 00:05:11,16.74,1705.1,11.22
3605,2022-10-02 01:05:05,16.84,1522.7,11.22
3606,2022-10-02 02:05:08,16.89,1476.1,11.22
3607,2022-10-02 03:05:11,16.93,1194.0,11.22
3608,2022-10-02 04:05:05,17.17,1005.4,11.22
3609,2022-10-02 05:05:08,17.38,935.8,11.22
3610,2022-10-02 06:05:11,16.93,963.6,11.22
3611,2022-10-02 07:05:05,16.65,1179.4,11.22
3612,2022-10-02 08:05:08,16.35,1374.1,11.22
3613,2022-10-02 09:05:11,16.14,1711.7,11.22
3614,2022-10-02 10:05:05,16.02,2211.1,11.21
3615,2022-10-02 11:05:08,16.16,2264.4,11.21
3616,2022-10-02 12:05:11,16.44,2042.4,11.21
3617,2022-10-02 13:05:05,16.77,1577.5,11.22
3618,2022-10-02 14:05:08,16.63,1328.0,11.22
3619,2022-10-02 15:05:11,16.46,1479.1,11.22
3620,2022-10-02 16:05:05,16.16,1278.0,11.21
3621,2022-10-02 17:05:08,16.72,923.5,11.21
3622,2022-10-02 18:05:11,16.77,926.5,11.22
3623,2022-10-02 19:05:05,16.3,936.4,11.22
3624,2022-10-02 20:05:08,16.09,934.4,11.21
3625,2022-10-02 21:05:11,15.77,1021.8,11.21
3626,2022-10-02 22:05:05,15.49,1089.9,11.21
3627,2022-10-02 23:05:08,15.23,1190.3,11.21
3628,2022-10-03 00:05:11,15.19,1244.1,11.2
3629,2022-10-03 01:05:05,14.82,1294.3,11.2
3630,2022-10-03 02:05:08,15.33,1454.9,11.2
3631,2022-10-03 03:05:11,16.02,1327.2,11.2
3632,2022-10-03 04:05:05,14.66,1093.8,11.2
3633,2022-10-03 05:05:08,15.46,926.1,11.2
3634,2022-10-03 06:05:11,15.63,937.3,11.2
3635,2022-10-03 07:05:05,14.91,904.5,11.2
3636,2022-10-03 09:05:11,14.66,954.7,11.22
3637,2022-10-03 10:05:05,13.83,1090.4,11.21
3638,2022-10-03 11:05:08,13.58,1234.6,11.2
3639,2022-10-03 12:05:11,13.51,1307.7,11.2
3640,2022-10-03 13:05:05,13.54,1474.1,11.2
3641,2022-10-03 14:05:08,14.38,1137.9,11.2
3642,2022-10-03 15:05:11,15.21,1089.4,11.2
3643,2022-10-03 16:05:05,15.05,1036.7,11.2
3644,2022-10-03 17:05:08,14.22,887.8,11.2
3645,2022-10-03 18:05:11,15.0,820.1,11.2
3646,2022-10-03 19:05:05,15.16,801.8,11.2
3647,2022-10-03 20:05:08,14.7,708.3,11.21
3648,2022-10-03 21:05:11,14.45,818.0,11.2
3649,2022-10-03 22:05:05,14.2,794.2,11.2
3650,2022-10-03 23:05:08,13.81,887.7,11.2
3651,2022-10-04 00:05:11,13.61,938.4,11.19
3652,2022-10-04 01:05:05,13.63,999.3,11.19
3653,2022-10-04 02:05:08,13.42,1141.8,11.19
3654,2022-10-04 03:05:11,14.43,1042.8,11.19
3655,2022-10-04 04:05:05,13.99,1031.6,11.19
3656,2022-10-04 05:05:08,13.86,989.2,11.19
3657,2022-10-04 06:05:11,14.36,884.2,11.19
3658,2022-10-04 07:05:05,14.63,848.1,11.19
3659,2022-10-04 08:05:08,13.86,850.8,11.19
3660,2022-10-04 09:05:11,13.65,954.3,11.19
3661,2022-10-04 10:05:05,13.49,987.4,11.18
3662,2022-10-04 11:05:08,13.36,1149.8,11.18
3663,2022-10-04 12:05:11,13.24,1284.4,11.18
3664,2022-10-04 13:05:05,13.26,1382.0,11.17
3665,2022-10-04 14:05:08,13.24,1463.7,11.18
3666,2022-10-04 15:05:11,14.11,1340.4,11.18
3667,2022-10-04 16:05:05,14.68,1135.5,11.18
3668,2022-10-04 17:05:08,14.02,958.2,11.18
3669,2022-10-04 18:05:11,14.75,825.4,11.19
3670,2022-10-04 19:05:05,15.0,776.6,11.19
3671,2022-10-04 20:05:08,15.07,745.7,11.19
3672,2022-10-04 21:05:11,14.82,735.1,11.19
3673,2022-10-04 22:05:05,14.86,751.1,11.19
3674,2022-10-04 23:05:08,14.68,775.5,11.19
3675,2022-10-05 00:05:11,14.61,841.9,11.19
3676,2022-10-05 01:05:05,14.59,973.3,11.19
3677,2022-10-05 02:05:08,14.59,1105.0,11.18
3678,2022-10-05 03:05:11,14.66,1206.4,11.19
3679,2022-10-05 04:05:05,14.84,1059.9,11.19
3680,2022-10-05 05:05:08,15.14,1037.4,11.19
3681,2022-10-05 06:05:11,15.21,862.9,11.19
3682,2022-10-05 07:05:05,15.49,826.9,11.19
3683,2022-10-05 08:05:08,15.53,824.5,11.2
3684,2022-10-05 09:05:11,15.46,813.5,11.2
3685,2022-10-05 10:05:05,15.33,859.9,11.2
3686,2022-10-05 11:05:08,15.23,899.6,11.19
3687,2022-10-05 12:05:11,14.98,1022.2,11.19
3688,2022-10-05 13:05:05,15.0,1214.8,11.19
3689,2022-10-05 14:05:08,15.05,1318.7,11.19
3690,2022-10-05 15:05:11,15.05,1403.2,11.19
3691,2022-10-05 16:05:05,15.19,1434.6,11.19
3692,2022-10-05 17:05:08,15.44,1295.8,11.19
3693,2022-10-05 18:05:11,15.7,831.9,11.19
3694,2022-10-05 19:05:05,15.81,813.6,11.2
3695,2022-10-05 20:05:08,15.84,779.2,11.2
3696,2022-10-05 21:05:11,15.88,764.1,11.19
3697,2022-10-05 22:05:05,15.81,733.3,11.2
3698,2022-10-05 23:05:08,15.72,773.3,11.2
3699,2022-10-06 00:05:11,15.63,924.3,11.19
3700,2022-10-06 01:05:05,15.53,1101.3,11.19
3701,2022-10-06 02:05:08,15.51,1267.9,11.19
3702,2022-10-06 03:05:11,15.44,1385.2,11.19
3703,2022-10-06 04:05:05,15.51,1480.1,11.19
3704,2022-10-06 05:05:08,15.6,1378.5,11.19
3705,2022-10-06 06:05:11,15.6,1168.4,11.19
3706,2022-10-06 07:05:05,15.53,1058.6,11.19
3707,2022-10-06 08:05:08,15.6,907.2,11.19
3708,2022-10-06 09:05:11,15.67,858.8,11.19
3709,2022-10-06 10:05:05,15.67,797.7,11.19
3710,2022-10-06 11:05:08,15.53,903.4,11.19
3711,2022-10-06 12:05:11,15.49,1044.4,11.19
3712,2022-10-06 13:05:05,15.35,1349.6,11.19
3713,2022-10-06 14:05:08,15.42,1639.4,11.18
3714,2022-10-06 15:05:11,15.58,1784.3,11.19
3715,2022-10-06 16:05:05,15.58,1876.9,11.19
3716,2022-10-06 17:05:08,15.72,1574.2,11.19
3717,2022-10-06 18:05:11,15.81,1234.3,11.19
3718,2022-10-06 19:05:05,16.51,918.8,11.19
3719,2022-10-06 20:05:08,16.65,802.0,11.2
3720,2022-10-06 22:05:05,16.46,723.8,11.21
3721,2022-10-06 23:05:08,16.51,712.7,11.21
3722,2022-10-07 00:05:11,16.58,750.5,11.2
3723,2022-10-07 01:05:05,16.74,925.5,11.2
3724,2022-10-07 02:05:08,16.79,1223.2,11.2
3725,2022-10-07 03:05:11,16.72,1629.1,11.2
3726,2022-10-07 04:05:05,16.7,1874.8,11.2
3727,2022-10-07 05:05:08,16.72,1762.4,11.2
3728,2022-10-07 06:05:11,16.58,1455.2,11.2
3729,2022-10-07 07:05:05,16.49,1134.2,11.2
3730,2022-10-07 08:05:08,16.3,1010.2,11.2
3731,2022-10-07 09:05:11,16.35,864.0,11.19
3732,2022-10-07 10:05:05,16.3,785.3,11.19
3733,2022-10-07 11:05:08,16.28,820.2,11.19
3734,2022-10-07 12:05:11,16.18,877.3,11.19
3735,2022-10-07 13:05:05,16.14,1060.3,11.19
3736,2022-10-07 14:05:08,16.18,1377.7,11.19
3737,2022-10-07 15:05:11,16.46,1743.3,11.19
3738,2022-10-07 16:05:05,16.7,1845.0,11.19
3739,2022-10-07 17:05:08,17.05,2051.3,11.2
3740,2022-10-07 18:05:11,16.58,1668.2,11.19
3741,2022-10-07 19:05:05,16.91,1240.9,11.2
3742,2022-10-07 20:05:08,17.76,868.8,11.2
3743,2022-10-07 21:05:11,17.57,725.9,11.2
3744,2022-10-07 22:05:05,17.26,654.3,11.2
3745,2022-10-07 23:05:08,17.12,677.7,11.2
3746,2022-10-08 00:05:11,17.24,661.5,11.2
3747,2022-10-08 01:05:05,17.38,714.8,11.2
3748,2022-10-08 02:05:08,17.5,908.4,11.2
3749,2022-10-08 03:05:11,17.57,1346.7,11.2
3750,2022-10-08 04:05:05,17.52,1791.2,11.2
3751,2022-10-08 05:05:08,17.47,2069.8,11.2
3752,2022-10-08 06:05:11,17.52,2110.9,11.2
3753,2022-10-08 07:05:05,17.5,2060.4,11.2
3754,2022-10-08 08:05:08,17.21,1727.8,11.2
3755,2022-10-08 09:05:11,16.65,917.1,11.19
3756,2022-10-08 10:05:05,16.56,745.4,11.19
3757,2022-10-08 11:05:08,16.51,752.2,11.18
3758,2022-10-08 12:05:11,16.44,773.3,11.18
3759,2022-10-08 13:05:05,16.3,821.0,11.18
3760,2022-10-08 14:05:08,16.14,1007.5,11.18
3761,2022-10-08 15:05:11,16.02,1414.4,11.18
3762,2022-10-08 16:05:05,16.23,1888.6,11.18
3763,2022-10-08 17:05:08,16.35,2147.9,11.18
