Date,Day,Time,Pred,High/Low
2018/04/01,Sun,04:23,3.29,H
2018/04/01,Sun,10:32,-0.29,L
2018/04/01,Sun,16:48,3.27,H
2018/04/01,Sun,22:54,-0.19,L
2018/04/02,Mon,05:07,3.29,H
2018/04/02,Mon,11:18,-0.27,L
2018/04/02,Mon,17:34,3.18,H
2018/04/02,Mon,23:37,-0.08,L
2018/04/03,Tue,05:49,3.24,H
2018/04/03,Tue,12:03,-0.19,L
2018/04/03,Tue,18:18,3.06,H
2018/04/04,Wed,00:20,0.06,L
2018/04/04,Wed,06:31,3.15,H
2018/04/04,Wed,12:48,-0.07,L
2018/04/04,Wed,19:03,2.92,H
2018/04/05,Thu,01:04,0.21,L
2018/04/05,Thu,07:14,3.04,H
2018/04/05,Thu,13:34,0.07,L
2018/04/05,Thu,19:50,2.77,H
2018/04/06,Fri,01:50,0.37,L
2018/04/06,Fri,08:00,2.92,H
2018/04/06,Fri,14:23,0.21,L
2018/04/06,Fri,20:39,2.63,H
2018/04/07,Sat,02:39,0.5,L
2018/04/07,Sat,08:50,2.81,H
2018/04/07,Sat,15:16,0.34,L
2018/04/07,Sat,21:33,2.53,H
2018/04/08,Sun,03:32,0.6,L
2018/04/08,Sun,09:44,2.72,H
2018/04/08,Sun,16:10,0.42,L
2018/04/08,Sun,22:29,2.48,H
2018/04/09,Mon,04:27,0.65,L
2018/04/09,Mon,10:41,2.68,H
2018/04/09,Mon,17:06,0.46,L
2018/04/09,Mon,23:25,2.48,H
2018/04/10,Tue,05:23,0.63,L
2018/04/10,Tue,11:39,2.68,H
2018/04/10,Tue,18:00,0.44,L
2018/04/11,Wed,00:21,2.54,H
2018/04/11,Wed,06:18,0.56,L
2018/04/11,Wed,12:34,2.74,H
2018/04/11,Wed,18:52,0.37,L
2018/04/12,Thu,01:11,2.65,H
2018/04/12,Thu,07:11,0.44,L
2018/04/12,Thu,13:26,2.83,H
2018/04/12,Thu,19:40,0.27,L
2018/04/13,Fri,01:56,2.79,H
2018/04/13,Fri,07:59,0.29,L
2018/04/13,Fri,14:12,2.93,H
2018/04/13,Fri,20:23,0.16,L
2018/04/14,Sat,02:37,2.94,H
2018/04/14,Sat,08:44,0.12,L
2018/04/14,Sat,14:55,3.03,H
2018/04/14,Sat,21:04,0.06,L
2018/04/15,Sun,03:16,3.08,H
2018/04/15,Sun,09:27,-0.03,L
2018/04/15,Sun,15:37,3.1,H
2018/04/15,Sun,21:45,-0.02,L
2018/04/16,Mon,03:54,3.21,H
2018/04/16,Mon,10:09,-0.17,L
2018/04/16,Mon,16:19,3.15,H
2018/04/16,Mon,22:26,-0.07,L
2018/04/17,Tue,04:35,3.31,H
2018/04/17,Tue,10:53,-0.26,L
2018/04/17,Tue,17:03,3.17,H
2018/04/17,Tue,23:09,-0.09,L
2018/04/18,Wed,05:17,3.38,H
2018/04/18,Wed,11:39,-0.31,L
2018/04/18,Wed,17:49,3.15,H
2018/04/18,Wed,23:54,-0.07,L
2018/04/19,Thu,06:02,3.41,H
2018/04/19,Thu,12:26,-0.31,L
2018/04/19,Thu,18:37,3.09,H
2018/04/20,Fri,00:42,-0.01,L
2018/04/20,Fri,06:50,3.38,H
2018/04/20,Fri,13:17,-0.25,L
2018/04/20,Fri,19:29,3.01,H
2018/04/21,Sat,01:33,0.08,L
2018/04/21,Sat,07:42,3.31,H
2018/04/21,Sat,14:12,-0.16,L
2018/04/21,Sat,20:26,2.93,H
2018/04/22,Sun,02:30,0.18,L
2018/04/22,Sun,08:41,3.22,H
2018/04/22,Sun,15:12,-0.07,L
2018/04/22,Sun,21:28,2.86,H
2018/04/23,Mon,03:32,0.25,L
2018/04/23,Mon,09:44,3.12,H
2018/04/23,Mon,16:14,0.0,L
2018/04/23,Mon,22:33,2.85,H
2018/04/24,Tue,04:36,0.28,L
2018/04/24,Tue,10:51,3.06,H
2018/04/24,Tue,17:17,0.04,L
2018/04/24,Tue,23:38,2.89,H
2018/04/25,Wed,05:41,0.24,L
2018/04/25,Wed,11:59,3.05,H
2018/04/25,Wed,18:19,0.04,L
2018/04/26,Thu,00:41,2.98,H
2018/04/26,Thu,06:46,0.16,L
2018/04/26,Thu,13:04,3.08,H
2018/04/26,Thu,19:18,0.01,L
2018/04/27,Fri,01:39,3.1,H
2018/04/27,Fri,07:46,0.04,L
2018/04/27,Fri,14:03,3.12,H
2018/04/27,Fri,20:12,-0.02,L
2018/04/28,Sat,02:30,3.2,H
2018/04/28,Sat,08:39,-0.07,L
2018/04/28,Sat,14:56,3.14,H
2018/04/28,Sat,21:00,-0.03,L
2018/04/29,Sun,03:16,3.27,H
2018/04/29,Sun,09:28,-0.15,L
2018/04/29,Sun,15:44,3.13,H
2018/04/29,Sun,21:45,-0.0,L
2018/04/30,Mon,03:59,3.29,H
2018/04/30,Mon,10:13,-0.18,L
2018/04/30,Mon,16:29,3.09,H
2018/04/30,Mon,22:28,0.06,L
