Date,Day,Time,Pred,High/Low
2018/01/01,Mon,02:39,3.03,H
2018/01/01,Mon,08:42,-0.17,L
2018/01/01,Mon,14:54,3.58,H
2018/01/01,Mon,21:23,-0.53,L
2018/01/02,Tue,03:33,3.12,H
2018/01/02,Tue,09:35,-0.25,L
2018/01/02,Tue,15:47,3.66,H
2018/01/02,Tue,22:16,-0.61,L
2018/01/03,Wed,04:28,3.17,H
2018/01/03,Wed,10:29,-0.28,L
2018/01/03,Wed,16:41,3.67,H
2018/01/03,Wed,23:08,-0.63,L
2018/01/04,Thu,05:23,3.19,H
2018/01/04,Thu,11:22,-0.27,L
2018/01/04,Thu,17:36,3.61,H
2018/01/05,Fri,00:01,-0.58,L
2018/01/05,Fri,06:17,3.18,H
2018/01/05,Fri,12:16,-0.21,L
2018/01/05,Fri,18:31,3.48,H
2018/01/06,Sat,00:53,-0.46,L
2018/01/06,Sat,07:11,3.13,H
2018/01/06,Sat,13:12,-0.11,L
2018/01/06,Sat,19:26,3.31,H
2018/01/07,Sun,01:46,-0.3,L
2018/01/07,Sun,08:06,3.06,H
2018/01/07,Sun,14:09,0.01,L
2018/01/07,Sun,20:24,3.12,H
2018/01/08,Mon,02:42,-0.13,L
2018/01/08,Mon,09:04,2.99,H
2018/01/08,Mon,15:09,0.12,L
2018/01/08,Mon,21:25,2.92,H
2018/01/09,Tue,03:38,0.04,L
2018/01/09,Tue,10:01,2.93,H
2018/01/09,Tue,16:11,0.2,L
2018/01/09,Tue,22:26,2.76,H
2018/01/10,Wed,04:34,0.19,L
2018/01/10,Wed,10:58,2.89,H
2018/01/10,Wed,17:12,0.25,L
2018/01/10,Wed,23:28,2.65,H
2018/01/11,Thu,05:30,0.29,L
2018/01/11,Thu,11:55,2.87,H
2018/01/11,Thu,18:14,0.25,L
2018/01/12,Fri,00:29,2.58,H
2018/01/12,Fri,06:25,0.36,L
2018/01/12,Fri,12:49,2.88,H
2018/01/12,Fri,19:11,0.22,L
2018/01/13,Sat,01:26,2.57,H
2018/01/13,Sat,07:18,0.38,L
2018/01/13,Sat,13:39,2.92,H
2018/01/13,Sat,20:02,0.16,L
2018/01/14,Sun,02:15,2.59,H
2018/01/14,Sun,08:05,0.36,L
2018/01/14,Sun,14:23,2.96,H
2018/01/14,Sun,20:46,0.1,L
2018/01/15,Mon,02:59,2.62,H
2018/01/15,Mon,08:48,0.32,L
2018/01/15,Mon,15:04,3.0,H
2018/01/15,Mon,21:26,0.05,L
2018/01/16,Tue,03:39,2.66,H
2018/01/16,Tue,09:29,0.28,L
2018/01/16,Tue,15:43,3.04,H
2018/01/16,Tue,22:05,0.0,L
2018/01/17,Wed,04:18,2.69,H
2018/01/17,Wed,10:09,0.25,L
2018/01/17,Wed,16:21,3.06,H
2018/01/17,Wed,22:42,-0.03,L
2018/01/18,Thu,04:56,2.71,H
2018/01/18,Thu,10:48,0.23,L
2018/01/18,Thu,16:59,3.06,H
2018/01/18,Thu,23:19,-0.04,L
2018/01/19,Fri,05:33,2.73,H
2018/01/19,Fri,11:28,0.22,L
2018/01/19,Fri,17:38,3.04,H
2018/01/19,Fri,23:57,-0.04,L
2018/01/20,Sat,06:10,2.75,H
2018/01/20,Sat,12:08,0.22,L
2018/01/20,Sat,18:16,3.01,H
2018/01/21,Sun,00:35,-0.02,L
2018/01/21,Sun,06:48,2.76,H
2018/01/21,Sun,12:49,0.23,L
2018/01/21,Sun,18:56,2.96,H
2018/01/22,Mon,01:15,0.01,L
2018/01/22,Mon,07:27,2.79,H
2018/01/22,Mon,13:33,0.23,L
2018/01/22,Mon,19:39,2.9,H
2018/01/23,Tue,01:58,0.05,L
2018/01/23,Tue,08:10,2.81,H
2018/01/23,Tue,14:21,0.23,L
2018/01/23,Tue,20:27,2.83,H
2018/01/24,Wed,02:44,0.1,L
2018/01/24,Wed,08:56,2.86,H
2018/01/24,Wed,15:14,0.21,L
2018/01/24,Wed,21:19,2.76,H
2018/01/25,Thu,03:35,0.14,L
2018/01/25,Thu,09:48,2.92,H
2018/01/25,Thu,16:11,0.16,L
2018/01/25,Thu,22:17,2.71,H
2018/01/26,Fri,04:30,0.15,L
2018/01/26,Fri,10:43,3.0,H
2018/01/26,Fri,17:10,0.09,L
2018/01/26,Fri,23:17,2.7,H
2018/01/27,Sat,05:27,0.14,L
2018/01/27,Sat,11:41,3.1,H
2018/01/27,Sat,18:12,-0.03,L
2018/01/28,Sun,00:20,2.74,H
2018/01/28,Sun,06:27,0.08,L
2018/01/28,Sun,12:42,3.23,H
2018/01/28,Sun,19:13,-0.18,L
2018/01/29,Mon,01:23,2.83,H
2018/01/29,Mon,07:27,-0.02,L
2018/01/29,Mon,13:41,3.37,H
2018/01/29,Mon,20:11,-0.34,L
2018/01/30,Tue,02:22,2.95,H
2018/01/30,Tue,08:24,-0.14,L
2018/01/30,Tue,14:38,3.49,H
2018/01/30,Tue,21:07,-0.48,L
2018/01/31,Wed,03:18,3.07,H
2018/01/31,Wed,09:20,-0.25,L
2018/01/31,Wed,15:33,3.57,H
2018/01/31,Wed,21:59,-0.57,L
