Date,Day,Time,Pred,High/Low
2018/03/01,Thu,03:04,3.08,H
2018/03/01,Thu,09:06,-0.22,L
2018/03/01,Thu,15:22,3.45,H
2018/03/01,Thu,21:42,-0.45,L
2018/03/02,Fri,03:56,3.2,H
2018/03/02,Fri,09:59,-0.32,L
2018/03/02,Fri,16:14,3.47,H
2018/03/02,Fri,22:31,-0.46,L
2018/03/03,Sat,04:45,3.26,H
2018/03/03,Sat,10:50,-0.35,L
2018/03/03,Sat,17:05,3.42,H
2018/03/03,Sat,23:18,-0.41,L
2018/03/04,Sun,05:33,3.27,H
2018/03/04,Sun,11:39,-0.32,L
2018/03/04,Sun,17:54,3.32,H
2018/03/05,Mon,00:05,-0.3,L
2018/03/05,Mon,06:19,3.23,H
2018/03/05,Mon,12:27,-0.24,L
2018/03/05,Mon,18:42,3.17,H
2018/03/06,Tue,00:50,-0.14,L
2018/03/06,Tue,07:04,3.14,H
2018/03/06,Tue,13:16,-0.11,L
2018/03/06,Tue,19:30,2.98,H
2018/03/07,Wed,01:36,0.05,L
2018/03/07,Wed,07:50,3.02,H
2018/03/07,Wed,14:06,0.05,L
2018/03/07,Wed,20:21,2.79,H
2018/03/08,Thu,02:25,0.24,L
2018/03/08,Thu,08:39,2.89,H
2018/03/08,Thu,14:59,0.2,L
2018/03/08,Thu,21:14,2.62,H
2018/03/09,Fri,03:17,0.4,L
2018/03/09,Fri,09:32,2.78,H
2018/03/09,Fri,15:55,0.32,L
2018/03/09,Fri,22:11,2.5,H
2018/03/10,Sat,04:11,0.52,L
2018/03/10,Sat,10:28,2.7,H
2018/03/10,Sat,16:53,0.4,L
2018/03/10,Sat,23:10,2.43,H
2018/03/11,Sun,05:06,0.58,L
2018/03/11,Sun,11:25,2.67,H
2018/03/11,Sun,17:51,0.42,L
2018/03/12,Mon,00:09,2.42,H
2018/03/12,Mon,06:03,0.57,L
2018/03/12,Mon,12:23,2.7,H
2018/03/12,Mon,18:48,0.38,L
2018/03/13,Tue,01:06,2.48,H
2018/03/13,Tue,06:58,0.51,L
2018/03/13,Tue,13:18,2.77,H
2018/03/13,Tue,19:38,0.3,L
2018/03/14,Wed,01:55,2.58,H
2018/03/14,Wed,07:48,0.41,L
2018/03/14,Wed,14:06,2.87,H
2018/03/14,Wed,20:23,0.19,L
2018/03/15,Thu,02:38,2.69,H
2018/03/15,Thu,08:33,0.28,L
2018/03/15,Thu,14:48,2.96,H
2018/03/15,Thu,21:03,0.09,L
2018/03/16,Fri,03:16,2.81,H
2018/03/16,Fri,09:15,0.15,L
2018/03/16,Fri,15:28,3.04,H
2018/03/16,Fri,21:41,0.0,L
2018/03/17,Sat,03:53,2.91,H
2018/03/17,Sat,09:56,0.04,L
2018/03/17,Sat,16:08,3.1,H
2018/03/17,Sat,22:19,-0.06,L
2018/03/18,Sun,04:30,3.01,H
2018/03/18,Sun,10:37,-0.06,L
2018/03/18,Sun,16:47,3.13,H
2018/03/18,Sun,22:58,-0.1,L
2018/03/19,Mon,05:07,3.09,H
2018/03/19,Mon,11:18,-0.13,L
2018/03/19,Mon,17:27,3.13,H
2018/03/19,Mon,23:37,-0.11,L
2018/03/20,Tue,05:46,3.16,H
2018/03/20,Tue,12:01,-0.17,L
2018/03/20,Tue,18:10,3.1,H
2018/03/21,Wed,00:19,-0.08,L
2018/03/21,Wed,06:27,3.2,H
2018/03/21,Wed,12:46,-0.17,L
2018/03/21,Wed,18:54,3.03,H
2018/03/22,Thu,01:03,-0.02,L
2018/03/22,Thu,07:11,3.2,H
2018/03/22,Thu,13:34,-0.13,L
2018/03/22,Thu,19:43,2.94,H
2018/03/23,Fri,01:51,0.06,L
2018/03/23,Fri,08:00,3.17,H
2018/03/23,Fri,14:28,-0.07,L
2018/03/23,Fri,20:38,2.84,H
2018/03/24,Sat,02:46,0.16,L
2018/03/24,Sat,08:56,3.12,H
2018/03/24,Sat,15:27,-0.01,L
2018/03/24,Sat,21:38,2.76,H
2018/03/25,Sun,03:46,0.23,L
2018/03/25,Sun,09:57,3.08,H
2018/03/25,Sun,16:29,0.03,L
2018/03/25,Sun,22:43,2.73,H
2018/03/26,Mon,04:49,0.25,L
2018/03/26,Mon,11:03,3.06,H
2018/03/26,Mon,17:33,0.02,L
2018/03/26,Mon,23:50,2.76,H
2018/03/27,Tue,05:54,0.21,L
2018/03/27,Tue,12:11,3.09,H
2018/03/27,Tue,18:37,-0.04,L
2018/03/28,Wed,00:56,2.87,H
2018/03/28,Wed,06:58,0.11,L
2018/03/28,Wed,13:16,3.17,H
2018/03/28,Wed,19:38,-0.12,L
2018/03/29,Thu,01:56,3.01,H
2018/03/29,Thu,07:58,-0.03,L
2018/03/29,Thu,14:16,3.25,H
2018/03/29,Thu,20:33,-0.21,L
2018/03/30,Fri,02:49,3.15,H
2018/03/30,Fri,08:53,-0.16,L
2018/03/30,Fri,15:10,3.31,H
2018/03/30,Fri,21:22,-0.26,L
2018/03/31,Sat,03:37,3.25,H
2018/03/31,Sat,09:44,-0.25,L
2018/03/31,Sat,16:00,3.31,H
2018/03/31,Sat,22:09,-0.25,L
