Date,Day,Time,Pred,High/Low
2018/05/01,Tue,04:40,3.27,H
2018/05/01,Tue,10:57,-0.15,L
2018/05/01,Tue,17:13,3.03,H
2018/05/01,Tue,23:10,0.14,L
2018/05/02,Wed,05:20,3.22,H
2018/05/02,Wed,11:40,-0.1,L
2018/05/02,Wed,17:55,2.94,H
2018/05/02,Wed,23:52,0.24,L
2018/05/03,Thu,06:01,3.15,H
2018/05/03,Thu,12:22,-0.0,L
2018/05/03,Thu,18:38,2.85,H
2018/05/04,Fri,00:34,0.35,L
2018/05/04,Fri,06:43,3.06,H
2018/05/04,Fri,13:05,0.11,L
2018/05/04,Fri,19:21,2.75,H
2018/05/05,Sat,01:17,0.46,L
2018/05/05,Sat,07:26,2.96,H
2018/05/05,Sat,13:51,0.22,L
2018/05/05,Sat,20:08,2.66,H
2018/05/06,Sun,02:04,0.56,L
2018/05/06,Sun,08:14,2.86,H
2018/05/06,Sun,14:39,0.32,L
2018/05/06,Sun,20:57,2.6,H
2018/05/07,Mon,02:55,0.63,L
2018/05/07,Mon,09:05,2.78,H
2018/05/07,Mon,15:30,0.39,L
2018/05/07,Mon,21:49,2.57,H
2018/05/08,Tue,03:49,0.66,L
2018/05/08,Tue,09:59,2.73,H
2018/05/08,Tue,16:22,0.43,L
2018/05/08,Tue,22:42,2.59,H
2018/05/09,Wed,04:43,0.64,L
2018/05/09,Wed,10:54,2.71,H
2018/05/09,Wed,17:13,0.42,L
2018/05/09,Wed,23:33,2.65,H
2018/05/10,Thu,05:37,0.57,L
2018/05/10,Thu,11:48,2.74,H
2018/05/10,Thu,18:04,0.38,L
2018/05/11,Fri,00:23,2.76,H
2018/05/11,Fri,06:30,0.44,L
2018/05/11,Fri,12:41,2.8,H
2018/05/11,Fri,18:54,0.31,L
2018/05/12,Sat,01:10,2.9,H
2018/05/12,Sat,07:21,0.28,L
2018/05/12,Sat,13:32,2.89,H
2018/05/12,Sat,19:41,0.21,L
2018/05/13,Sun,01:54,3.07,H
2018/05/13,Sun,08:10,0.09,L
2018/05/13,Sun,14:19,2.99,H
2018/05/13,Sun,20:26,0.11,L
2018/05/14,Mon,02:37,3.24,H
2018/05/14,Mon,08:56,-0.09,L
2018/05/14,Mon,15:05,3.08,H
2018/05/14,Mon,21:11,0.02,L
2018/05/15,Tue,03:20,3.39,H
2018/05/15,Tue,09:43,-0.25,L
2018/05/15,Tue,15:52,3.14,H
2018/05/15,Tue,21:56,-0.04,L
2018/05/16,Wed,04:04,3.5,H
2018/05/16,Wed,10:30,-0.36,L
2018/05/16,Wed,16:40,3.17,H
2018/05/16,Wed,22:43,-0.07,L
2018/05/17,Thu,04:52,3.56,H
2018/05/17,Thu,11:19,-0.41,L
2018/05/17,Thu,17:30,3.17,H
2018/05/17,Thu,23:32,-0.06,L
2018/05/18,Fri,05:41,3.57,H
2018/05/18,Fri,12:09,-0.41,L
2018/05/18,Fri,18:22,3.15,H
2018/05/19,Sat,00:24,-0.01,L
2018/05/19,Sat,06:33,3.52,H
2018/05/19,Sat,13:02,-0.34,L
2018/05/19,Sat,19:17,3.1,H
2018/05/20,Sun,01:18,0.06,L
2018/05/20,Sun,07:29,3.42,H
2018/05/20,Sun,13:57,-0.24,L
2018/05/20,Sun,20:15,3.04,H
2018/05/21,Mon,02:16,0.15,L
2018/05/21,Mon,08:29,3.29,H
2018/05/21,Mon,14:56,-0.13,L
2018/05/21,Mon,21:16,3.0,H
2018/05/22,Tue,03:19,0.22,L
2018/05/22,Tue,09:32,3.17,H
2018/05/22,Tue,15:57,-0.03,L
2018/05/22,Tue,22:19,3.0,H
2018/05/23,Wed,04:23,0.25,L
2018/05/23,Wed,10:38,3.06,H
2018/05/23,Wed,16:57,0.05,L
2018/05/23,Wed,23:21,3.02,H
2018/05/24,Thu,05:27,0.23,L
2018/05/24,Thu,11:44,3.0,H
2018/05/24,Thu,17:57,0.1,L
2018/05/25,Fri,00:22,3.08,H
2018/05/25,Fri,06:30,0.18,L
2018/05/25,Fri,12:48,2.97,H
2018/05/25,Fri,18:55,0.14,L
2018/05/26,Sat,01:18,3.14,H
2018/05/26,Sat,07:30,0.1,L
2018/05/26,Sat,13:47,2.97,H
2018/05/26,Sat,19:48,0.16,L
2018/05/27,Sun,02:08,3.2,H
2018/05/27,Sun,08:23,0.02,L
2018/05/27,Sun,14:39,2.96,H
2018/05/27,Sun,20:36,0.18,L
2018/05/28,Mon,02:53,3.23,H
2018/05/28,Mon,09:10,-0.03,L
2018/05/28,Mon,15:26,2.95,H
2018/05/28,Mon,21:20,0.21,L
2018/05/29,Tue,03:34,3.23,H
2018/05/29,Tue,09:54,-0.04,L
2018/05/29,Tue,16:09,2.92,H
2018/05/29,Tue,22:02,0.26,L
2018/05/30,Wed,04:14,3.21,H
2018/05/30,Wed,10:36,-0.03,L
2018/05/30,Wed,16:52,2.88,H
2018/05/30,Wed,22:44,0.31,L
2018/05/31,Thu,04:54,3.18,H
2018/05/31,Thu,11:17,0.01,L
2018/05/31,Thu,17:33,2.84,H
2018/05/31,Thu,23:25,0.37,L
