Date,Day,Time,Pred,High/Low
2018/11/01,Thu,03:41,0.01,L
2018/11/01,Thu,09:58,2.86,H
2018/11/01,Thu,16:03,0.3,L
2018/11/01,Thu,22:15,3.11,H
2018/11/02,Fri,04:43,0.03,L
2018/11/02,Fri,11:02,2.91,H
2018/11/02,Fri,17:07,0.26,L
2018/11/02,Fri,23:21,3.09,H
2018/11/03,Sat,05:44,0.02,L
2018/11/03,Sat,12:05,3.01,H
2018/11/03,Sat,18:11,0.17,L
2018/11/04,Sun,00:27,3.11,H
2018/11/04,Sun,06:43,-0.01,L
2018/11/04,Sun,13:04,3.14,H
2018/11/04,Sun,19:12,0.04,L
2018/11/05,Mon,01:29,3.15,H
2018/11/05,Mon,07:39,-0.06,L
2018/11/05,Mon,13:58,3.26,H
2018/11/05,Mon,20:09,-0.1,L
2018/11/06,Tue,02:24,3.18,H
2018/11/06,Tue,08:31,-0.08,L
2018/11/06,Tue,14:47,3.35,H
2018/11/06,Tue,21:01,-0.2,L
2018/11/07,Wed,03:15,3.18,H
2018/11/07,Wed,09:18,-0.07,L
2018/11/07,Wed,15:32,3.39,H
2018/11/07,Wed,21:49,-0.24,L
2018/11/08,Thu,04:03,3.14,H
2018/11/08,Thu,10:03,-0.01,L
2018/11/08,Thu,16:16,3.38,H
2018/11/08,Thu,22:35,-0.23,L
2018/11/09,Fri,04:50,3.08,H
2018/11/09,Fri,10:48,0.07,L
2018/11/09,Fri,16:59,3.32,H
2018/11/09,Fri,23:20,-0.17,L
2018/11/10,Sat,05:36,2.98,H
2018/11/10,Sat,11:32,0.18,L
2018/11/10,Sat,17:42,3.23,H
2018/11/11,Sun,00:05,-0.07,L
2018/11/11,Sun,06:20,2.88,H
2018/11/11,Sun,12:16,0.3,L
2018/11/11,Sun,18:26,3.13,H
2018/11/12,Mon,00:49,0.04,L
2018/11/12,Mon,07:06,2.77,H
2018/11/12,Mon,13:01,0.42,L
2018/11/12,Mon,19:11,3.01,H
2018/11/13,Tue,01:36,0.17,L
2018/11/13,Tue,07:53,2.67,H
2018/11/13,Tue,13:48,0.53,L
2018/11/13,Tue,19:59,2.89,H
2018/11/14,Wed,02:25,0.28,L
2018/11/14,Wed,08:44,2.6,H
2018/11/14,Wed,14:40,0.61,L
2018/11/14,Wed,20:51,2.79,H
2018/11/15,Thu,03:16,0.37,L
2018/11/15,Thu,09:36,2.57,H
2018/11/15,Thu,15:34,0.65,L
2018/11/15,Thu,21:45,2.72,H
2018/11/16,Fri,04:08,0.41,L
2018/11/16,Fri,10:29,2.59,H
2018/11/16,Fri,16:29,0.64,L
2018/11/16,Fri,22:40,2.69,H
2018/11/17,Sat,04:59,0.42,L
2018/11/17,Sat,11:21,2.64,H
2018/11/17,Sat,17:23,0.58,L
2018/11/17,Sat,23:35,2.7,H
2018/11/18,Sun,05:49,0.39,L
2018/11/18,Sun,12:10,2.74,H
2018/11/18,Sun,18:16,0.47,L
2018/11/19,Mon,00:28,2.74,H
2018/11/19,Mon,06:38,0.34,L
2018/11/19,Mon,12:57,2.86,H
2018/11/19,Mon,19:07,0.33,L
2018/11/20,Tue,01:18,2.81,H
2018/11/20,Tue,07:24,0.26,L
2018/11/20,Tue,13:40,3.01,H
2018/11/20,Tue,19:54,0.16,L
2018/11/21,Wed,02:04,2.89,H
2018/11/21,Wed,08:09,0.17,L
2018/11/21,Wed,14:21,3.15,H
2018/11/21,Wed,20:39,-0.01,L
2018/11/22,Thu,02:48,2.96,H
2018/11/22,Thu,08:52,0.09,L
2018/11/22,Thu,15:02,3.29,H
2018/11/22,Thu,21:24,-0.16,L
2018/11/23,Fri,03:32,3.02,H
2018/11/23,Fri,09:35,0.02,L
2018/11/23,Fri,15:44,3.4,H
2018/11/23,Fri,22:09,-0.28,L
2018/11/24,Sat,04:18,3.06,H
2018/11/24,Sat,10:20,-0.02,L
2018/11/24,Sat,16:28,3.47,H
2018/11/24,Sat,22:55,-0.35,L
2018/11/25,Sun,05:05,3.07,H
2018/11/25,Sun,11:07,-0.03,L
2018/11/25,Sun,17:15,3.5,H
2018/11/25,Sun,23:43,-0.37,L
2018/11/26,Mon,05:55,3.06,H
2018/11/26,Mon,11:56,-0.01,L
2018/11/26,Mon,18:05,3.48,H
2018/11/27,Tue,00:34,-0.34,L
2018/11/27,Tue,06:46,3.02,H
2018/11/27,Tue,12:48,0.04,L
2018/11/27,Tue,18:57,3.4,H
2018/11/28,Wed,01:27,-0.27,L
2018/11/28,Wed,07:42,2.99,H
2018/11/28,Wed,13:44,0.11,L
2018/11/28,Wed,19:54,3.29,H
2018/11/29,Thu,02:23,-0.18,L
2018/11/29,Thu,08:41,2.96,H
2018/11/29,Thu,14:44,0.18,L
2018/11/29,Thu,20:56,3.17,H
2018/11/30,Fri,03:23,-0.09,L
2018/11/30,Fri,09:43,2.96,H
2018/11/30,Fri,15:48,0.21,L
2018/11/30,Fri,22:02,3.06,H
