Date,Day,Time,Pred,High/Low
2019/06/01,Sat,02:06,3.06,H
2019/06/01,Sat,08:25,0.17,L
2019/06/01,Sat,14:35,2.83,H
2019/06/01,Sat,20:35,0.29,L
2019/06/02,Sun,02:46,3.17,H
2019/06/02,Sun,09:09,0.03,L
2019/06/02,Sun,15:19,2.88,H
2019/06/02,Sun,21:18,0.24,L
2019/06/03,Mon,03:27,3.27,H
2019/06/03,Mon,09:53,-0.09,L
2019/06/03,Mon,16:03,2.92,H
2019/06/03,Mon,22:02,0.19,L
2019/06/04,Tue,04:10,3.35,H
2019/06/04,Tue,10:38,-0.17,L
2019/06/04,Tue,16:49,2.95,H
2019/06/04,Tue,22:47,0.16,L
2019/06/05,Wed,04:55,3.41,H
2019/06/05,Wed,11:24,-0.23,L
2019/06/05,Wed,17:36,2.98,H
2019/06/05,Wed,23:34,0.15,L
2019/06/06,Thu,05:43,3.42,H
2019/06/06,Thu,12:12,-0.24,L
2019/06/06,Thu,18:26,2.99,H
2019/06/07,Fri,00:24,0.15,L
2019/06/07,Fri,06:33,3.4,H
2019/06/07,Fri,13:02,-0.22,L
2019/06/07,Fri,19:17,2.99,H
2019/06/08,Sat,01:17,0.17,L
2019/06/08,Sat,07:27,3.34,H
2019/06/08,Sat,13:56,-0.17,L
2019/06/08,Sat,20:12,3.0,H
2019/06/09,Sun,02:14,0.2,L
2019/06/09,Sun,08:25,3.25,H
2019/06/09,Sun,14:52,-0.1,L
2019/06/09,Sun,21:10,3.02,H
2019/06/10,Mon,03:15,0.22,L
2019/06/10,Mon,09:26,3.16,H
2019/06/10,Mon,15:50,-0.04,L
2019/06/10,Mon,22:09,3.06,H
2019/06/11,Tue,04:18,0.2,L
2019/06/11,Tue,10:30,3.07,H
2019/06/11,Tue,16:48,0.02,L
2019/06/11,Tue,23:09,3.12,H
2019/06/12,Wed,05:20,0.15,L
2019/06/12,Wed,11:34,3.01,H
2019/06/12,Wed,17:46,0.07,L
2019/06/13,Thu,00:07,3.19,H
2019/06/13,Thu,06:23,0.08,L
2019/06/13,Thu,12:38,2.98,H
2019/06/13,Thu,18:43,0.1,L
2019/06/14,Fri,01:04,3.26,H
2019/06/14,Fri,07:23,-0.01,L
2019/06/14,Fri,13:38,2.98,H
2019/06/14,Fri,19:38,0.12,L
2019/06/15,Sat,01:57,3.32,H
2019/06/15,Sat,08:18,-0.09,L
2019/06/15,Sat,14:33,2.98,H
2019/06/15,Sat,20:30,0.15,L
2019/06/16,Sun,02:46,3.35,H
2019/06/16,Sun,09:09,-0.14,L
2019/06/16,Sun,15:24,2.96,H
2019/06/16,Sun,21:18,0.18,L
2019/06/17,Mon,03:32,3.35,H
2019/06/17,Mon,09:57,-0.14,L
2019/06/17,Mon,16:13,2.94,H
2019/06/17,Mon,22:05,0.22,L
2019/06/18,Tue,04:17,3.31,H
2019/06/18,Tue,10:43,-0.12,L
2019/06/18,Tue,16:59,2.9,H
2019/06/18,Tue,22:50,0.28,L
2019/06/19,Wed,05:02,3.25,H
2019/06/19,Wed,11:27,-0.06,L
2019/06/19,Wed,17:44,2.85,H
2019/06/19,Wed,23:34,0.34,L
2019/06/20,Thu,05:45,3.18,H
2019/06/20,Thu,12:10,0.02,L
2019/06/20,Thu,18:27,2.81,H
2019/06/21,Fri,00:18,0.41,L
2019/06/21,Fri,06:29,3.1,H
2019/06/21,Fri,12:52,0.11,L
2019/06/21,Fri,19:10,2.77,H
2019/06/22,Sat,01:03,0.47,L
2019/06/22,Sat,07:13,3.0,H
2019/06/22,Sat,13:36,0.2,L
2019/06/22,Sat,19:54,2.73,H
2019/06/23,Sun,01:50,0.53,L
2019/06/23,Sun,07:59,2.91,H
2019/06/23,Sun,14:21,0.28,L
2019/06/23,Sun,20:39,2.72,H
2019/06/24,Mon,02:39,0.57,L
2019/06/24,Mon,08:48,2.81,H
2019/06/24,Mon,15:07,0.35,L
2019/06/24,Mon,21:26,2.72,H
2019/06/25,Tue,03:31,0.58,L
2019/06/25,Tue,09:39,2.73,H
2019/06/25,Tue,15:55,0.41,L
2019/06/25,Tue,22:14,2.75,H
2019/06/26,Wed,04:23,0.56,L
2019/06/26,Wed,10:31,2.68,H
2019/06/26,Wed,16:43,0.45,L
2019/06/26,Wed,23:01,2.79,H
2019/06/27,Thu,05:15,0.51,L
2019/06/27,Thu,11:23,2.65,H
2019/06/27,Thu,17:31,0.46,L
2019/06/27,Thu,23:49,2.87,H
2019/06/28,Fri,06:07,0.43,L
2019/06/28,Fri,12:16,2.65,H
2019/06/28,Fri,18:20,0.44,L
2019/06/29,Sat,00:37,2.97,H
2019/06/29,Sat,06:59,0.31,L
2019/06/29,Sat,13:09,2.69,H
2019/06/29,Sat,19:10,0.4,L
2019/06/30,Sun,01:24,3.09,H
2019/06/30,Sun,07:50,0.16,L
2019/06/30,Sun,13:59,2.75,H
2019/06/30,Sun,19:59,0.32,L
