Date,Day,Time,Pred,High/Low
2020/08/01,Sat,01:30,3.26,H
2020/08/01,Sat,07:59,-0.03,L
2020/08/01,Sat,14:15,2.83,H
2020/08/01,Sat,20:07,0.26,L
2020/08/02,Sun,02:25,3.28,H
2020/08/02,Sun,08:53,-0.07,L
2020/08/02,Sun,15:09,2.86,H
2020/08/02,Sun,21:00,0.24,L
2020/08/03,Mon,03:16,3.29,H
2020/08/03,Mon,09:42,-0.08,L
2020/08/03,Mon,15:58,2.88,H
2020/08/03,Mon,21:49,0.23,L
2020/08/04,Tue,04:04,3.27,H
2020/08/04,Tue,10:28,-0.07,L
2020/08/04,Tue,16:43,2.89,H
2020/08/04,Tue,22:36,0.23,L
2020/08/05,Wed,04:50,3.23,H
2020/08/05,Wed,11:10,-0.03,L
2020/08/05,Wed,17:26,2.9,H
2020/08/05,Wed,23:20,0.24,L
2020/08/06,Thu,05:34,3.16,H
2020/08/06,Thu,11:51,0.04,L
2020/08/06,Thu,18:07,2.89,H
2020/08/07,Fri,00:04,0.27,L
2020/08/07,Fri,06:16,3.08,H
2020/08/07,Fri,12:31,0.12,L
2020/08/07,Fri,18:46,2.88,H
2020/08/08,Sat,00:47,0.32,L
2020/08/08,Sat,06:58,2.97,H
2020/08/08,Sat,13:12,0.22,L
2020/08/08,Sat,19:26,2.86,H
2020/08/09,Sun,01:32,0.37,L
2020/08/09,Sun,07:42,2.86,H
2020/08/09,Sun,13:53,0.32,L
2020/08/09,Sun,20:08,2.83,H
2020/08/10,Mon,02:19,0.43,L
2020/08/10,Mon,08:28,2.74,H
2020/08/10,Mon,14:37,0.43,L
2020/08/10,Mon,20:52,2.81,H
2020/08/11,Tue,03:08,0.47,L
2020/08/11,Tue,09:18,2.63,H
2020/08/11,Tue,15:24,0.52,L
2020/08/11,Tue,21:39,2.79,H
2020/08/12,Wed,04:00,0.5,L
2020/08/12,Wed,10:09,2.54,H
2020/08/12,Wed,16:12,0.59,L
2020/08/12,Wed,22:28,2.79,H
2020/08/13,Thu,04:53,0.5,L
2020/08/13,Thu,11:03,2.48,H
2020/08/13,Thu,17:03,0.62,L
2020/08/13,Thu,23:19,2.81,H
2020/08/14,Fri,05:47,0.46,L
2020/08/14,Fri,11:59,2.48,H
2020/08/14,Fri,17:56,0.61,L
2020/08/15,Sat,00:12,2.88,H
2020/08/15,Sat,06:42,0.38,L
2020/08/15,Sat,12:55,2.52,H
2020/08/15,Sat,18:50,0.55,L
2020/08/16,Sun,01:05,2.99,H
2020/08/16,Sun,07:35,0.25,L
2020/08/16,Sun,13:47,2.62,H
2020/08/16,Sun,19:42,0.44,L
2020/08/17,Mon,01:56,3.12,H
2020/08/17,Mon,08:24,0.09,L
2020/08/17,Mon,14:36,2.75,H
2020/08/17,Mon,20:32,0.29,L
2020/08/18,Tue,02:45,3.27,H
2020/08/18,Tue,09:12,-0.06,L
2020/08/18,Tue,15:22,2.9,H
2020/08/18,Tue,21:21,0.13,L
2020/08/19,Wed,03:33,3.39,H
2020/08/19,Wed,09:58,-0.2,L
2020/08/19,Wed,16:08,3.05,H
2020/08/19,Wed,22:10,-0.02,L
2020/08/20,Thu,04:21,3.47,H
2020/08/20,Thu,10:44,-0.29,L
2020/08/20,Thu,16:55,3.19,H
2020/08/20,Thu,23:00,-0.13,L
2020/08/21,Fri,05:11,3.49,H
2020/08/21,Fri,11:31,-0.33,L
2020/08/21,Fri,17:43,3.3,H
2020/08/21,Fri,23:50,-0.2,L
2020/08/22,Sat,06:02,3.46,H
2020/08/22,Sat,12:18,-0.31,L
2020/08/22,Sat,18:31,3.37,H
2020/08/23,Sun,00:42,-0.22,L
2020/08/23,Sun,06:54,3.37,H
2020/08/23,Sun,13:07,-0.23,L
2020/08/23,Sun,19:21,3.39,H
2020/08/24,Mon,01:36,-0.18,L
2020/08/24,Mon,07:48,3.23,H
2020/08/24,Mon,13:59,-0.1,L
2020/08/24,Mon,20:14,3.36,H
2020/08/25,Tue,02:34,-0.11,L
2020/08/25,Tue,08:47,3.07,H
2020/08/25,Tue,14:54,0.05,L
2020/08/25,Tue,21:11,3.29,H
2020/08/26,Wed,03:34,-0.02,L
2020/08/26,Wed,09:49,2.91,H
2020/08/26,Wed,15:53,0.19,L
2020/08/26,Wed,22:11,3.21,H
2020/08/27,Thu,04:37,0.06,L
2020/08/27,Thu,10:54,2.8,H
2020/08/27,Thu,16:53,0.3,L
2020/08/27,Thu,23:13,3.15,H
2020/08/28,Fri,05:41,0.11,L
2020/08/28,Fri,12:01,2.74,H
2020/08/28,Fri,17:55,0.37,L
2020/08/29,Sat,00:18,3.12,H
2020/08/29,Sat,06:46,0.12,L
2020/08/29,Sat,13:06,2.74,H
2020/08/29,Sat,18:58,0.38,L
2020/08/30,Sun,01:20,3.12,H
2020/08/30,Sun,07:46,0.1,L
2020/08/30,Sun,14:05,2.78,H
2020/08/30,Sun,19:55,0.34,L
2020/08/31,Mon,02:15,3.14,H
2020/08/31,Mon,08:38,0.06,L
2020/08/31,Mon,14:55,2.84,H
2020/08/31,Mon,20:47,0.29,L
