Date,Day,Time,Pred,High/Low
2020/12/01,Tue,04:31,2.73,H
2020/12/01,Tue,10:24,0.35,L
2020/12/01,Tue,16:34,3.08,H
2020/12/01,Tue,22:59,0.04,L
2020/12/02,Wed,05:11,2.7,H
2020/12/02,Wed,11:04,0.37,L
2020/12/02,Wed,17:12,3.08,H
2020/12/02,Wed,23:39,0.04,L
2020/12/03,Thu,05:51,2.68,H
2020/12/03,Thu,11:44,0.4,L
2020/12/03,Thu,17:52,3.06,H
2020/12/04,Fri,00:20,0.06,L
2020/12/04,Fri,06:33,2.65,H
2020/12/04,Fri,12:27,0.42,L
2020/12/04,Fri,18:34,3.04,H
2020/12/05,Sat,01:03,0.07,L
2020/12/05,Sat,07:17,2.64,H
2020/12/05,Sat,13:13,0.44,L
2020/12/05,Sat,19:20,3.01,H
2020/12/06,Sun,01:50,0.09,L
2020/12/06,Sun,08:04,2.66,H
2020/12/06,Sun,14:04,0.44,L
2020/12/06,Sun,20:11,2.97,H
2020/12/07,Mon,02:41,0.1,L
2020/12/07,Mon,08:56,2.7,H
2020/12/07,Mon,15:00,0.41,L
2020/12/07,Mon,21:07,2.94,H
2020/12/08,Tue,03:35,0.1,L
2020/12/08,Tue,09:50,2.79,H
2020/12/08,Tue,15:59,0.34,L
2020/12/08,Tue,22:06,2.92,H
2020/12/09,Wed,04:30,0.08,L
2020/12/09,Wed,10:46,2.92,H
2020/12/09,Wed,16:59,0.22,L
2020/12/09,Wed,23:07,2.93,H
2020/12/10,Thu,05:26,0.04,L
2020/12/10,Thu,11:42,3.08,H
2020/12/10,Thu,18:00,0.06,L
2020/12/11,Fri,00:09,2.96,H
2020/12/11,Fri,06:22,-0.01,L
2020/12/11,Fri,12:38,3.25,H
2020/12/11,Fri,19:00,-0.12,L
2020/12/12,Sat,01:10,3.02,H
2020/12/12,Sat,07:18,-0.07,L
2020/12/12,Sat,13:33,3.42,H
2020/12/12,Sat,19:58,-0.3,L
2020/12/13,Sun,02:09,3.08,H
2020/12/13,Sun,08:12,-0.13,L
2020/12/13,Sun,14:25,3.54,H
2020/12/13,Sun,20:52,-0.44,L
2020/12/14,Mon,03:04,3.12,H
2020/12/14,Mon,09:05,-0.16,L
2020/12/14,Mon,15:17,3.61,H
2020/12/14,Mon,21:45,-0.51,L
2020/12/15,Tue,03:57,3.12,H
2020/12/15,Tue,09:56,-0.15,L
2020/12/15,Tue,16:08,3.61,H
2020/12/15,Tue,22:36,-0.52,L
2020/12/16,Wed,04:51,3.09,H
2020/12/16,Wed,10:47,-0.1,L
2020/12/16,Wed,17:00,3.55,H
2020/12/16,Wed,23:28,-0.45,L
2020/12/17,Thu,05:44,3.03,H
2020/12/17,Thu,11:39,-0.01,L
2020/12/17,Thu,17:52,3.44,H
2020/12/18,Fri,00:18,-0.34,L
2020/12/18,Fri,06:36,2.95,H
2020/12/18,Fri,12:30,0.1,L
2020/12/18,Fri,18:43,3.28,H
2020/12/19,Sat,01:08,-0.18,L
2020/12/19,Sat,07:27,2.86,H
2020/12/19,Sat,13:22,0.23,L
2020/12/19,Sat,19:36,3.11,H
2020/12/20,Sun,02:00,-0.02,L
2020/12/20,Sun,08:20,2.78,H
2020/12/20,Sun,14:17,0.35,L
2020/12/20,Sun,20:30,2.93,H
2020/12/21,Mon,02:52,0.14,L
2020/12/21,Mon,09:14,2.72,H
2020/12/21,Mon,15:14,0.43,L
2020/12/21,Mon,21:27,2.77,H
2020/12/22,Tue,03:45,0.27,L
2020/12/22,Tue,10:08,2.69,H
2020/12/22,Tue,16:12,0.48,L
2020/12/22,Tue,22:24,2.65,H
2020/12/23,Wed,04:37,0.37,L
2020/12/23,Wed,11:00,2.69,H
2020/12/23,Wed,17:10,0.48,L
2020/12/23,Wed,23:21,2.57,H
2020/12/24,Thu,05:28,0.43,L
2020/12/24,Thu,11:51,2.72,H
2020/12/24,Thu,18:06,0.44,L
2020/12/25,Fri,00:18,2.53,H
2020/12/25,Fri,06:18,0.46,L
2020/12/25,Fri,12:40,2.78,H
2020/12/25,Fri,18:59,0.37,L
2020/12/26,Sat,01:11,2.53,H
2020/12/26,Sat,07:07,0.46,L
2020/12/26,Sat,13:27,2.85,H
2020/12/26,Sat,19:48,0.28,L
2020/12/27,Sun,02:00,2.56,H
2020/12/27,Sun,07:52,0.43,L
2020/12/27,Sun,14:10,2.92,H
2020/12/27,Sun,20:33,0.18,L
2020/12/28,Mon,02:44,2.59,H
2020/12/28,Mon,08:35,0.39,L
2020/12/28,Mon,14:50,2.99,H
2020/12/28,Mon,21:14,0.09,L
2020/12/29,Tue,03:26,2.63,H
2020/12/29,Tue,09:17,0.35,L
2020/12/29,Tue,15:29,3.05,H
2020/12/29,Tue,21:55,0.02,L
2020/12/30,Wed,04:07,2.66,H
2020/12/30,Wed,09:58,0.31,L
2020/12/30,Wed,16:09,3.1,H
2020/12/30,Wed,22:35,-0.04,L
2020/12/31,Thu,04:48,2.68,H
2020/12/31,Thu,10:39,0.28,L
2020/12/31,Thu,16:49,3.13,H
